age (bp),depth (cm),depth_bot (mm),depth_top (mm),age_error (years),age14C_orig (),thickness (mm),age_type (),lab_id (),material_dated ()
850,5.75,50,65,85,450,15,1,3,1
4270,159.875,1592.5,1605,70,3870,12.5,1,1,2
5645,279.875,2792.5,2805,70,5245,12.5,1,2,2
7540,294.5,2945,2945,40,7140,0,1,4,2
