depth (cm),age14C (bp),age_error (1s),age_type (),rejected_dates ()
10.5,810,30,1,NA
105.5,1780,35,1,NA
135.5,1980,30,1,NA
155.5,2755,45,1,NA
250.5,4280,45,1,NA
375.5,5680,45,1,NA
105.5,1165,30,1,1
135.5,2710,35,1,1
310.5,6400,45,1,1
