year (AD),age (BP),temperature (degC)
1950,0,NA
1688.81,261.19,12.92
1559.52,390.48,12.84
1428.49,521.51,12.85
1299.2,650.8,12.9
1165.57,784.43,12.76
1033.68,916.32,12.75
904.39,1045.61,12.33
774.23,1175.77,12.68
645.8,1304.2,12.97
516.51,1433.49,13.02
383.75,1566.25,13.01
350.77,1599.23,12.65
100,1850,12.94
65.93,1884.07,13.67
31.85,1918.15,12.71
-0.86,1950.86,12.77
-34.25,1984.25,12.62
-67.87,2017.87,12.12
-101.04,2051.04,12.09
-134.88,2084.88,12.32
-168.5,2118.5,12.6
-201.89,2151.89,11.72
-235.97,2185.97,11.95
-269.59,2219.59,11.54
-304.34,2254.34,12.12
-338.87,2288.87,12.03
-372.26,2322.26,12.71
-405.88,2355.88,11.87
-439.05,2389.05,12.12
-473.12,2423.12,12.04
-495.84,2445.84,11.98
-506.74,2456.74,12.33
-574.89,2524.89,12.61
-609.19,2559.19,13.12
-643.26,2593.26,13.11
-678.02,2628.02,12.84
-712.09,2662.09,13.21
-745.94,2695.94,12.87
-780.24,2730.24,12.63
-814.32,2764.32,12.91
-848.62,2798.62,12.63
-882.92,2832.92,12.76
-916.76,2866.76,12.48
-951.29,2901.29,12.12
-985.14,2935.14,12.5
-1019.44,2969.44,11.79
-1055.1,3005.1,11.98
-1089.18,3039.18,12.01
-1124.16,3074.16,11.97
-1158.92,3108.92,11.34
-1163.46,3113.46,11.08
-1304.1,3254.1,11.09
-1386.5,3336.5,11.06
-1473.44,3423.44,11.27
-1556.97,3506.97,11.14
-1644.48,3594.48,11.6
-1729.72,3679.72,11.63
-1814.95,3764.95,11.51
-1900.19,3850.19,11.42
-1986,3936,11.68
-2070.66,4020.66,11.75
-2157.04,4107.04,11.65
-2242.28,4192.28,11.73
-2327.51,4277.51,11.79
-2412.75,4362.75,11.63
-2497.42,4447.42,11.64
-2582.65,4532.65,11.57
-2668.46,4618.46,11.18
-2754.83,4704.83,11.5
-2842.91,4792.91,11.18
-3012.82,4962.82,12.21
-3097.49,5047.49,11.64
-3182.72,5132.72,12.16
-3267.39,5217.39,12.6
-3352.63,5302.63,11.07
-3437.87,5387.87,12.06
-3523.1,5473.1,11.73
-3608.34,5558.34,11.77
-3694.14,5644.14,12.7
-3779.95,5729.95,12.62
-3865.19,5815.19,12.5
-3950.42,5900.42,12.29
-4036.23,5986.23,11.45
-4123.74,6073.74,11.17
-4206.13,6156.13,12.05
-4291.37,6241.37,11.48
-4291.37,6241.37,11.57
-4376.61,6326.61,11.57
-4376.61,6326.61,11.61
-4461.85,6411.85,12.51
-4545.95,6495.95,11.88
-4716.99,6666.99,11.87
-4801.66,6751.66,10.98
-4885.76,6835.76,11.6
-4970.99,6920.99,11.41
-5056.23,7006.23,10.95
-5141.47,7091.47,11.47
-5226.71,7176.71,11.35
-5226.71,7176.71,11.74
-5312.51,7262.51,11.58
-5397.18,7347.18,12.32
-5482.42,7432.42,11.89
-5570.49,7520.49,12.41
-5716.53,7666.53,11.72
-5800.63,7750.63,12.48
-5888.14,7838.14,11.79
-5973.38,7923.38,11.9
-6058.62,8008.62,12.09
-6143.85,8093.85,11.77
-6219.43,8169.43,10.86
-6236.48,8186.48,11.04
-6391.77,8341.77,11.42
-6470.23,8420.23,10.39
-6548.7,8498.7,10.84
-6625.6,8575.6,10.43
-6703.55,8653.55,9.43
-6780.97,8730.97,10.88
-6858.39,8808.39,10.57
-6935.29,8885.29,10.79
-7013.23,8963.23,12.26
-7091.7,9041.7,10.97
-7169.13,9119.13,11.19
-7247.59,9197.59,11.06
-7325.02,9275.02,10.73
-7403.48,9353.48,11.01
-7480.91,9430.91,10.76
-7558.33,9508.33,10.81
-7636.8,9586.8,10.54
-7715.26,9665.26,11.11
-7785.36,9735.36,10.83
-7810,9760,10.61
-8240.53,10190.53,10.87
-8474.12,10424.12,10.49
