age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_error (2s),thickness (mm),age_type (),lab_id (),material_dated ()
0,NA,0,NA,NA,NA,10,NA,2,NA,NA
NA,35,370,330,1840,60,NA,40,1,11,1
NA,52,540,500,2630,60,NA,40,1,10,1
NA,81.5,830,800,2690,60,NA,30,1,9,1
NA,111.5,1130,1100,3180,60,NA,30,1,8,1
NA,141.5,1430,1400,3880,70,NA,30,1,1,1
NA,167.5,1690,1660,4240,70,NA,30,1,7,1
NA,201.5,2030,2000,5060,70,NA,30,1,6,1
NA,231.5,2330,2300,5910,70,NA,30,1,5,1
NA,261.5,2630,2600,7150,80,NA,30,1,4,1
NA,291.5,2930,2900,8490,100,NA,30,1,3,1
NA,322.5,3250,3200,9560,100,NA,50,1,2,2
