age (BP),temperature (degC)
614.285,21.715
701.331,21.676
744.71,22.113
831.852,21.769
881.319,22.618
962.42,21.716
1018.04,22.777
1080.17,22.883
1173.57,22.419
1247.99,22.976
1349.48,16.555
1466.45,20.19
1528.36,21
1602.76,21.65
1696.12,21.292
1764.09,22.605
1820.23,22.008
1894.87,21.889
1925.72,22.632
1975.56,22.3
2019.01,22.513
2056.25,22.685
2136.88,23.296
2180.8,21.995
2193.08,22.486
2230.44,22.301
2267.67,22.54
2298.81,22.34
2348.56,22.288
2379.4,23.084
2447.77,23.11
2478.81,23.269
2540.87,23.588
2590.66,23.402
2628.03,23.203
2665.39,23.017
2708.73,23.575
2764.68,23.575
2826.91,23.376
2889.04,23.495
2945.23,22.713
3038.61,22.301
3069.35,23.389
3100.65,22.7
3162.86,22.58
3262.25,22.832
3318.08,23.204
3386.41,23.363
3430.13,22.713
3479.7,23.257
3517.36,22.116
3579.56,21.983
3629.29,21.997
3666.31,22.912
3722.35,22.607
3747.01,23.284
3858.87,23.39
3902.63,22.621
3952.4,22.515
4008.07,23.417
4026.87,22.926
4120.1,23.006
4157.46,22.807
4188.73,22.196
4225.98,22.369
4257.11,22.236
4319.36,21.944
4343.9,22.992
4412.16,23.377
4455.61,23.59
4499.18,23.417
4555.2,23.218
4586.2,23.484
4666.93,23.762
4698.04,23.683
4760.38,23.126
4798.05,21.932
4909.78,22.476
4978.39,21.759
5021.78,22.171
5077.27,23.63
5120.89,23.312
5164.48,23.073
5183.05,23.312
5239.13,22.914
5301.21,23.192
5313.54,23.511
5369.52,23.418
5443.82,24.387
5506.35,23.219
5549.93,23.034
5624.58,22.874
5655.33,23.922
5755.04,23.166
5792.24,23.458
5835.69,23.684
5878.93,24.559
5947.46,24.095
6003.57,23.604
6053.49,22.994
6103.1,23.405
6221.22,23.379
6332.99,23.79
6389.04,23.485
6482.16,23.897
6619.15,23.194
6718.47,23.671
6824.23,23.419
6961.1,23.088
7085.46,23.008
7197.48,22.61
7309.45,22.412
7433.75,22.518
7545.8,22.027
7676.32,22.133
7806.72,22.611
7925.19,21.497
8055.25,23.062
8185.91,22.718
8310.33,22.426
8453.42,22.108
8565.53,21.418
8702.11,22.015
8825.82,24.005
8968.33,25.504
9086.88,24.125
9230.31,22.705
9355.02,21.538
9491.34,22.931
9628.36,22.135
9752.49,22.785
9914,23.183
10032.4,22.388
10331,21.804
10461.4,22.109
10610.7,21.911
10747.1,23.012
10884.2,21.805
11032.6,24.405
11176.5,21.42
11319.7,21.022
11455.5,24.008
11605.2,22.495
11754.5,22.137
11897.7,21.288
12059.1,22.191
12196,21.594
12370.1,21.713
12475.6,22.218
12680.7,22.284
12804.8,23.107
12966.8,22.006
13116.3,21.09
13265,22.537
13433.3,21.117
13569.7,22.218
13750,22.113
13905.5,21.914
13980.2,21.609
