age (BP),temperature (degC)
-16.102,8.978
40,9.92
82.14,9.573
131.26,9.447
180.38,8.885
229.5,8.612
278,8.983
327.74,9.306
376.86,8.643
425.99,8.495
475.11,9.243
524,8.001
573.35,8.815
622.47,8.153
671.59,7.49
717.03,9.248
736.98,8.858
752.95,7.894
764.92,8.17
776.89,8.017
784.87,7.764
796.85,8.126
816.8,7.602
836.76,8.567
856.71,8.09
876.67,8.556
896.62,9.044
916.58,8.956
936.53,8.65
964.47,8.711
976.44,9.134
996.4,8.659
1016.4,8.84
1036.3,8.632
1056.3,9.042
1084.2,8.742
1096.2,8.367
1124.1,8.94
1136.1,9.01
1156,8.442
1176,9.294
1195.9,9.883
1215.9,8.367
1235.9,7.282
1255.8,8.292
1275.8,8.434
1302.9,8.6
1333,8.26
1363.1,7.453
1405.3,8.371
1423.4,8.173
1453.5,7.845
1483.7,7.569
1513.8,7.542
1543.9,8.566
1574.1,8.742
1604.2,8.483
1634.4,7.806
1664.5,8.52
1706.7,8.689
1724.8,9.195
1754.9,9.039
1785,8.876
1815.2,8.828
1845.3,8.906
1875.4,7.668
1905.6,8.766
1929.7,7.93
1965.9,8.448
2002,8.691
2086.4,8.401
2176.9,8.854
2237.3,8.15
2309.9,8.275
2388.4,7.477
2418.7,7.82
2448.9,8.033
2539.6,7.613
2612.1,8.201
2660.5,7.534
2720.9,8.108
2781.4,7.567
2811.6,8.427
2853.9,7.538
2914.4,8.151
2962.8,8.256
3023.2,7.704
3073.5,7.866
3120.4,7.754
3176.7,7.835
3214.2,7.554
3261.1,8.374
3308,7.962
3331.4,8.872
3354.8,7.449
3411.1,7.522
3448.6,8.395
3495.5,8.181
3542.4,8.38
3598.7,7.852
3645.6,8.576
3728,8.309
3765.3,7.92
3783.9,8.638
3802.5,8.252
3847.2,8.439
3877,9.295
3914.2,7.97
3951.5,8.623
3988.7,7.536
4033.4,9.563
4044.6,10.104
4063.2,8.405
4100.4,8.825
4137.7,8.271
4156.3,9.045
4174.9,8.666
4219.6,8.418
4249.4,8.941
4288.9,8.06
4309.3,8.49
4329.7,8.725
4370.4,8.179
4407.1,8.64
4431.6,8.995
4451.9,8.349
4472.3,8.745
4492.7,8.893
4517.2,9.26
4537.5,9.765
4557.9,8.987
4574.2,10.152
4598.7,9.682
4619.1,8.512
4659.8,9.598
4698.6,9.217
4741.4,8.401
4780.1,8.78
4784.2,8.674
4788.2,8.453
4792.3,8.511
4796.4,7.995
4800.5,8.293
4804.5,8.18
4808.6,8.265
4812.7,8.454
4816.8,8.981
4820.8,8.034
4824.9,8.111
4829,8.617
4837.1,8.492
4841.2,8.295
4845.3,8.64
4849.4,8.318
4853.5,8.607
4858.2,8.342
4863.7,9.34
4869.2,8.761
4921.2,9.065
4975.9,8.859
5041.5,9.251
5085.3,9.679
5140,9.154
5194.8,9.239
5254.9,9.195
5312.4,9.199
5358.9,9.89
5413.6,9.385
5468.4,9.24
5523.1,8.962
5594.2,8.612
5632.5,9.815
5696.6,9.047
5765.8,8.64
5835,8.797
5890.3,9.083
5945.7,9.542
6014.8,8.508
6084,8.04
6153.2,9.263
6236.2,8.039
6291.5,9.442
6360.7,10.49
6426.4,10.919
6499.1,8.343
6550.9,9.138
6578.6,9.255
6606.3,8.999
6637.4,9.199
6661.9,9.114
6721.4,8.518
6784.5,9.131
6840.3,9.685
6899.8,9.477
6959.3,8.969
7018.7,8.793
7137.7,8.166
7197.2,9.435
7256.6,8.993
7316.1,8.712
7379.3,8.99
7435.1,8.234
7494.6,7.917
7528,8.705
7613.5,8.69
7643.2,8.713
7717.6,8.839
7759.8,9.41
7866.1,9.939
7896,8.973
7919.3,9.537
7972.4,9.387
8025.6,9.378
8078.7,8.685
8131.9,9.074
8185,8.968
8238.1,8.902
8291.3,9.219
8397.6,9.52
8410.9,9.157
8450.7,8.219
8484,8.925
8503.9,8.5
8557,10.563
8613.5,8.576
8663.3,8.762
8689.9,8.74
8713.9,8.817
8736.2,8.228
8753.5,9.079
8773.4,8.978
8795.6,9.11
8815.4,8.606
8835.3,8.644
8874.9,9.052
8894.7,9.669
8914.5,9.615
8954.1,8.686
8973.9,8.964
8993.7,9.29
9011,8.864
9033.3,9.057
9053.1,9.869
9072.9,9.812
9090.3,9.362
9112.6,10.333
9132.4,9.344
9152.2,9.615
9172,9.451
9189.3,10.064
9211.6,10.064
9216.5,10.598
9231.4,9.553
9251.2,10.774
9271,9.419
9288.3,8.798
9308.2,9.718
9328,9.09
9347.8,9.175
9387.4,8.991
9453.3,8.994
9479.7,9.086
9506,8.733
9532.4,9.366
9585,9.559
9598.2,9.464
9611.4,9.386
9624.5,9.081
9637.7,9.383
9650.9,9.437
9664.1,9.059
9690.4,9.174
9716.7,9.669
9729.9,8.84
9743.1,9.108
9757.9,9.653
9769.4,9.185
9782.6,8.84
9795.8,9.837
9823.7,9.316
9848.4,8.81
9853.4,9.178
9861.6,9.566
9874.8,9.709
9901.1,9.229
9922.4,9.551
9943.9,9.582
10019,9.368
10095,9.738
10145,9.56
10196,10.121
10246,10.039
10299,9.796
10354,9.509
10395,7.265
10653,7.506
10744,6.648
10841,6.628
10872,5.933
10965,6.022
11058,5.94
11198,5.661
11248,5.773
11261,5.784
11274,6.392
11312,6.041
11362,6.073
11400,9.145
11438,7.525
11477,6.463
