OriginalDateID (),TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
NA,0,0,Core top,0 (2005 AD),NA,NA,Y,NA
Poz-19 019,45,45,NA,645.0,695,595,Y,AMS
Poz-17 117,62,62,NA,1085.0,1115,1055,Y,AMS
Poz-17 116,120,120,NA,1475.0,1510,1440,Y,AMS
Lod-1391,305,305,NA,3060.0,4010,3010,Y,bulk
Lod-1390,375,375,NA,3690.0,4740,3640,Y,bulk
Poz-23658,436,436,NA,4580.0,4615,4545,Y,AMS
Poz-23638,531,531,NA,6270.0,6310,6230,Y,AMS
Poz-23639,826,826,NA,9130.0,9180,9080,Y,AMS
Poz-23640,1036,1036,NA,11860.0,11920,11800,Y,AMS
Poz-23659,1290,1290,NA,14120.0,14190,14050,NA,AMS
