year (AD),age (BP),MTWM (degC)
1950,0,19.325
1900,50,19.268
1850,100,19.42
1800,150,19.407
1750,200,19.316
1700,250,19.215
1650,300,19.113
1600,350,19.012
1550,400,18.912
1500,450,18.847
1450,500,18.783
1400,550,18.719
1350,600,18.654
1300,650,18.646
1250,700,18.65
1200,750,18.654
1150,800,18.663
1100,850,18.7
1050,900,18.736
1000,950,18.77
950,1000,18.733
900,1050,18.697
850,1100,18.66
800,1150,18.657
750,1200,18.657
700,1250,18.657
650,1300,18.896
600,1350,19.19
550,1400,19.483
500,1450,19.398
450,1500,19.15
400,1550,18.903
350,1600,18.87
300,1650,18.989
250,1700,19.108
200,1750,19.202
150,1800,19.266
100,1850,19.33
50,1900,19.432
0,1950,19.602
-50,2000,19.772
-100,2050,19.853
-150,2100,19.66
-200,2150,19.468
-250,2200,19.312
-300,2250,19.404
-350,2300,19.495
-400,2350,19.586
-450,2400,19.623
-500,2450,19.66
-550,2500,19.696
-600,2550,19.626
-650,2600,19.543
-700,2650,19.46
-750,2700,19.498
-800,2750,19.567
-850,2800,19.637
-900,2850,19.665
-950,2900,19.69
-1000,2950,19.715
-1050,3000,19.74
-1100,3050,19.765
-1150,3100,19.78
-1200,3150,19.745
-1250,3200,19.711
-1300,3250,19.676
-1350,3300,19.641
-1400,3350,19.606
-1450,3400,19.638
-1500,3450,19.767
-1550,3500,19.896
-1600,3550,19.871
-1650,3600,19.707
-1700,3650,19.543
-1750,3700,19.631
-1800,3750,19.853
-1850,3800,20.076
-1900,3850,20.16
-1950,3900,20.11
-2000,3950,20.059
-2050,4000,20.008
-2100,4050,19.945
-2150,4100,19.882
-2200,4150,19.819
-2250,4200,19.832
-2300,4250,19.878
-2350,4300,19.924
-2400,4350,19.985
-2450,4400,20.082
-2500,4450,20.178
-2550,4500,20.274
-2600,4550,20.271
-2650,4600,20.234
-2700,4650,20.109
-2750,4700,20.175
-2800,4750,20.452
-2850,4800,20.203
-2900,4850,19.824
-2950,4900,19.757
-3000,4950,19.69
-3050,5000,19.623
-3100,5050,19.689
-3150,5100,19.823
-3200,5150,19.958
-3250,5200,19.992
-3300,5250,19.741
-3350,5300,19.698
-3400,5350,19.824
-3450,5400,19.859
-3500,5450,19.879
-3550,5500,19.898
-3600,5550,19.917
-3650,5600,19.936
-3700,5650,19.928
-3750,5700,19.907
-3800,5750,19.885
-3850,5800,19.864
-3900,5850,19.843
-3950,5900,19.843
-4000,5950,19.843
-4050,6000,19.843
-4100,6050,19.843
-4150,6100,19.769
-4200,6150,19.584
-4250,6200,19.434
-4300,6250,19.681
-4350,6300,19.859
-4400,6350,19.834
-4450,6400,19.748
-4500,6450,19.65
-4550,6500,19.54
-4600,6550,19.455
-4650,6600,19.551
-4700,6650,19.646
-4750,6700,19.742
-4800,6750,19.837
-4850,6800,19.899
-4900,6850,19.927
-4950,6900,19.955
-5000,6950,19.983
-5050,7000,20.01
-5100,7050,19.951
-5150,7100,19.877
-5200,7150,19.816
-5250,7200,19.753
-5300,7250,19.732
-5350,7300,19.916
-5400,7350,19.719
-5450,7400,19.6
-5500,7450,19.489
-5550,7500,19.479
-5600,7550,19.541
-5650,7600,19.602
-5700,7650,19.664
-5750,7700,19.726
-5800,7750,19.769
-5850,7800,19.811
-5900,7850,19.854
-5950,7900,19.896
-6000,7950,19.918
-6050,8000,19.877
-6100,8050,19.836
-6150,8100,19.795
-6200,8150,19.754
-6250,8200,19.716
-6300,8250,19.754
-6350,8300,19.793
-6400,8350,19.833
-6450,8400,19.877
-6500,8450,19.921
-6550,8500,19.965
-6600,8550,20.009
-6650,8600,20.053
-6700,8650,20.097
-6750,8700,20.141
-6800,8750,20.181
-6850,8800,20.219
-6900,8850,20.258
-6950,8900,20.296
-7000,8950,20.335
-7050,9000,20.359
-7100,9050,20.365
-7150,9100,20.37
-7200,9150,20.375
-7250,9200,20.381
-7300,9250,20.385
-7350,9300,20.381
-7400,9350,20.376
-7450,9400,20.372
-7500,9450,20.367
-7550,9500,20.363
-7600,9550,20.358
-7650,9600,20.352
-7700,9650,20.345
-7750,9700,20.338
-7800,9750,20.331
-7850,9800,20.324
-7900,9850,20.318
-7950,9900,20.272
-8000,9950,20.19
-8050,10000,20.108
-8100,10050,20.017
-8150,10100,19.912
-8200,10150,19.808
-8250,10200,19.775
-8300,10250,19.966
-8350,10300,20.158
-8400,10350,20.328
-8450,10400,20.324
-8500,10450,20.319
-8550,10500,20.314
-8600,10550,20.31
-8650,10600,20.305
-8700,10650,20.301
-8750,10700,20.296
-8800,10750,20.292
-8850,10800,20.287
-8900,10850,20.286
-8950,10900,20.286
-9000,10950,20.286
-9050,11000,20.283
