year (AD),age (BP),depth (cm),lake_depth (m),salinity (g/L),Mean_boot_salinity (missing),sambleID (missing),numInZone (missing)
1991.58,-41.58,0.5,4.519,0.143,2.575,0-1c0,1
1991.3,-41.3,2.5,4.426,0.097,2.529,2-3c0,2
1989.35,-39.35,4.5,4.236,0.112,2.544,4-5c0,3
1985.253,-35.253,6.5,4.519,0.079,2.511,6-7c0,4
1980.398,-30.398,8.5,4.55,0.077,2.509,8-9c0,5
1974.35,-24.35,10.5,6.152,0.062,2.494,10-11c0,6
1965.37,-15.37,12.5,10,-0.122,2.31,12-13c0,7
1955.205,-5.205,14.5,11.482,-0.244,2.188,14-15c0,8
1946.435,3.565,16.5,10.304,-0.118,2.314,16-17c0,9
1939.3,10.7,18.5,9.057,-0.034,2.398,18-19c0,10
1932.21,17.79,20.5,10.641,-0.031,2.401,20-21c0,11
1925.12,24.88,22.5,8.185,-0.203,2.229,22-23c0,12
1914.19,35.81,24.5,1.791,0.666,3.098,24-25c0,13
1901.89,48.11,26.5,2.911,0.426,2.858,26-27c0,14
1887.05,62.95,28.5,4.477,0.15,2.582,28-29c0,15
1864.51,85.49,30.5,5.754,0.062,2.494,30-31c0,16
1841.97,108.03,32.5,4.786,0.202,2.634,32-33c0,17
1806.85,143.15,34.5,5.2,0.152,2.584,34-35c0,18
1771.73,178.27,36.5,7.161,0.039,2.471,36-37c0,19
1736.61,213.39,38.5,9.333,-0.028,2.404,38-39c0,20
1701.49,248.51,40.5,4.943,0.214,2.646,40-41c0,21
1666.37,283.63,42.5,4.943,0.309,2.741,42-43c0,22
1631.25,318.75,44.5,4.169,0.223,2.655,44-45c0,23
1499.167,450.833,45.5,5.358,0.162,2.594,0-1c1,24
1482.472,467.528,46.5,4.529,0.279,2.711,1-2c1,25
1465.778,484.222,47.5,3.54,0.294,2.726,2-3c1,26
1449.083,500.917,48.5,3.296,0.28,2.712,3-4c1,27
1432.389,517.611,49.5,3.707,0.236,2.668,4-5c1,28
1415.694,534.306,50.5,4.13,0.124,2.556,5-6c1,29
1399,551,51.5,4.932,0.111,2.543,6-7c1,30
1382.306,567.694,52.5,4.477,0.122,2.554,7-8c1,31
1365.611,584.389,53.5,5.224,0.07,2.502,8-9c1,32
1348.917,601.083,54.5,8.185,-0.181,2.251,9-10c1,33
1332.222,617.778,55.5,6.457,0.086,2.518,10-11c1,34
1315.528,634.472,56.5,8.954,0.018,2.45,11-12c1,35
1298.833,651.167,57.5,5.794,0.027,2.459,12-13c1,36
1282.139,667.861,58.5,4.721,0.118,2.55,13-14c1,37
1265.444,684.556,59.5,4.732,0.159,2.591,14-15c1,38
1248.75,701.25,60.5,4.775,0.137,2.569,15-16c1,39
1232.056,717.944,61.5,4.732,0.157,2.589,16-17c1,40
1215.361,734.639,62.5,4.645,0.167,2.599,17-18c1,41
1198.667,751.333,63.5,5.875,0.067,2.499,18-19c1,42
1181.972,768.028,64.5,5.42,0.117,2.549,19-20c1,43
1165.278,784.722,65.5,7.907,0.039,2.471,20-21c1,44
1148.583,801.417,66.5,5.284,0.133,2.565,21-22c1,45
1131.889,818.111,67.5,3.357,0.299,2.731,22-23c1,46
1115.194,834.806,68.5,5.534,0.141,2.573,23-24c1,47
1098.5,851.5,69.5,4.046,0.244,2.676,24-25c1,48
1081.806,868.194,70.5,5.117,0.193,2.625,25-26c1,49
1065.111,884.889,71.5,4.436,0.211,2.643,26-27c1,50
1048.417,901.583,72.5,5.284,0.177,2.609,27-28c1,51
1031.722,918.278,73.5,5.26,0.109,2.541,28-29c1,52
1015.028,934.972,74.5,5.176,0.088,2.52,29-30c1,53
998.333,951.667,75.5,5.236,0.071,2.503,30-31c1,54
981.639,968.361,76.5,4.943,0.168,2.6,31-32c1,55
964.944,985.056,77.5,4.592,0.084,2.516,32-33c1,56
948.25,1001.75,78.5,4.808,0.073,2.505,33-34c1,57
931.556,1018.444,79.5,4.909,0.117,2.549,34-35c1,58
914.861,1035.139,80.5,5.082,0.135,2.567,35-36c1,59
898.167,1051.833,81.5,4.498,0.186,2.618,36-37c1,60
881.472,1068.528,82.5,4.498,0.146,2.578,37-38c1,61
864.778,1085.222,83.5,4.887,0.128,2.56,38-39c1,62
848.083,1101.917,84.5,5.082,0.087,2.519,39-40c1,63
831.389,1118.611,85.5,6.324,0.142,2.574,40-41c1,64
814.694,1135.306,86.5,5.047,0.048,2.48,41-42c1,65
798,1152,87.5,4.207,0.044,2.476,42-43c1,1
787.833,1162.167,88.5,13.397,-0.251,2.181,43-44c1,2
777.667,1172.333,89.5,10.471,-0.012,2.42,44-45c1,3
767.5,1182.5,90.5,5.61,0.15,2.582,45-46c1,4
757.333,1192.667,91.5,9.506,0.012,2.444,46-47c1,5
747.167,1202.833,92.5,8.241,0.053,2.485,47-48c1,6
737,1213,93.5,5.272,0.202,2.634,48-49c1,7
726.833,1223.167,94.5,3.177,0.357,2.789,49-50c1,8
716.667,1233.333,95.5,5.236,0.273,2.705,50-51c1,9
706.5,1243.5,96.5,2.323,0.447,2.879,51-52c1,10
696.333,1253.667,97.5,2.917,0.398,2.83,52-53c1,11
686.167,1263.833,98.5,5.284,0.14,2.572,53-54c1,12
655.667,1294.333,101.5,4.966,0.214,2.646,56-57c1,13
645.5,1304.5,102.5,9.333,0.026,2.458,57-58c1,14
635.333,1314.667,103.5,10.186,-0.033,2.399,58-59c1,15
625.167,1324.833,104.5,4.699,0.247,2.679,59-60c1,16
615,1335,105.5,8.453,0.046,2.478,60-61c1,17
604.833,1345.167,106.5,9.078,0.02,2.452,61-62c1,18
594.667,1355.333,107.5,5.534,0.152,2.584,62-63c1,19
584.5,1365.5,108.5,4.688,0.234,2.666,63-64c1,20
574.333,1375.667,109.5,4.315,0.257,2.689,64-65c1,21
564.167,1385.833,110.5,7.295,0.089,2.521,65-66c1,22
554,1396,111.5,8.872,-0.067,2.365,66-67c1,23
533.667,1416.333,113.5,9.484,0.022,2.454,68-69c1,24
523.5,1426.5,114.5,9.162,-0.063,2.369,69-70c1,25
503.167,1446.833,116.5,7.98,0.083,2.515,71-72c1,26
493,1457,117.5,9.204,0.033,2.465,72-73c1,27
482.833,1467.167,118.5,10,0.011,2.443,73-74c1,28
472.667,1477.333,119.5,4.477,0.15,2.582,74-75c1,29
462.5,1487.5,120.5,3.873,0.16,2.592,75-76c1,30
452.333,1497.667,121.5,5.834,0.018,2.45,76-77c1,31
442.167,1507.833,122.5,5.998,0.089,2.521,77-78c1,32
432,1518,123.5,4.732,0.122,2.554,78-79c1,33
