age (bp) [1-1],depth (cm) [1-1],depth_bot (mm) [1-1],depth_top (mm) [1-1],age14C (bp) [1-1],age_error (years) [1-1],cal_age_range_old (bp) [1-1],cal_age_range_young (bp) [1-1],thickness (mm) [1-1],age (bp) [2-1],depth (cm) [2-1],depth_bot (mm) [2-1],depth_top (mm) [2-1],age14C (bp) [2-1],age_error (years) [2-1],cal_age_range_old (bp) [2-1],cal_age_range_young (bp) [2-1],thickness (mm) [2-1],age_type () [2-1],lab_id () [2-1]
-43,0,0,0,NA,NA,NA,NA,0,-43,0,0,0,NA,NA,NA,NA,0,2,NA
NA,25.5,250,260,70,30,260,26,10,NA,4.5,40,50,114,30,NA,NA,10,1,6
NA,35.5,350,360,320,30,469,305,10,NA,13.5,130,140,1120,30,1167,956,10,1,5
NA,41.5,410,420,460,90,646,309,10,NA,30.5,300,310,1335,30,1305,1180,10,1,14
NA,47.5,470,480,960,30,930,795,10,NA,44.5,440,450,1614,36,1598,1408,10,1,3
NA,57.5,570,580,1200,30,1239,1013,10,NA,48.5,480,490,1750,30,1734,1561,10,1,12
NA,67.5,670,680,1740,30,1717,1561,10,NA,61.5,610,620,1770,30,1813,1605,10,1,7
NA,84,830,850,2490,70,2736,2363,20,NA,69.5,690,700,2160,30,2308,2056,10,1,8
NA,129.5,1290,1300,5320,90,6283,5927,10,NA,86.5,860,870,2605,32,2779,2620,10,1,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.5,940,950,2915,30,3201,2961,10,1,9
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.5,1170,1180,3250,35,3562,3394,10,1,10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,1270,1290,3690,90,4378,3730,20,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.5,1580,1590,3890,35,4420,4184,10,1,11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,1845,1855,5250,40,6179,5922,10,1,13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.5,1980,1990,5780,90,6793,6354,10,1,1
