age (bp),depth (cm),depth_top (mm),depth_bot (mm),age14C (bp),age_error (1s),cal_age_error (1s),thickness (mm),age_type (),material_dated ()
-50,0,0,0,NA,NA,1,0,2,NA
2620,23.5,230,240,2525,30,100,10,1,1
3815,56.5,560,570,3550,40,75,10,1,1
4770,81.5,810,820,4245,40,70,10,1,1
5725,105.5,1050,1060,4970,50,85,10,1,1
6135,121.5,1210,1220,5365,50,105,10,1,1
7940,169.5,1690,1700,7140,50,60,10,1,1
8765,182.5,1820,1830,7890,65,145,10,1,1
10390,213.5,2130,2140,9240,40,90,10,1,1
