year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
-1366.25,3316.25,2813.01,16.758,0.609,195.808
-1380,3330,3035.577,17.328,0.628,105.026
-1402.56,3352.56,3093.316,17.365,0.629,106.132
-1459.31,3409.31,3153.053,16.851,0.612,137.48
-1460,3410,2979.831,17.02,0.618,135.165
-1502.92,3452.92,2924.189,16.862,0.612,158.855
-1516.06,3466.06,3212.896,16.744,0.608,161.646
-1572.81,3522.81,3272.781,16.588,0.603,181.526
-1629.56,3579.56,3332.691,16.804,0.61,198.416
-1686.31,3636.31,3392.62,16.414,0.597,213.026
-1743.06,3693.06,3452.562,16.337,0.594,225.8
-1799.81,3749.81,3512.516,16.972,0.616,237.035
-1856.56,3806.56,3572.479,16.674,0.606,246.939
-1970.06,3920.06,3692.429,16.378,0.596,263.337
-2622.69,4572.69,4382.569,16.676,0.606,293.062
-2651.06,4601.06,4412.589,17.166,0.623,292.205
-2764.56,4714.56,4532.681,17.686,0.64,286.983
-2878.06,4828.06,4652.792,17.428,0.632,278.759
-2991.56,4941.56,4772.924,17.295,0.627,267.256
-3105.06,5055.06,4893.081,17.36,0.629,252.027
-3218.56,5168.56,5013.267,17.444,0.632,232.339
-3332.06,5282.06,5133.491,17.402,0.631,206.924
-3445.56,5395.56,5253.772,17.283,0.627,173.281
-3559.06,5509.06,5374.164,17.32,0.628,124.893
-3672.5,5622.5,5512.801,17.391,0.63,90.255
-3785.83,5735.83,5705.251,17.373,0.63,91.277
-3857.7,5807.7,5802.126,17.484,0.633,102.89
-3956.62,5906.62,5900.214,17.553,0.636,147.35
-4022.57,5972.57,5965.726,17.546,0.636,167.001
-4088.51,6038.51,6031.288,17.643,0.639,181.94
-4154.46,6104.46,6096.886,17.695,0.641,193.289
-4220.41,6170.41,6162.513,16.905,0.614,201.676
-4253.38,6203.38,6195.336,16.279,0.592,204.881
-4286.35,6236.35,6228.165,17.647,0.639,207.472
-4352.3,6302.3,6293.84,17.635,0.639,210.905
-4418.24,6368.24,6359.537,17.785,0.644,212.101
-4484.19,6434.19,6425.255,17.706,0.641,211.111
-4550.14,6500.14,6490.995,17.796,0.644,207.916
-4616.08,6566.08,6556.758,17.866,0.646,202.429
-4682.03,6632.03,6622.546,18.061,0.653,194.473
-4747.97,6697.97,6688.364,17.63,0.638,183.756
-4813.92,6763.92,6754.217,18.013,0.651,169.797
-4879.86,6829.86,6820.12,17.986,0.651,151.78
-4945.81,6895.81,6886.104,17.807,0.644,128.19
-5011.76,6961.76,6952.318,17.985,0.65,96.035
-5090.5,7040.5,7014.805,17.642,0.639,112.251
-5184.5,7134.5,7106.646,17.767,0.643,151.73
-5278.5,7228.5,7198.612,17.623,0.638,180.11
-5372.5,7322.5,7290.629,17.769,0.643,201.846
-5466.5,7416.5,7382.679,17.935,0.649,218.855
-5560.5,7510.5,7474.754,17.696,0.641,232.144
-5654.5,7604.5,7566.849,17.389,0.63,242.307
-5748.5,7698.5,7658.961,17.447,0.632,249.714
-5842.5,7792.5,7751.089,18.073,0.653,254.596
-5936.5,7886.5,7843.231,17.657,0.639,257.091
-6030.5,7980.5,7935.387,17.539,0.635,257.264
-6124.5,8074.5,8027.558,17.943,0.649,255.117
-6218.5,8168.5,8119.743,17.793,0.644,250.588
-6312.5,8262.5,8211.944,17.684,0.64,243.542
-6406.5,8356.5,8304.162,17.678,0.64,233.752
-6500.5,8450.5,8396.4,18.062,0.653,220.855
-6594.5,8544.5,8488.662,18.073,0.653,204.27
-6782.5,8732.5,8673.305,18.05,0.653,155.193
-6876.5,8826.5,8765.776,18.133,0.656,116.4
-6931.41,8881.41,8833.497,18.036,0.652,101.955
-6973.28,8923.28,8876.173,18.08,0.654,120.565
-7015.16,8965.16,8918.905,18.108,0.655,134.515
-7057.03,9007.03,8961.662,18.306,0.661,144.955
-7098.91,9048.91,9004.434,18.236,0.659,152.551
-7140.78,9090.78,9047.219,18.121,0.655,157.686
-7182.66,9132.66,9090.015,18.026,0.652,160.579
-7224.53,9174.53,9132.819,17.888,0.647,161.337
-7350.16,9300.16,9261.287,17.558,0.636,150.551
-7392.03,9342.03,9304.129,17.423,0.631,142.015
-7433.91,9383.91,9346.983,17.791,0.644,130.293
-7475.78,9425.78,9389.853,17.839,0.646,114.38
-7607.95,9557.95,9520.705,17.45,0.632,58.459
-7658.56,9608.56,9568.072,17.36,0.629,99.289
-7810.38,9760.38,9710.67,17.224,0.625,162.35
-7860.98,9810.98,9758.26,17.439,0.632,176.205
-7911.59,9861.59,9805.868,17.281,0.627,187.996
-7962.2,9912.2,9853.489,17.212,0.624,198.097
-8012.8,9962.8,9901.121,17.505,0.634,206.759
-8063.4,10013.4,9948.764,17.499,0.634,214.159
-8114,10064,9996.416,17.484,0.633,220.427
-8164.6,10114.6,10044.076,17.487,0.634,225.659
-8215.2,10165.2,10091.745,17.171,0.623,229.928
-8265.8,10215.8,10139.421,17.911,0.648,233.288
-8316.4,10266.4,10187.104,17.229,0.625,235.779
-8367,10317,10234.794,17.262,0.626,237.431
-8417.7,10367.7,10282.49,17.089,0.62,238.262
-8468.3,10418.3,10330.194,17.275,0.626,238.283
-8518.9,10468.9,10377.905,17.122,0.621,237.495
-8569.5,10519.5,10425.622,17.117,0.621,235.892
-8620.1,10570.1,10473.347,17.024,0.618,233.46
-8670.7,10620.7,10521.079,16.924,0.614,230.174
-8873.1,10823.1,10712.094,16.797,0.61,207.587
-8974.3,10924.3,10807.667,17.269,0.626,189.469
-9024.9,10974.9,10855.477,17.047,0.619,178.185
-9075.5,11025.5,10903.309,16.66,0.605,165.049
-9176.7,11126.7,10999.082,16.333,0.594,131.141
-9367.5,11317.5,11172.446,16.138,0.588,139.159
-9707.5,11657.5,11578.59,16.122,0.587,213.751
-10047.5,11997.5,11985.414,15.899,0.58,200.726
-10300.3,12250.3,12405.846,16.159,0.588,195.958
-10407.6,12357.6,12826.706,15.846,0.578,333.443
-10514.9,12464.9,13241.2,15.914,0.58,438.034
