OriginalDateID (),TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
NA,0,0,Core top,-59,NA,NA,Y,NA
Poz-37418,88,90,C14 Uncalibrated,75,105,75,Y,Leaves
Poz-32844,208,210,C14 Uncalibrated,635,665,635,Y,"Needles, leaves"
Poz-37420,288,290,C14 Uncalibrated,1510,1540,1510,Y,"Leaves, wood"
Poz-39388,319,319,C14 Uncalibrated,1825,1855,1825,Y,"Wood, periderm"
Poz-32845,368,370,C14 Uncalibrated,2420,2450,2420,Y,"Needles, leaves"
Poz-39389,410,412,C14 Uncalibrated,3020,3050,3020,Y,"Leaves, wood"
Poz-37421,449,451,C14 Uncalibrated,2405,2440,2405,Y,"Needles, leaves"
Poz-39390,530,531,C14 Uncalibrated,4455,4485,4455,Y,Wood
Poz-32846,568,570,C14 Uncalibrated,5090,5130,5090,Y,"Needles, leaves"
Poz-37422,649,651,C14 Uncalibrated,6460,6500,6460,Y,"Needles, leaves"
Poz-32847,728,730,C14 Uncalibrated,8210,8260,8210,Y,"Needles, leaves"
Poz-39392,760,762,C14 Uncalibrated,8820,8870,8820,Y,"Needles, indet. bud"
Poz-39393,780,782,C14 Uncalibrated,9500,9550,9500,Y,"Leaves, indet. twig, wood"
Poz-37423,829,833,C14 Uncalibrated,11850,11920,11850,Y,"Indet. CM, wood, bark, indet. leave fragments"
