depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,16,15.086,-16.386,-0.032,1286.857
10,156,15.043,-16.071,-0.068,1248.143
20,312,15.843,-17.671,0.068,1010.143
30,467,15.857,-17.171,0.246,1024.143
40,623,15.243,-16.329,0.036,1280.571
50,779,14.943,-17.3,-0.471,1170
60,935,15.914,-15.771,0.651,1131.714
70,1090,14.986,-17.329,-0.435,1173
80,1246,15.443,-15.4,0.538,1263.857
90,1402,15.057,-16.5,-0.14,1289.857
100,1558,15.486,-15.886,0.368,1240.857
110,1713,15.329,-15.943,0.3,1247.143
120,1869,15.243,-16.329,0.036,1280.571
130,2025,14.986,-15.671,0.113,1321
140,2181,15.086,-16.386,-0.032,1286.857
152,2368,15.243,-16.329,0.036,1280.571
160,2492,15.086,-16.386,-0.032,1286.857
170,2648,15.057,-16.5,-0.14,1289.857
180,2804,15.671,-16.4,0.393,1082.429
190,2959,16.371,-15.643,1.057,1119.286
200,3115,15.614,-16.643,0.177,1200.143
210,3271,17.557,-13.786,2.569,1039
220,3427,14.986,-15.671,0.113,1321
230,3582,15.843,-15.714,0.671,1195.286
250,3894,16.029,-15.286,1.112,1155
260,4050,14.929,-15.714,0.2,1319.714
270,4205,16.886,-14.371,2.051,1038.857
280,4374,16.257,-15.257,1.287,1118
290,4544,16.286,-15.886,0.954,1059.429
300,4714,15.871,-15.871,0.861,1128.571
310,4885,16.929,-14.657,2.014,1034.429
320,5055,16.886,-15.9,1.58,943.714
330,5226,17.857,-15.586,2.235,846.286
340,5396,17.457,-14.729,2.393,939.286
350,5567,17.6,-14.557,2.337,931.143
360,5737,17.771,-16.214,2.045,789
370,5907,18.014,-15.486,2.45,787.571
380,6078,18.014,-15.486,2.45,787.571
390,6248,18.043,-15.571,2.435,786.286
400,6419,18.086,-15.114,2.59,812
410,6589,18.014,-15.486,2.45,787.571
420,6896,18.057,-15.686,2.445,802
430,7340,18.014,-15.486,2.45,787.571
438,7695,17.986,-15.814,2.364,771.143
450,8016,18.043,-15.571,2.435,786.286
460,8157,17.843,-16.671,1.857,780.429
470,8480,17.629,-15.771,2.232,813.857
480,8803,18.029,-16.186,2.192,763.857
490,9125,17.629,-15.771,2.232,813.857
500,9448,18.029,-16.186,2.192,763.857
510,9771,17.986,-16.186,2.175,788.429
