year (AD),age (BP),massDry (g),massDry_1mm (g)
908.2,1041.8,19.364,0.111
851,1099,14.982,0.725
793.9,1156.1,22.518,0.181
737.2,1212.8,15.35,0.069
680.7,1269.3,25.674,0.016
624.5,1325.5,20.436,0.03
568.6,1381.4,11.653,0.028
513,1437,19.454,0.079
457.6,1492.4,18.282,1.396
402.5,1547.5,19.419,0.062
347.6,1602.4,28.691,0.222
293.1,1656.9,36.046,1.019
238.8,1711.2,38.412,0.222
184.7,1765.3,28.526,0.115
131,1819,36.675,0.204
77.4,1872.6,29.533,0.075
24.2,1925.8,35.942,3.326
-28.8,1978.8,41.881,0.097
-81.5,2031.5,30.666,0.303
-134,2084,39.051,0.247
-186.2,2136.2,40.426,0.12
-238.1,2188.1,28.581,0
-289.8,2239.8,33.824,1.865
-341.2,2291.2,42.461,0.455
-392.4,2342.4,40.664,7.821
-443.3,2393.3,29.475,0.934
-494,2444,37.81,0.142
-544.4,2494.4,33.707,0.091
-594.5,2544.5,37.808,0.338
-644.4,2594.4,35.291,1.149
-694.1,2644.1,40.326,0.245
-743.5,2693.5,34.927,0.034
-792.6,2742.6,30.454,0.004
-841.5,2791.5,24.653,0.025
-890.2,2840.2,32.882,0.208
-938.6,2888.6,33.396,0.107
-986.8,2936.8,27.627,0
-1058.6,3008.6,45.16,0.026
-1106.1,3056.1,37.496,0.233
-1153.5,3103.5,60.461,0.015
-1200.5,3150.5,54.55,0.303
-1247.4,3197.4,39.478,0.179
-1294,3244,52.939,0.114
-1340.3,3290.3,54.722,4.49
-1386.4,3336.4,60.499,0.057
-1432.3,3382.3,63.118,1.836
-1478,3428,66.193,0.134
-1523.4,3473.4,30.219,0.026
-1568.6,3518.6,38.034,0.109
-1613.5,3563.5,24.042,0.069
-1635.9,3585.9,27.325,0.087
-1680.5,3630.5,62.969,0.34
-1724.9,3674.9,60.476,0.028
-1769,3719,42.839,0.043
-1812.9,3762.9,60.548,0.313
-1856.6,3806.6,53.794,0.036
-1900,3850,68.526,0.004
-1943.3,3893.3,55.664,0.026
-1986.3,3936.3,68.455,0.015
-2029,3979,51.856,0.061
-2071.6,4021.6,66.204,0.12
-2113.9,4063.9,67.725,0.018
-2156,4106,53.793,0.027
-2197.9,4147.9,47.92,0.158
-2239.6,4189.6,51.168,0.032
-2281,4231,59.657,0.02
-2322.2,4272.2,49.907,0.045
-2363.2,4313.2,61.323,0.153
-2404,4354,66.387,0.167
-2444.6,4394.6,50.752,0.012
-2484.9,4434.9,64.543,0.059
-2525.1,4475.1,57.457,0.052
-2565,4515,55.962,0.028
-2604.7,4554.7,62.915,0.303
-2644.2,4594.2,47.362,0.014
-2683.5,4633.5,21.485,0.126
-2722.6,4672.6,58.982,0.039
-2761.5,4711.5,70.67,0.068
-2800.1,4750.1,45.956,0.012
-2838.6,4788.6,59.884,0.017
-2876.8,4826.8,56.693,0.011
-2914.8,4864.8,45.263,0.008
-2952.7,4902.7,57.145,0.012
-2990.3,4940.3,65.041,0.01
-3027.7,4977.7,62.487,0.01
-3064.9,5014.9,76.302,0.139
-3102,5052,60.604,0.04
-3138.8,5088.8,70.959,0.04
-3175.4,5125.4,66.412,0.001
-3211.8,5161.8,62.661,0.007
-3248,5198,64.314,0.006
-3284,5234,65.559,0.005
-3319.9,5269.9,66.438,0
-3355.5,5305.5,74.495,0.01
-3390.9,5340.9,66.95,0.008
-3426.2,5376.2,59.089,0.014
-3461.2,5411.2,49.818,0.025
-3496,5446,63.169,0.001
-3530.7,5480.7,40.089,0
-3565.1,5515.1,47.622,0.002
-3599.4,5549.4,28.295,0.04
-3633.5,5583.5,49.198,0.006
-3667.4,5617.4,64.39,0.047
-3701.1,5651.1,72.84,0.053
-3734.6,5684.6,60.449,0.015
-3767.9,5717.9,63.461,0.003
-3801.1,5751.1,45.847,0.012
-3834,5784,58.023,0.02
-3866.8,5816.8,73.21,0.034
-3899.4,5849.4,62.54,0.157
-3931.8,5881.8,46.87,0.011
-3964,5914,41.445,0
-3996,5946,64.692,0.004
-4027.9,5977.9,61.166,0.001
-4059.6,6009.6,54.052,0
-4091.1,6041.1,49.345,0.556
-4122.4,6072.4,46.804,0.075
-4153.5,6103.5,65.282,0.062
-4184.5,6134.5,68.144,0.064
-4215.3,6165.3,59.257,0.02
-4245.9,6195.9,60.324,0.02
-4276.3,6226.3,62.48,0.001
-4306.6,6256.6,51.898,0.013
-4336.7,6286.7,62.592,0
-4366.6,6316.6,67.201,0.003
-4396.4,6346.4,37.247,0
-4425.9,6375.9,64.939,0.007
-4455.3,6405.3,56.371,0
-4484.6,6434.6,77.822,0.003
-4513.6,6463.6,56.093,0
-4542.5,6492.5,46.374,0.007
-4571.3,6521.3,86.619,0.006
-4599.8,6549.8,66.826,0.015
-4628.2,6578.2,68.334,0.002
-4656.5,6606.5,76.099,0
-4684.5,6634.5,65.927,0.006
-4712.5,6662.5,73.772,0.003
-4740.2,6690.2,25.536,0.394
-4795.2,6745.2,75.643,0.002
-4822.5,6772.5,72.896,0.006
-4849.6,6799.6,65.395,0
-4876.5,6826.5,62.573,0.018
-4903.3,6853.3,67.712,0.005
-4929.9,6879.9,69.638,0.006
-4956.4,6906.4,59.77,0
-4982.7,6932.7,56.746,0.052
-5008.9,6958.9,60.077,0.001
-5034.9,6984.9,82.161,0
-5086.4,7036.4,35.061,0.002
-5112,7062,69.386,0.012
-5137.4,7087.4,65.27,0.004
-5162.6,7112.6,72.044,0.047
-5175.2,7125.2,54.454,NA
-5187.7,7137.7,64.727,0
-5212.6,7162.6,59.585,0.042
-5237.4,7187.4,60.71,0.008
-5262.1,7212.1,73.725,0.002
-5286.6,7236.6,63.12,0.001
-5310.9,7260.9,81.184,0.007
-5335.1,7285.1,54.213,0
-5359.2,7309.2,76.809,0.01
-5383.1,7333.1,63.798,0.038
-5406.9,7356.9,75.311,0.004
-5430.5,7380.5,58.396,0
-5454,7404,55.506,0
-5477.3,7427.3,76.698,0
-5500.5,7450.5,44.671,0.089
-5523.6,7473.6,47.31,0.005
-5546.5,7496.5,67.54,0
-5569.3,7519.3,52.321,0.011
-5591.9,7541.9,68.39,0
-5614.4,7564.4,48.098,0
-5636.8,7586.8,62.677,0.003
-5659,7609,70.191,0.056
-5681.1,7631.1,33.775,0
-5703.1,7653.1,73.369,0
-5724.9,7674.9,53.849,0
-5746.6,7696.6,76.151,0
-5768.1,7718.1,90.909,0
-5789.6,7739.6,39.066,0.002
-5810.9,7760.9,61.896,0.003
-5832,7782,57.192,0
-5853.1,7803.1,70.733,0.065
-5874,7824,62.396,0.018
-5894.7,7844.7,65.735,0
-5915.4,7865.4,72.299,NA
-5935.9,7885.9,44.598,NA
-5956.3,7906.3,73.526,0.036
-5976.6,7926.6,58.141,NA
-5996.7,7946.7,84.385,NA
-6016.7,7966.7,67.919,0.007
-6036.6,7986.6,53.564,NA
-6056.4,8006.4,72.295,0.004
-6076,8026,81.372,NA
-6095.5,8045.5,76.498,NA
-6114.9,8064.9,75.837,0.058
-6134.2,8084.2,67.387,0.114
-6153.4,8103.4,81.725,0.028
-6172.4,8122.4,80.109,0.063
-6191.3,8141.3,47.119,0.013
-6210.1,8160.1,55.714,0.049
-6228.8,8178.8,69.357,0.005
-6247.4,8197.4,94.162,0.024
-6265.8,8215.8,86.347,0.009
-6284.2,8234.2,90.808,0.013
-6302.4,8252.4,75.416,0.016
-6320.5,8270.5,104.112,0.076
-6338.5,8288.5,70.877,0.018
-6356.3,8306.3,62.629,0.073
-6374.1,8324.1,73.634,0.028
-6391.8,8341.8,77.633,0.055
-6409.3,8359.3,88.521,0.073
-6426.7,8376.7,75.989,0.014
-6444,8394,80.455,0.007
-6461.2,8411.2,114.795,0.053
-6478.3,8428.3,81.24,0.066
-6495.3,8445.3,59.565,0.058
-6512.2,8462.2,75.111,0.094
-6529,8479,92.659,0.075
-6545.6,8495.6,68.547,0.061
-6562.2,8512.2,83.197,0.047
-6578.7,8528.7,77.799,0.032
-6595,8545,75.722,0.15
-6611.3,8561.3,58.871,0.11
-6627.4,8577.4,42.406,0.08
-6643.4,8593.4,97.528,0.106
-6659.4,8609.4,74.843,0.101
-6675.2,8625.2,96.2,0.143
-6690.9,8640.9,67.908,0.002
-6706.6,8656.6,70.23,0.028
-6722.1,8672.1,84.612,0.08
-6737.5,8687.5,85.738,0.05
-6752.9,8702.9,71.221,0.005
-6768.1,8718.1,83.816,0.014
-6783.2,8733.2,91.176,0.142
-6798.3,8748.3,76.726,0.186
-6813.2,8763.2,91.344,1.725
-6828.1,8778.1,68.785,0.089
-6842.8,8792.8,90.726,0.093
-6857.5,8807.5,84.77,0.017
-6872.1,8822.1,89.575,0.004
-6886.5,8836.5,76.86,0.108
-6900.9,8850.9,91.154,0.054
-6915.2,8865.2,76.563,0.039
-6929.4,8879.4,69.701,0.039
-6943.5,8893.5,74.697,0.033
-6957.5,8907.5,76.045,0.055
-6971.4,8921.4,78.401,0.006
-6985.2,8935.2,80.197,0.074
-6999,8949,44.237,0.027
-7012.6,8962.6,71.723,0.015
-7026.2,8976.2,68.555,0.067
-7039.7,8989.7,91.641,0.295
-7053.1,9003.1,77.703,0.103
-7066.4,9016.4,70.646,0.021
-7079.6,9029.6,87.238,0.196
-7092.7,9042.7,77.097,0.077
-7105.8,9055.8,78.155,0.182
-7118.7,9068.7,76.012,0.91
-7131.6,9081.6,57.662,0.067
-7144.4,9094.4,32.165,0.057
-7157.1,9107.1,48.893,0.087
-7163.4,9113.4,33.785,0.053
-7201,9151,38.257,0.014
-7237.8,9187.8,40.323,0.032
-7273.9,9223.9,62.021,0.005
-7309.3,9259.3,69.224,0.034
-7344.1,9294.1,0,0.075
-7378.1,9328.1,48.82,0.022
-7411.6,9361.6,0,0
-7444.4,9394.4,47.772,0.064
-7476.5,9426.5,0,0.043
-7508.1,9458.1,47.571,0
-7539.1,9489.1,56.138,0.015
-7569.4,9519.4,80.052,0.02
-7599.3,9549.3,28.796,0.006
-7628.5,9578.5,53.229,0.012
-7657.2,9607.2,49.309,0.002
-7685.4,9635.4,51.243,0.015
-7703.9,9653.9,29.206,0
-7713.1,9663.1,72.39,0
-7740.3,9690.3,62.55,0.002
-7767,9717,54.592,0.117
-7793.2,9743.2,58.862,0.023
-7818.9,9768.9,52.945,0.055
-7844.2,9794.2,43.695,0.044
-7869,9819,62.456,0.021
-7893.4,9843.4,58.711,0
-7917.4,9867.4,47.108,0.001
-7937.1,9887.1,70.444,0.002
-7960.4,9910.4,79.348,0.008
-7983.2,9933.2,70.798,0.01
-8005.7,9955.7,61.354,0.014
-8027.8,9977.8,42.142,0.03
-8027.8,9977.8,42.142,0.03
-8049.6,9999.6,68.759,0.009
-8071,10021,72.404,0.044
-8092,10042,58.587,0.02
-8103,10053,47.86,0.062
-8113,10063,66.042,0.017
-8133,10083,82.901,0
-8154,10104,72.319,0.014
-8173,10123,69.362,0.059
-8193,10143,88.388,0.109
-8212,10162,46.093,0.008
-8231,10181,86.916,0.009
-8250,10200,81.521,0.028
-8266,10216,30.42,0.002
-8287,10237,71.638,0.051
-8305,10255,70.538,0.021
-8323,10273,69.823,0.031
-8335,10285,64.783,0.002
-8353,10303,61.975,0.043
-8370,10320,52.226,0.115
-8387,10337,75.644,0.146
