depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
0,-27,17.743,-11.486,3.696,1064.429
10,440,17.086,-12.857,2.81,993.286
15,673,17.5,-12.257,3.245,1026.714
20,906,17.5,-12.257,3.245,1026.714
25,1139,17.743,-11.486,3.696,1064.429
30,1373,17.743,-11.486,3.696,1064.429
35,1606,17.743,-11.486,3.696,1064.429
40,1839,17.171,-10.529,3.755,1095
45,2072,17.743,-11.486,3.696,1064.429
50,2306,17.171,-10.529,3.755,1095
55,2539,17.743,-11.486,3.696,1064.429
60,2772,17.743,-11.486,3.696,1064.429
65,3005,17.743,-11.486,3.696,1064.429
68,3145,17.743,-11.486,3.696,1064.429
70,3239,17.5,-12.257,3.245,1026.714
75,3419,17.086,-13.314,2.258,939.143
85,3619,17.5,-12.257,3.245,1026.714
95,3820,17.5,-12.257,3.245,1026.714
105,4020,17.086,-12.857,2.81,993.286
115,4221,16.614,-14.729,1.513,887.714
125,4422,16.629,-14.614,1.527,901.571
135,4622,17.5,-12.257,3.245,1026.714
145,4823,17.5,-12.257,3.245,1026.714
155,5024,17.086,-12.857,2.81,993.286
165,5224,16.614,-14.729,1.513,887.714
168,5284,17.5,-12.257,3.245,1026.714
175,5466,17.043,-14.014,1.963,935
185,5875,16.857,-13.971,1.821,915.286
195,6283,17.5,-12.257,3.245,1026.714
205,6692,17.743,-11.486,3.696,1064.429
210,6896,17.5,-12.257,3.245,1026.714
215,7100,17.143,-13.371,2.24,939.286
220,7304,17.271,-12.9,2.951,1013
222.5,7407,17.071,-12.971,2.795,979.429
225,7509,17.071,-12.971,2.795,979.429
230,7713,17.5,-12.257,3.245,1026.714
235,7917,17.271,-12.9,2.951,1013
240,8121,17.743,-11.486,3.696,1064.429
