year (AD),age (BP),age (BP),temperature (degC),Mg/Ca (mmol/mol),ageUncertainty (yr)
1183,767,778.08,28.536,5.265,107.169
1045,905,917.334,28.201,5.1,167.08
769,1181,1193.543,27.237,4.654,211.242
631,1319,1331.009,26.803,4.466,211.818
493,1457,1468.083,27.21,4.642,199.227
355,1595,1604.667,25.898,4.098,170.551
217,1733,1740.346,26.534,4.353,114.184
70.69,1879.31,1886.931,26.274,4.247,119.666
-83.92,2033.92,2044.24,26.747,4.442,180.074
-238.54,2188.54,2200.598,26.625,4.391,210.594
-393.15,2343.15,2356.436,26.766,4.45,223.83
-547.77,2497.77,2511.852,27.082,4.586,222.896
-702.38,2652.38,2666.836,27.069,4.58,207.613
-857,2807,2821.259,26.375,4.288,174.268
-1011.62,2961.62,2974.476,27.267,4.667,107.256
-1187.87,3137.87,3152.283,26.575,4.37,147.031
-1373.4,3323.4,3339.095,26.281,4.25,190.795
-1558.94,3508.94,3524.76,26.244,4.235,200.502
-1744.47,3694.47,3709.398,27.208,4.641,181.92
-1930,3880,3890.674,25.919,4.106,124.414
-2118.5,4068.5,4083.577,26.555,4.362,190.986
-2307,4257,4272.802,26.825,4.475,223.223
-2495.5,4445.5,4461.086,26.907,4.51,234.893
-2684,4634,4648.602,26.112,4.182,228.899
-2872.5,4822.5,4835.177,27.432,4.741,203.339
-3061,5011,5018.074,26.948,4.528,145.952
-3270.71,5220.71,5233.14,26.846,4.484,227.351
-3480.43,5430.43,5445.014,26.766,4.45,276.413
-3690.14,5640.14,5656.27,27.379,4.717,310.457
-3899.86,5849.86,5867.159,26.512,4.344,334.251
-4109.57,6059.57,6077.777,26.836,4.48,349.95
-4319.29,6269.29,6288.169,26.661,4.406,358.648
-4529,6479,6498.356,26.207,4.22,360.867
-4738.71,6688.71,6708.345,26.458,4.322,356.741
-4948.43,6898.43,6918.13,27.064,4.578,346.046
-5158.14,7108.14,7127.688,26.613,4.386,328.14
-5367.86,7317.86,7336.976,27.454,4.751,301.735
-5577.57,7527.57,7545.896,27.212,4.643,264.263
-5787.29,7737.29,7754.199,26.932,4.521,209.759
-5997,7947,7959.309,27.406,4.729,113.836
-6332.2,8282.2,8320.411,27.011,4.555,252.429
-6667.4,8617.4,8677.426,26.946,4.527,320.282
-7002.6,8952.6,9033.588,26.78,4.456,361.346
-7337.8,9287.8,9389.206,26.666,4.408,384.544
-7673,9623,9744.384,26.784,4.458,393.194
-8008.2,9958.2,10099.15,26.429,4.31,388.392
-8343.4,10293.4,10453.475,27.185,4.631,369.755
-8678.6,10628.6,10807.256,27.305,4.684,335.185
-9013.8,10963.8,11160.185,27.273,4.67,279.281
-9349,11299,11509.027,27.14,4.611,188.418
-9558.5,11508.5,11688.322,26.981,4.542,224.149
-9768,11718,11864.154,26.995,4.548,247.634
-9977.5,11927.5,12039.211,27.108,4.597,259.85
-10187,12137,12213.733,26.909,4.511,261.981
-10270.8,12220.8,12283.408,26.637,4.396,260.046
-10354.6,12304.6,12353.006,26.897,4.506,256.457
-10438.4,12388.4,12422.522,26.706,4.425,251.129
-10606,12556,12561.282,26.417,4.305,234.66
-10689.8,12639.8,12630.494,27.023,4.56,223.039
-10773.6,12723.6,12699.556,26.39,4.294,208.627
-10857.4,12807.4,12768.403,26.074,4.167,190.714
-11025,12975,12903.281,26.011,4.142,136.134
-11086,13036,12971.135,25.854,4.081,159.456
-11147,13097,13037.197,26.194,4.215,174.374
-11208,13158,13102.885,26.252,4.238,184.04
-11269,13219,13168.334,25.675,4.012,189.359
-11330,13280,13233.591,25.944,4.116,190.727
-11391,13341,13298.666,26.304,4.259,188.236
-11452,13402,13363.548,25.593,3.981,181.716
-11513,13463,13428.192,25.662,4.007,170.663
-11574,13524,13492.462,26.069,4.165,153.971
-11635,13585,13554.939,25.893,4.096,127.824
-11757.7,13707.7,13688.674,26.242,4.234,186.046
-11880.4,13830.4,13819.79,26.264,4.243,225.13
-12003.1,13953.1,13950.36,25.172,3.825,254.832
-12125.8,14075.8,14080.581,25.328,3.882,278.202
-12248.5,14198.5,14210.521,26.152,4.198,296.726
-12493.9,14443.9,14469.589,26.234,4.231,322.244
-12616.6,14566.6,14598.634,25.561,3.969,329.997
-12739.3,14689.3,14727.132,25.355,3.892,334.539
