OriginalDateID (),TopDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
NA,NA,Core top,-55,-55,-55,Y,core collected 2005; 210Pb ages reported by Thomas et al. 2008 DOI 10.1007/s10933-007-9178-y
AA60640,2,C14 Uncalibrated,748,783,713,Y,aquatic bryophyte macrofossils
AA60641,31,C14 Uncalibrated,3138,3200,3076,Y,aquatic bryophyte macrofossils
AA60642,50,C14 Uncalibrated,4664,4705,4623,Y,aquatic bryophyte macrofossils
CURL-8927,58,C14 Uncalibrated,6105,6125,6085,Y,aquatic bryophyte macrofossils
CURL-8427,66.5,C14 Uncalibrated,7490,7510,7470,Y,aquatic bryophyte macrofossils
CURL-8428,70.5,C14 Uncalibrated,7440,7460,7420,Y,aquatic bryophyte macrofossils
AA60643,71,C14 Uncalibrated,7368,7436,7300,Y,aquatic bryophyte macrofossils
CURL-8929,77,C14 Uncalibrated,7695,7725,7665,Y,aquatic bryophyte macrofossils
CURL-8429,84,C14 Uncalibrated,8400,8420,8380,Y,aquatic bryophyte macrofossils
AA60644,88,C14 Uncalibrated,8365,8415,8315,Y,aquatic bryophyte macrofossils
CURL-8896,98,C14 Uncalibrated,9115,9140,9090,Y,aquatic bryophyte macrofossils
CURL-6954,107,C14 Uncalibrated,9320,9365,9275,Y,aquatic bryophyte macrofossils
CURL-8271,107.5,C14 Uncalibrated,9360,9390,9330,Y,aquatic bryophyte macrofossils
CURL-8142,113,C14 Uncalibrated,10245,10275,10215,N,aquatic bryophyte macrofossils
AA60645,121,C14 Uncalibrated,8532,8618,8446,N,aquatic bryophyte macrofossils
