depth (cm),age (yr BP),LabCode (),dummy3 (),material (),error (yr),dummy7 (),calibrated ()
102.5,1255,ETH-42351,NA,terr.macrofossils,60,NA,1056-1295
223,2035,ETH-39236,NA,wood,35,NA,1898-2112
337.5,3015,ETH-41051,NA,terr.macrofossils,35,NA,3079-3338
419.5,3305,ETH-39237,NA,wood,35,NA,3452-3630
652,4595,ETH-41052,NA,wood,35,NA,5068-5460
696,5035,ETH-39238,NA,wood,35,NA,5663-5899*
778.5,8015,ETH-41053,NA,terr.macrofossils,35,NA,8765-9012*
798,6450,ETH-42352,NA,wood,35,NA,7291-7430
871.5,8055,ETH-41054,NA,wood,35,NA,8776-9079
909.7,9340,ETH-44254,NA,terr.macrofossils,35,NA,10431-10667
919.5,9630,ETH-39238,NA,wood,45,NA,10776-11180
