year (AD),age (BP),MTWM (degC)
1850,100,22.029
1800,150,21.999
1750,200,21.969
1700,250,21.964
1650,300,22.029
1600,350,22.126
1550,400,22.043
1500,450,22.233
1450,500,22.052
1400,550,21.943
1350,600,21.938
1300,650,21.964
1250,700,22.143
1200,750,21.976
1150,800,22.095
1100,850,21.936
1050,900,21.848
1000,950,22.088
950,1000,21.814
900,1050,22.076
850,1100,22.11
800,1150,22.021
750,1200,21.976
700,1250,22.048
650,1300,22.071
600,1350,22.25
550,1400,22.248
500,1450,22.157
450,1500,22.086
400,1550,22.086
350,1600,22.086
300,1650,22.086
250,1700,22.162
200,1750,22.2
150,1800,22.29
100,1850,22.429
50,1900,22.214
0,1950,22.167
-50,2000,22.224
-100,2050,22.271
-150,2100,22.233
-200,2150,22.101
-250,2200,22.117
-300,2250,22.153
-350,2300,22.189
-400,2350,22.225
-450,2400,22.26
-500,2450,22.296
-550,2500,22.332
-600,2550,22.398
-650,2600,22.539
-700,2650,22.39
-750,2700,22.193
-800,2750,22.108
-850,2800,22.217
-900,2850,22.345
-950,2900,22.288
-1000,2950,22.225
-1050,3000,22.204
-1100,3050,22.383
-1150,3100,22.374
-1200,3150,22.268
-1250,3200,22.146
-1300,3250,22.141
-1350,3300,22.196
-1400,3350,22.158
-1450,3400,22.115
-1500,3450,22.065
-1550,3500,21.971
-1600,3550,22.1
-1650,3600,22.4
-1700,3650,22.41
-1750,3700,22.453
-1800,3750,22.528
-1850,3800,22.228
-1900,3850,22.101
-1950,3900,22.162
-2000,3950,22.224
-2050,4000,22.285
-2100,4050,22.347
-2150,4100,22.408
-2200,4150,22.47
-2250,4200,22.531
-2300,4250,22.594
-2350,4300,22.658
-2400,4350,22.644
-2450,4400,22.569
-2500,4450,22.506
-2550,4500,22.581
-2600,4550,22.656
-2650,4600,22.617
-2700,4650,22.501
-2750,4700,22.414
-2800,4750,22.529
-2850,4800,22.644
-2900,4850,22.686
-2950,4900,22.686
-3000,4950,22.66
-3050,5000,22.499
-3100,5050,22.337
-3150,5100,22.38
-3200,5150,22.518
-3250,5200,22.633
-3300,5250,22.656
-3350,5300,22.679
-3400,5350,22.686
-3450,5400,22.686
-3500,5450,22.686
-3550,5500,22.686
-3600,5550,22.686
-3650,5600,22.725
-3700,5650,22.777
-3750,5700,22.768
-3800,5750,22.6
-3850,5800,22.433
-3900,5850,22.423
-3950,5900,22.452
-4000,5950,22.492
-4050,6000,22.555
-4100,6050,22.618
-4150,6100,22.551
-4200,6150,22.64
-4250,6200,22.601
-4300,6250,22.477
-4350,6300,22.354
-4400,6350,22.351
-4450,6400,22.458
-4500,6450,22.54
-4550,6500,22.628
-4600,6550,22.405
-4650,6600,22.456
-4700,6650,22.682
-4750,6700,22.425
-4800,6750,22.604
-4850,6800,22.457
-4900,6850,22.598
-4950,6900,22.508
-5000,6950,22.4
-5050,7000,22.536
-5100,7050,22.605
-5150,7100,22.486
-5200,7150,22.461
-5250,7200,22.499
-5300,7250,22.691
-5350,7300,22.666
-5400,7350,22.642
-5450,7400,22.656
-5500,7450,22.633
-5550,7500,22.521
-5600,7550,22.463
-5650,7600,22.265
-5700,7650,22.488
-5750,7700,22.478
-5800,7750,22.198
-5850,7800,22.356
-5900,7850,22.271
-5950,7900,22.493
-6000,7950,22.411
-6050,8000,22.468
-6100,8050,22.457
-6150,8100,22.425
-6200,8150,22.3
-6250,8200,22.317
-6300,8250,22.398
-6350,8300,22.081
-6400,8350,22.182
-6450,8400,22.183
-6500,8450,22.158
-6550,8500,22.205
-6600,8550,22.347
-6650,8600,22.143
-6700,8650,22.156
-6750,8700,22.053
-6800,8750,22.194
-6850,8800,22.148
-6900,8850,22.042
-6950,8900,22.018
-7000,8950,22.053
-7050,9000,22.235
-7100,9050,22.137
-7150,9100,21.823
-7200,9150,21.792
-7250,9200,21.831
-7300,9250,21.988
-7350,9300,22.011
-7400,9350,21.813
-7450,9400,21.684
-7500,9450,21.593
-7550,9500,21.586
-7600,9550,21.565
-7650,9600,21.458
-7700,9650,21.415
-7750,9700,21.448
-7800,9750,21.481
-7850,9800,21.514
-7900,9850,21.572
-7950,9900,21.653
-8000,9950,21.793
-8050,10000,21.717
-8100,10050,21.461
-8150,10100,21.489
-8200,10150,21.574
-8250,10200,21.598
-8300,10250,21.582
-8350,10300,21.491
-8400,10350,21.421
-8450,10400,21.363
-8500,10450,21.521
-8550,10500,21.67
-8600,10550,21.662
-8650,10600,21.621
-8700,10650,21.538
-8750,10700,21.55
-8800,10750,21.599
-8850,10800,21.836
-8900,10850,21.989
-8950,10900,21.89
-9000,10950,21.704
-9050,11000,21.439
