year (AD),age (BP),arm_irm (missing),thickness (mm),irm (am2kg-1)
2010.507,-60.507,0.105,40,0.005
1951.447,-1.447,0.1,20,0.003
1928.648,21.352,0.103,20,0.005
1875.276,74.724,0.098,10,0.006
1813.13,136.87,0.095,10,0.008
1743.969,206.031,0.095,10,0.007
1669.376,280.624,0.097,10,0.008
1590.775,359.225,0.101,10,0.009
1509.435,440.565,0.103,10,0.01
1426.483,523.517,0.104,10,0.011
1342.908,607.092,0.102,10,0.012
1259.574,690.426,0.1,10,0.013
1177.225,772.775,0.099,10,0.013
1096.496,853.504,0.101,10,0.014
1017.918,932.082,0.103,10,0.016
941.925,1008.075,0.1,10,0.014
868.866,1081.134,0.1,10,0.014
799.007,1150.993,0.098,10,0.015
732.541,1217.459,0.098,10,0.016
669.591,1280.409,0.1,10,0.017
610.221,1339.779,0.101,10,0.015
554.44,1395.56,0.102,10,0.014
502.205,1447.795,0.099,10,0.012
453.432,1496.568,0.098,10,0.012
407.998,1542.002,0.097,10,0.015
365.746,1584.254,0.1,10,0.017
326.492,1623.508,0.101,10,0.016
290.027,1659.973,0.103,10,0.015
256.125,1693.875,0.103,10,0.014
224.544,1725.456,0.1,10,0.015
195.032,1754.968,0.102,10,0.014
167.328,1782.672,0.105,10,0.013
141.17,1808.83,0.102,10,0.012
116.294,1833.706,0.1,10,0.009
92.44,1857.56,0.097,10,0.008
69.352,1880.648,0.1,10,0.007
46.784,1903.216,0.096,10,0.006
24.499,1925.501,0.098,10,0.007
2.274,1947.726,0.101,10,0.007
-20.101,1970.101,0.101,10,0.007
-42.818,1992.818,0.099,10,0.007
-66.054,2016.054,0.096,10,0.008
-89.964,2039.964,0.093,10,0.007
-114.687,2064.687,0.099,10,0.008
-140.339,2090.339,0.099,10,0.008
-167.016,2117.016,0.1,10,0.006
-194.794,2144.794,0.099,10,0.007
-223.727,2173.727,0.095,10,0.009
-253.849,2203.849,0.097,10,0.007
-285.173,2235.173,0.1,10,0.006
-317.694,2267.694,0.098,10,0.009
-351.386,2301.386,0.106,10,0.005
-386.209,2336.209,0.106,10,0.004
-759.979,2709.979,0.1,18,0.001
-793.105,2743.105,0.092,18,0.001
-832.507,2782.507,0.096,18,0
-874.001,2824.001,0.102,18,0
-909.255,2859.255,0.098,18,0
-946.964,2896.964,0.096,18,0
-987.956,2937.956,0.094,18,0
-1025.224,2975.224,0.088,18,0
-1062.55,3012.55,0.096,18,0
-1100.019,3050.019,0.096,18,0
-1137.749,3087.749,0.095,18,0
-1178.025,3128.025,0.092,18,0
-1218.99,3168.99,0.085,18,0
