year (AD),age (BP),depth (cm),d18O (permil),d13C (permil)
2000,-50,0.25,-8.26,4.45
1995,-45,0.75,-8.24,3.55
1990,-40,1.25,-7.53,3.5
1985,-35,1.75,-8.3,5.43
1980,-30,2.25,-8.2,4.33
1975,-25,2.75,-8.79,4.61
1970,-20,3.25,-8.45,3.02
1965,-15,3.75,-8.96,2.63
1960,-10,4.25,-8.35,4.23
1955,-5,4.75,-8.64,3.24
1950,0,5.25,-8.03,4.03
1946,4,5.75,-9.67,3.95
1941,9,6.25,-9.28,3.61
1936,14,6.75,-8.46,4.35
1931,19,7.25,-8.72,3.41
1926,24,7.75,-9.17,3.98
1921,29,8.25,-10.34,4.33
1916,34,8.75,-8.76,4.34
1911,39,9.25,-8.8,4.57
1906,44,9.75,-9.41,4.31
1901,49,10.25,-8.81,4.45
1896,54,10.75,-9.55,4.42
1892,58,11.25,-9.12,4.37
1887,63,11.75,-9.59,4.18
1882,68,12.25,-9.15,4.19
1877,73,12.75,-9.34,4.08
1872,78,13.25,-9.11,4.68
1867,83,13.75,-9.44,4.42
1862,88,14.25,-9.73,4.46
1857,93,14.75,-9.61,4.04
1847,103,15.75,-10.51,4.66
1838,112,16.75,-10.3,3.49
1825,125,17,-10.25,4.15
1781,169,18.5,-9.45,4.75
1752,198,19.5,-9.05,3.2
1737,213,20,-8.94,2.68
1722,228,20.5,-9.08,3.11
1708,242,21,-9.11,3.06
1693,257,21.5,-8.57,4.04
1663,287,22.5,-8.56,4.17
1619,331,24,-11.35,6.15
1590,360,25,-9.51,4.28
1560,390,26,-11.03,5.66
1531,419,27,-10.8,4.67
1502,448,28,-11.3,4.18
1472,478,29,-10.3,4.56
1443,507,30,-11.05,5.21
1413,537,31,-10.43,5.24
1384,566,32,-10.39,4.38
1354,596,33,-10.71,3.85
1325,625,34,-11.37,4.94
1296,654,35,-10.7,3.35
1266,684,36,-9.82,5.21
1237,713,37,-10.76,6.23
1207,743,38,-11.32,4.11
1178,772,39,-10.57,5.19
1148,802,40,-10.51,5.25
1119,831,41,-9.49,6.95
1088,862,42,-10.39,6.52
1056,894,43,-11.03,4.7
1025,925,44,-10.47,5.07
1014,936,45,-11.18,3.93
1003,947,46,-10.95,5.07
992,958,47,-10.91,4.76
981,969,48,-11.26,5.08
969,981,49,-11.11,4.56
958,992,50,-10.35,4.85
947,1003,51,-10.67,4.32
936,1014,52,-9.58,5.43
925,1025,53,-10.07,5.36
914,1036,54,-10.17,6.39
903,1047,55,-10.19,5.77
892,1058,56,-9.78,5.69
881,1069,57,-9.39,6.5
870,1080,58,-10.6,4.78
858,1092,59,-9.65,5.72
847,1103,60,-10.75,3.93
836,1114,61,-10.4,3.54
825,1125,62,-9.96,5.05
803,1147,64,-10.31,5.04
754,1196,65,-10.01,5.11
705,1245,66,-10.77,5.94
606,1344,68,-12.05,5.75
508,1442,70,-11.7,6.44
409,1541,72,-11.05,4.33
311,1639,74,-11.13,4.44
212,1738,76,-11.49,4.51
114,1836,78,-11.15,5.15
15,1935,80,-11.14,3.6
-83,2033,82,-9.62,4.16
-182,2132,84,-11.52,3.6
-280,2230,86,-12.53,6.19
-379,2329,88,-10.98,4.35
-477,2427,90,-11.05,4.5
-576,2526,92,-11.41,3.84
-674,2624,94,-10.78,4.25
-773,2723,96,-12.08,3.95
-871,2821,98,-11,5.59
-970,2920,100,-11.52,5.47
-1068,3018,102,-11.45,5.01
-1167,3117,104,-8.6,5.7
-1265,3215,106,-9,4.94
-1364,3314,108,-10.26,4.06
-1462,3412,110,-11.28,4.96
-1561,3511,112,-11.87,6.44
-1659,3609,114,-10.68,6
-1758,3708,116,-12.03,5.17
-1856,3806,118,-11.17,6.47
-1955,3905,120,-11.44,5.4
-2053,4003,122,-11.05,5.43
-2152,4102,124,-11.76,5.85
-2250,4200,126,-10.27,4.23
-2349,4299,128,-11.57,5.27
-2447,4397,130,-9.23,6.14
-2546,4496,132,-13.4,3.32
-2612,4562,134,-11.97,4.49
-2646,4596,136,-10.9,2.62
-2680,4630,138,-11.09,1.94
-2714,4664,140,-11.98,2.9
-2748,4698,142,-9.93,3.83
-2782,4732,144,-13.17,-0.47
