age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),cal_age_range_old (bp),cal_age_range_young (bp),thickness (mm),age_type (),lab_id (),material_dated (),note ()
-46,0,0,0,NA,NA,NA,NA,0,3,NA,NA,1
NA,97,960,980,2050,60,2115,1930,20,2,1,1,NA
NA,156,1560,1560,3410,60,3715,3575,0,1,2,3,NA
NA,246,2460,2460,5040,60,5895,5665,0,1,3,3,NA
NA,290,2900,2900,6290,70,7270,7100,0,2,4,2,NA
NA,324,3240,3240,7000,50,7925,7755,0,2,7,2,NA
NA,331,3310,3310,7200,45,8050,7925,0,2,8,1,NA
NA,338,3380,3380,7500,60,8375,8200,0,1,9,3,NA
NA,343,3430,3430,7675,50,8535,8405,0,2,10,2,NA
NA,351,3510,3510,8310,50,9465,9155,0,2,5,2,NA
NA,356,3560,3560,8400,70,9515,9305,0,1,11,3,NA
NA,369,3690,3690,9080,60,10240,10195,0,2,12,2,NA
NA,385.5,3850,3860,9300,60,10580,10295,10,1,6,3,NA
