age (BP),year (AD),age (BP),depth (cm),age (BP),d18O (permil),d13C (permil)
-243.2,1999.2,-49.2,40,79.6,-6.35,-2.24
-235,1983.8,-33.8,50,107.6,-4.87,-1.95
-213.7,1968.7,-18.7,60,117,-4.92,-1.43
-187.4,1953.1,-3.1,70,129.2,-7.66,-2.43
-170.9,1937.4,12.6,80,145.8,-8.3,-2.31
-154.7,1922,28,90,168.1,-7.25,-2.23
-145.2,1909.6,40.4,98,188.6,-9.77,-2.83
-133.5,1901.9,48.1,103,195.7,-4.8,-1.26
-123.3,1894.5,55.5,108,198.4,-5.87,-2.15
-112.6,1888.5,61.5,112,201.6,-6.36,-1.96
-103.1,1882.5,67.5,116,204.7,-6.18,-2.1
-93.8,1875,75,121,209.5,-9.33,-2.84
-85.6,1869,81,125,212.9,-6.36,-2.64
-76.6,1861.5,88.5,130,216.4,-4.52,-1.89
-69,1854,96,135,222.8,-8.12,-2.55
-60.4,1846.5,103.5,140,228.3,-7.99,-2.34
-54.9,1840.5,109.5,144,234.4,-5.55,-1.56
-49.1,1834.5,115.5,148,242.9,-7.41,-2.46
-40.7,1828.5,121.5,152,248.4,-7.44,-2.38
-28.4,1822.4,127.6,156,250.1,-8.72,-2.49
-13.4,1814.8,135.2,161,252.6,-9.59,-2.67
0.8,1808.6,141.4,165,254.3,-8.43,-2.56
11,1802.6,147.4,169,256.8,-8.22,-2.46
19.9,1796.3,153.7,173,259.5,-8.27,-2.46
27.6,1790.1,159.9,177,262.6,-8.28,-2.38
31.8,1785.5,164.5,180,264.2,-9.39,-2.77
39.8,1779.3,170.7,184,266.6,-8.11,-2.38
46.2,1773.3,176.7,188,270.2,-8.28,-2.61
50.4,1767.2,182.8,192,273.7,-7.02,-2.3
54.2,1761.1,188.9,196,278.4,-7.14,-2.26
58.2,1754.9,195.1,200,284,-8.02,-2.34
68.1,1748.6,201.4,204,285,-8.11,-2.27
88.1,1735.8,214.2,212,289.5,-8.25,-2.37
97.3,1729.5,220.5,216,293.3,-7.79,-2.52
108.8,1720,230,222,300.8,-7.57,-2.23
115.9,1713.8,236.2,226,307,-7.72,-2.31
125.1,1705.7,244.3,231,314.6,-5.08,-1.51
131.2,1699.4,250.6,235,322.3,-7.32,-1.88
139.8,1691.5,258.5,240,336.7,-6.43,-1.3
146.7,1683.6,266.4,245,352.8,-5.08,-1.19
152.7,1675.8,274.2,250,367.4,-7.19,-2.26
167.7,1665.1,284.9,255,374.3,-6.64,-2.3
177.7,1656.6,293.4,259,377.2,-5.9,-1.65
188.2,1645.9,304.1,264,386,-7.27,-2.16
197.2,1637.4,312.6,268,398.9,-8.39,-2.46
204.8,1628.9,321.1,272,412.6,-5.33,-1.04
212.9,1620.4,329.6,276,428.2,-5.95,-1.35
219.4,1611.8,338.2,280,442.7,-8.99,-2.75
225.8,1603.4,346.6,284,459.1,-4.67,-1.82
229.6,1594.7,355.3,288,476.9,-3.68,-1.15
235,1586.3,363.7,292,492,-6.97,-3.13
239.5,1577.6,372.4,296,508.7,-1.47,0.45
243.2,1569,381,300,524.9,-5.32,-1.58
313.6,1519.2,430.8,305,552.4,-3.5,-0.58
362.2,1469.1,480.9,310,589.7,-5.26,-1.95
391.8,1418.6,531.4,315,657.7,-8.66,-3.5
402.6,1398.5,551.5,317,689,-6.98,-3.41
419.2,1368.4,581.6,320,736.6,-7.01,-3.87
428.3,1348.1,601.9,322,769.2,-1.55,0.1
469.8,1257.5,692.5,331,921.2,-0.68,0.61
485,1217,733,335,992.3,-0.65,0.79
495,1177.3,772.7,339,1063.9,-0.84,0.65
497.5,1167.1,782.9,340,1082.4,-0.76,0.6
507.4,1126.9,823.1,344,1152.3,-1.74,0.13
516.7,1086.7,863.3,348,1224.2,-0.69,0.37
552.7,1049.6,900.4,352,1263.1,0.25,0.84
664.9,990,960,359,1268.8,-1.14,1.13
728.4,955.9,994.1,363,1271,-0.61,0.96
793.4,921.8,1028.2,367,1275,-0.33,1.09
869.9,879.1,1070.9,372,1278.4,0.39,1.68
944.9,836.5,1113.5,377,1282.8,-0.62,1.35
1001.9,802.2,1147.8,381,1287.3,0.6,1.02
1056.2,767.8,1182.2,385,1293.1,-0.04,0.77
1096.4,742.1,1207.9,388,1298.2,0.31,0.67
1256.2,626.5,1323.5,402,1398.4,-0.74,0.66
1295.5,600.1,1349.9,406,1414.6,-1.15,0.4
1329,573.6,1376.4,410,1433.6,-4.13,0.79
1355,547.5,1402.5,414,1456.8,-2.06,0.49
1370.8,527.9,1422.1,417,1478.6,-2.86,-0.22
1384.3,508.5,1441.5,420,1502.2,-1.03,0.81
1402.9,482.4,1467.6,424,1540.8,-1.99,0.16
1419.7,456.2,1493.8,428,1580,-4.43,-0.83
1423.4,449.7,1500.3,429,1589.6,-2.75,0.23
1430.7,436.6,1513.4,431,1611,-1.32,0.83
1434.5,430,1520,432,1622.3,-0.73,1.16
1448.7,403.9,1546.1,436,1664.4,-3.58,-0.9
1460.4,377.6,1572.4,440,1707.2,-1.84,0.71
1466.6,364.4,1585.6,442,1727.9,-2.2,0.81
1472,351.2,1598.8,444,1749.3,-7.25,-2.16
1477.5,338.1,1611.9,446,1771,-4.97,-0.86
1481.7,324.9,1625.1,448,1792,-6.45,-1.65
1499.1,303.1,1646.9,452,1818.7,-7.06,-2.35
1518.2,285.7,1664.3,456,1829.5,-4.64,-1.79
1530.7,268.3,1681.7,460,1841.6,-8.16,-3.78
1540.7,251.2,1698.8,464,1857.5,-3.96,-0.89
1548.8,233.7,1716.3,468,1876.9,-3.98,-0.92
1556.2,216.4,1733.6,472,1899,-4.28,-1.05
1562.2,199,1751,476,1927.2,-4.27,-0.97
1568.6,177.7,1772.3,481,1965.7,-6.33,-1.99
1575.2,156,1794,486,2003.2,-6.03,-2.28
1579,139,1811,490,2030.4,-7.42,-3.6
1584.2,122,1828,494,2061.1,-5.9,-2.82
1588,105,1845,498,2093.8,-7.88,-2.95
1606,88.4,1861.6,502,2119.8,-7.42,-3.04
1636.7,71.6,1878.4,506,2127.5,-8.46,-3.33
1666.1,54.7,1895.3,510,2135.7,-8.69,-4.06
1695.7,37.9,1912.1,514,2144.6,-7.95,-4.68
1722.8,21,1929,518,2154.7,-8.67,-3.96
1747.2,4,1946,522,2163.9,-6.82,-4.61
1767.2,-13.1,1963.1,526,2173,-6.91,-3.66
1812.4,-63.9,2013.9,538,2210.4,-6.23,-3.59
1827.4,-80.9,2030.9,542,2223.9,-6.63,-2.39
1863.6,-121.6,2071.6,555,2267,-8.82,-4.23
1873.2,-128.8,2078.8,560,2270.8,-7.75,-3.72
1882,-134.4,2084.4,564,2274.7,-7.5,-2.17
1889.1,-140.1,2090.1,568,2278.9,-6.99,-2.88
1898.3,-145.8,2095.8,572,2285.6,-5.02,-1.93
1907.1,-151.6,2101.6,576,2289.3,-6.13,-1.8
1912.8,-155.8,2105.8,579,2293.7,-7.4,-2.47
1918.1,-160,2110,582,2299,-7.6,-3.12
1925.9,-164.3,2114.3,585,2304.5,-7.62,-2.58
1933.4,-171.3,2121.3,590,2313.2,-7.48,-2.95
1938.8,-177,2127,594,2321.8,-8.05,-3.18
1950.2,-188.4,2138.4,602,2336.6,-5,-1.61
1978.2,-205.4,2155.4,614,2347.1,-7.76,-2.21
1996,-218.6,2168.6,623,2357.4,-5.03,-1
2002.6,-224.5,2174.5,627,2364,-5.37,-1.11
2009.3,-230.3,2180.3,631,2370.4,-7.49,-1.67
2014.6,-236.4,2186.4,635,2380.8,-5.95,-1.19
2018.6,-242.1,2192.1,639,2391.8,-5.2,-0.77
2023,-248,2198,643,2403.1,-4.57,-0.89
2026,-253.8,2203.8,647,2414.9,-4.95,-0.9
2031.3,-260.7,2210.7,651,2426.4,-5,-1.2
2046.1,-272.9,2222.9,656,2436.1,-5.62,-1.68
2058.4,-282.5,2232.5,660,2444.4,-6.22,-1.77
2068.6,-292.2,2242.2,664,2453.9,-5.12,-1.38
2076.5,-301.8,2251.8,668,2463.4,-5.46,-1.66
2083.7,-311.4,2261.4,672,2475.6,-6.39,-1.5
2092.7,-323.6,2273.6,677,2493.9,-8.02,-2.81
2096.3,-333.4,2283.4,681,2509,-8.91,-2.56
2101.8,-343.2,2293.2,685,2527.4,-5.71,-0.84
2106.1,-352.8,2302.8,689,2543.9,-5.55,-0.95
2110.7,-365,2315,694,2566.5,-7.34,-2.43
2118,-377.2,2327.2,699,2593.5,-9.28,-3.58
2130.9,-387.1,2337.1,703,2605.8,-7.04,-1.83
2142.7,-396.6,2346.6,707,2612.6,-5.81,-1.19
2148.5,-401.6,2351.6,709,2617,-7.46,-2.18
2155.4,-406.5,2356.5,711,2619.7,-5.89,-1.52
2167.1,-416.5,2366.5,715,2627.4,-8.28,-3.32
2182.9,-428.9,2378.9,720,2636.5,-7.52,-3.69
2192.6,-438.3,2388.3,724,2645.3,-6.43,-2.73
2204.5,-457.6,2407.6,732,2663.6,-9.03,-3.13
2213,-471.9,2421.9,738,2677.3,-8.42,-3.31
2218.5,-481.4,2431.4,742,2689.2,-6.45,-2.75
2224.9,-491,2441,746,2699.8,-9.82,-3.78
2227.4,-501.2,2451.2,750,2717.4,-9.65,-3.97
2258.7,-518.2,2468.2,754,2723.8,-6.82,-2.65
2289.3,-535.5,2485.5,758,2735.2,-5.25,-1.53
2364.2,-588.3,2538.3,770,2779.4,-7.43,-1.93
2374.9,-606.3,2556.3,774,2807.9,-7.9,-2.18
2386.5,-633.1,2583.1,780,2866.1,-7.26,-1.8
2392.1,-650.5,2600.5,784,2905.9,-6.33,-1.75
2401.4,-686.1,2636.1,792,2989.1,-4.72,-1.1
2404.4,-703.4,2653.4,796,3034.6,-4.29,-1.12
2406,-716.2,2666.2,799,3067.8,-5.76,-1.33
2426.7,-750.2,2700.2,803,3104,-4.91,-1.54
2443.1,-789.7,2739.7,807,3148.7,-7.4,-1.81
2459.7,-829.3,2779.3,811,3188.9,-6.71,-1.91
2495.2,-936.9,2886.9,822,3368.1,-8.52,-2
2504.9,-976.1,2926.1,826,3446.9,-6.13,-2.14
2525.2,-1082.6,3032.6,837,3700.1,-8.63,-2.12
2533.2,-1120.9,3070.9,841,3797.7,-3.32,-0.5
2620,-1298.8,3248.8,860,4117.2,-2.32,-0.69
2749.9,-1498.1,3448.1,882,4389.2,-6.11,-1.84
2791.7,-1587.3,3537.3,892,4519.6,-7.2,-0.8
2850.7,-1691.7,3641.7,903,4689.4,-6.32,-1.79
3015.8,-2024.2,3974.2,935,5023.1,-5.94,-1.19
3024.5,-2045.3,3995.3,937,5033.6,-5.32,-1.01
3035.8,-2085.7,4035.7,941,5089.2,-5.56,-1.06
3042.5,-2108.2,4058.2,943,5125.4,-3.97,-0.69
3052.3,-2149.5,4099.5,947,5180.3,-7.59,-1.73
3059.1,-2170.2,4120.2,949,5215.5,-4.84,-2.12
3084.3,-2189.7,4139.7,951,5237.9,-7.26,-1.93
