depth (cm),age (BP),temperature (degC)
0,61.87,4.55
5,143.17,4.46
9,208.21,6.85
13,273.26,5.98
17,338.3,8.73
21,403.34,6.94
22,419.6,5.36
25,468.38,9.5
33,598.46,7.4
37,663.5,7.05
39,696.02,6.59
41,728.54,8.34
45,793.58,7.49
52,907.4,9.33
56,943.47,7.41
64,1130.82,7.63
80,1505.53,8.12
84,1599.2,8.23
88,1692.88,7.31
96,1880.23,7.33
100,1973.91,9.25
104,2067.59,6.79
106,2114.43,6.17
112,2254.94,8.51
116,2348.62,7.08
120,2442.3,9.12
124,2535.97,7.76
128,2629.65,6.07
132,2723.33,4.79
136,2817,7.75
140,2910.68,5.21
144,3004.36,4.74
152,3191.71,6.82
156,3285.39,8.35
160,3379.06,10.09
164,3472.74,6.29
168,3566.42,7.75
176,3753.77,8.55
180,3847.45,5.84
184,3941.12,8.43
188,4034.8,7.22
192,4128.48,9.76
196,4222.15,9.99
200,4315.83,9.76
204,4409.51,7.55
208,4503.19,7.91
212,4596.86,7.76
216,4690.54,5.69
220,4784.22,8.31
224,4877.89,5.38
228,4971.57,4.79
232,5065.25,7.96
236,5158.92,7.95
240,5252.6,8.24
244,5346.28,7.05
248,5439.95,7.22
252,5533.63,6.98
256,5627.31,7.57
260,5720.98,7.97
264,5814.66,8.19
268,5908.34,8.73
272,6002.01,6.88
276,6095.69,4.75
280,6189.37,6.31
284,6283.04,6.36
288,6376.72,5.45
292,6470.4,6.95
296,6564.07,7.94
304,6751.43,8.78
308,6845.11,6.82
312,6938.78,6.69
318,7079.3,7.08
320,7126.14,7.78
324,7219.81,7.19
328,7313.49,9.53
340,7594.52,8.2
344,7688.2,8.13
348,7781.87,9
356,7969.23,10.33
360,8062.9,9
364,8156.58,8.11
372,8343.93,9.49
376,8437.61,9.95
380,8531.29,9.31
388,8718.64,8.35
396,8906,1.9
400,8999.67,9.77
404,9093.35,11.99
412,9280.7,8.79
416,9374.38,11.65
420,9468.06,9.48
432,9749.09,10.79
436,9842.76,9.24
440,9936.44,9.1
444,10030.12,8.97
448,10123.79,9.45
450,10170.63,8.71
