year (AD),age (BP),depth (m),ageMin (BP),ageMax (BP),dD (permil),dD (sd),n-C28 (missing),TOC (percent),CT (HU),lithology (missing)
2004,-54,0.01,-0.051,-0.058,-135,1.8,48.6,6.5,122,BT
1963,-13,0.23,-0.008,-0.018,-145,3.4,20.2,5.4,122,BT
1902,48,0.59,0.075,0.016,-169,3.4,38.8,6.5,197,BT
1874,76,0.68,0.112,0.036,-177,1.5,8.6,2.6,756,BT rich in detrital material
1838,112,0.78,0.159,0.061,-162,2.2,17.3,3.8,241,BT
1805,145,0.86,0.2,0.087,-164,5.8,1.1,0.9,790,BT rich in detrital material
1772,178,0.93,0.24,0.113,-167,0.3,5.5,2.8,829,BT
1688,262,1.08,0.333,0.187,-176,4.4,29.6,5.8,175,BT
1558,392,1.26,0.463,0.314,-171,5.2,19.7,4,456,BT rich in detrital material
1234,716,1.62,0.773,0.645,-180,7.6,69.4,8.2,188,BT
945,1005,1.95,1.053,0.94,-167,3.5,13.8,3.8,453,BT slightly enriched in detrital material
742,1208,2.24,1.26,1.129,-165,4.5,47.5,8.2,154,BT
567,1383,2.51,1.439,1.28,-159,0.6,47.8,12.5,138,BT
487,1463,2.62,1.52,1.359,-162,1.7,13.8,4,496,BT rich in detrital material
381,1569,2.77,1.625,1.477,-155,2.2,80,2.6,168,BT
178,1772,3.03,1.813,1.71,-161,1.9,25.6,6.4,257,BT slightly enriched in detrital material
-39,1989,3.29,2.032,1.933,-158,0.9,30.7,9,246,BT
-261,2211,3.58,2.289,2.143,-151,0.9,60.8,10.5,184,BT
-351,2301,3.73,2.386,2.225,-160,1.6,73.5,9.5,182,BT
-449,2399,3.91,2.487,2.322,-158,1.7,38.8,7.6,286,BT
-496,2446,4,2.532,2.368,-157,2.3,1.2,1.5,659,BT rich in detrital material
-542,2492,4.09,2.574,2.414,-158,0.4,7.5,3.3,547,BT rich in detrital material
-593,2543,4.19,2.615,2.469,-159,0.4,12.9,3.6,450,BT rich in detrital material
-623,2573,4.24,2.64,2.503,-161,0.4,23.6,5.1,287,BT slightly enriched in detrital material
-666,2616,4.32,2.676,2.548,-163,0.9,40.3,6.9,274,BT slightly enriched in detrital material
-748,2698,4.45,2.746,2.636,-150,0.6,75.8,10.8,217,BT
-834,2784,4.57,2.822,2.723,-156,1.1,42.9,6.4,270,BT slightly enriched in detrital material
-870,2820,4.61,2.859,2.761,-149,0.8,10.3,3.3,552,BT rich in detrital material
-1000,2950,4.76,3,2.888,-152,0.3,91.3,11.8,156,BT
-1173,3123,4.94,3.193,3.05,-154,2,69.3,10.4,190,BT
-1420,3370,5.16,3.459,3.289,-154,1.3,51,10,190,BT
-1623,3573,5.33,3.66,3.492,-157,3.4,121,10.2,198,BT
-1848,3798,5.51,3.882,3.718,-160,2.1,49.4,8.3,231,BT slightly enriched in detrital material
-2063,4013,5.68,4.1,3.926,-153,1.2,16.4,5.1,336,BT slightly enriched in detrital material
-2256,4206,5.85,4.291,4.1,-152,1.7,46.5,7.8,245,RS
-2336,4286,5.94,4.4,4.202,-152,1,55.2,9.5,205,RS
-2455,4405,6.05,4.501,4.284,-154,3.7,44.7,9.9,210,RS
-2551,4501,6.14,4.612,4.384,-155,1.3,49.4,12.3,212,RS
-2644,4594,6.23,4.704,4.465,-157,0.7,42.7,9.3,350,RS
-2735,4685,6.32,4.805,4.565,-158,0.9,35.8,9.7,203,RS
-2830,4780,6.41,4.895,4.656,-160,0.5,50.9,11,152,RS
-2930,4880,6.5,5,4.771,-160,1.7,12.6,9.7,208,RS
-3023,4973,6.59,5.084,4.864,-157,1.5,17.3,10.4,173,RS
-3116,5066,6.68,5.177,4.967,-157,0.9,14.4,6.8,372,RS-FL
-3231,5181,6.79,5.3,5.086,-164,3.8,23.9,10.8,182,RS
-3442,5392,7,5.532,5.301,-162,1.2,28.6,10.8,213,RS
-3634,5584,7.25,5.752,5.495,-169,0.3,14.6,5.3,364,RS-FL
-3814,5764,7.52,5.916,5.621,-161,1.1,6.4,9.5,197,RS
-3984,5934,7.72,6.072,5.76,-159,1.3,24.3,11.3,213,RS
-4183,6133,7.87,6.244,5.938,-158,0.3,11.7,8.4,509,RS
-4407,6357,8,6.458,6.186,-150,1.1,11.4,6.8,283,RS
-4659,6609,8.11,6.64,6.398,-145,5.3,20.3,7.2,256,RS
-4779,6729,8.17,6.811,6.577,-148,3.3,1.2,7.2,NA,RS
-4781,6731,8.17,6.817,6.583,-142,NA,0.4,2.8,452,RS-FL
-4807,6757,8.19,6.838,6.607,-148,NA,0.3,2.1,682,FL
-4840,6790,8.24,6.85,6.623,-134,1.2,2.1,6,282,RS
-4919,6869,8.27,6.963,6.755,-138,3.6,25.1,8.4,255,RS
-5174,7124,8.36,7.209,7.022,-141,3.7,18.2,8,289,RS-FL
-5429,7379,8.46,7.428,7.274,-141,4.9,7.6,10.5,219,RS
-5605,7555,8.53,7.619,7.492,-159,0.2,11.9,11.3,234,RS
-5817,7767,8.63,7.804,7.702,-146,2.4,5,7.8,261,RS
-5977,7927,8.71,7.984,7.89,-143,2.8,20.8,8.8,286,RS
-6153,8103,8.8,8.142,8.05,-141,0.1,26.4,7.8,393,RS-FL
-6268,8218,8.86,8.26,8.164,-155,1.8,6.7,6.2,325,RS-FL
-6316,8266,8.88,8.309,8.209,-155,1.3,1.9,4.3,655,FL
-6345,8295,8.92,8.33,8.223,-161,NA,0.4,3.5,676,FL
-6388,8338,8.95,8.392,8.282,-161,1.7,5.7,4.8,446,RS-FL
-6414,8364,8.98,8.413,8.302,-149,NA,0.5,7.9,439,RS-FL
-6488,8438,9.03,8.491,8.372,-155,1.4,2.7,6.7,387,RS-FL
-6636,8586,9.18,8.645,8.507,-149,2.9,4.6,4.5,562,RS-FL
-6798,8748,9.3,8.817,8.665,-144,3.1,0.8,4.9,576,RS-FL
-6960,8910,9.42,8.981,8.81,-141,2.2,0.3,5.2,446,RS-FL
-7284,9234,9.66,9.308,9.103,-149,2.1,4.1,3.9,649,RS-FL
-7430,9380,9.78,9.456,9.238,-153,5,14.1,8.1,402,RS
-7608,9558,9.89,9.645,9.414,-150,6.8,26.7,8.4,461,RS-FL
-7782,9732,10.03,9.828,9.59,-153,1.8,2.5,5.2,439,RS-FL
-7955,9905,10.1,9.998,9.761,-149,2.9,0.6,5,917,RS-FL
-8325,10275,10.75,10.386,10.148,-154,1.1,3.8,6.9,431,RS-FL
-8386,10336,10.88,10.417,10.176,-154,2.2,5.5,6.2,510,RS-FL
-8554,10504,10.94,10.618,10.372,-153,0.5,0.7,2.5,636,RS-FL
-8597,10547,11.01,10.658,10.411,-149,1.7,13.3,8.2,386,RS
-8760,10710,11.07,10.817,10.575,-152,2.1,4.8,8.3,394,RS
-8989,10939,11.14,11.054,10.819,-149,2.4,27.5,13.1,264,RS
-9085,11035,11.19,11.143,10.915,-146,3.3,0.4,1.4,822,FL
-9103,11053,11.36,11.169,10.941,-148,1,2.6,2.3,782,RS-FL
-9107,11057,11.43,11.171,10.949,-149,0.7,6.9,2.7,580,RS-FL
-9112,11062,11.51,11.176,10.954,-154,1.1,4.7,12,320,RS
-9361,11311,11.57,11.42,11.204,-156,0.8,2.9,8.1,368,RS-FL
-9559,11509,11.62,11.608,11.397,-151,4.2,7.3,11.8,300,RS
-9744,11694,11.67,11.828,11.613,-155,2.1,110.9,15,242,RS
-9950,11900,11.72,12.026,11.81,-153,4.7,6.9,7.1,334,RS
-10132,12082,11.77,12.177,11.963,-159,1,48,12.5,362,RS
-10345,12295,11.86,12.434,12.213,-156,1.7,5.1,7.2,420,RS
-10560,12510,11.93,12.66,12.433,-160,0.9,57.6,9.7,494,RS
-10705,12655,11.98,12.797,12.564,-154,1.7,46.6,8.9,659,RS-FL
-10891,12841,12.03,13.011,12.76,-164,2.1,8.5,7.1,555,RS-FL
-10910,12860,12.17,13.015,12.764,-157,0.9,0.3,0.1,NA,CL
-10952,12902,12.57,13.057,12.806,-150,NA,0,0,NA,CL
