depth (cm),age (BP),temperature (degC),precipitation (mm/yr),age (BP),temperature (degC)
0,-17.56,-6.956,1048.202,149.823,2.806
4,149.823,-5.595,1291.065,317.111,2.878
8,317.111,-6.197,1121.085,484.196,2.781
12,484.196,-5.313,1323.437,650.971,3.276
16,650.971,-5.055,1327.221,817.326,1.686
20,817.326,-7.745,1198.367,983.154,4.567
24,983.154,-3.161,1594.793,1148.346,3.255
28,1148.346,-5.203,1401.557,1312.795,2.607
32,1312.795,-6.191,1061.408,1476.392,2.991
36,1476.392,-6.041,1135.593,1639.029,3.27
40,1639.029,-5.604,1238.594,1800.594,3.072
44,1800.594,-6.307,1247.19,1960.944,3.056
48,1960.944,-6.543,1161.086,2119.91,2.602
52,2119.91,-6.936,1261.874,2277.323,1.971
56,2277.323,-7.709,903.756,2433.018,2.777
60,2433.018,-6.894,1329.259,2586.824,2.468
64,2586.824,-6.802,1151.579,2738.576,2.136
68,2738.576,-7.591,1150.949,2888.128,3.297
72,2888.128,-5.503,1373.05,3035.489,3.202
76,3035.489,-5.373,1538.216,3180.727,2.895
80,3180.727,-6,1265.826,3323.909,4.114
84,3323.909,-4.535,1685.817,3465.104,4.258
88,3465.104,-3.864,1550.634,3604.378,3.781
92,3604.378,-5.061,1773.392,3741.8,4.191
96,3741.8,-4.396,1486.87,3877.437,4.111
100,3877.437,-3.495,1730.981,4011.358,4.206
104,4011.358,-3.994,1931.913,4143.629,4.258
108,4143.629,-4.571,1873.385,4274.319,3.776
112,4274.319,-4.466,1559.84,4403.496,4.363
116,4403.496,-4.127,1902.762,4531.227,4.915
120,4531.227,-3.665,1708.507,4657.579,4.008
124,4657.579,-4.627,1661.976,4782.622,4.28
128,4782.622,-4.349,1634.374,4906.422,4.171
132,4906.422,-3.853,1801.597,5029.047,5.043
136,5029.047,-3.517,1752.35,5150.566,5.343
140,5150.566,-2.391,1745.189,5271.045,5.121
144,5271.045,-2.942,1720.778,5390.552,5.052
148,5390.552,-3.75,1945.489,5509.156,4.801
152,5509.156,-3.794,1520.792,5626.924,3.923
156,5626.924,-4.482,1752.032,5743.924,4.517
160,5743.924,-4.309,1764.981,5860.223,5.293
164,5860.223,-3.225,2038.196,5975.889,4.586
168,5975.889,-4.411,1609.633,6090.991,3.642
172,6090.991,-6.408,1462.618,6205.596,4.518
176,6205.596,-4.214,1654.89,6319.771,4.455
180,6319.771,-4.395,1599.434,6433.584,4.002
184,6433.584,-5.227,1582.343,6547.104,4.348
188,6547.104,-4.829,1669.256,6660.397,5.875
192,6660.397,-2.739,1853.856,6773.532,4.064
196,6773.532,-5.345,1601.094,6886.577,4.34
200,6886.577,-4.965,1731.344,6999.585,4.491
204,6999.585,-5.308,1642.404,7112.569,5.129
208,7112.569,-3.771,1646.903,7225.535,4.129
212,7225.535,-4.822,1687.228,7338.489,5.21
216,7338.489,-3.808,1860.202,7451.436,4.666
220,7451.436,-4.168,1365.911,7564.382,5.633
224,7564.382,-2.488,2178.484,7677.327,5.273
228,7677.327,-3.808,1700.673,7790.272,5.099
232,7790.272,-3.859,1578.522,7903.218,4.615
236,7903.218,-4.629,1599.547,8016.163,4.324
240,8016.163,-5.474,1367.404,8129.108,3.793
244,8129.108,-6.549,1209.152,8185.581,3.386
246,8185.581,-6.239,1209.309,8242.054,4.07
248,8242.054,-5.87,1187.762,8270.29,3.782
249,8270.29,-6.395,1132.893,8298.526,3.381
250,8298.526,-6.689,1344.816,8326.763,3.34
251,8326.763,-6.553,924.318,8354.999,2.293
252,8354.999,-9.124,851.379,8383.235,2.297
253,8383.235,-8.428,872.532,8411.472,2.576
254,8411.472,-7.892,792.594,8439.708,3.669
255,8439.708,-5.96,793.102,8467.944,2.87
256,8467.944,-7.564,873.379,8496.181,4.364
257,8496.181,-4.833,987.096,8524.417,3.785
258,8524.417,-5.378,963.606,8552.653,2.506
259,8552.653,-7.169,639.325,8580.89,3.784
260,8580.89,-5.303,959.406,8609.126,4.571
261,8609.126,-3.994,737.515,8637.362,4.027
262,8637.362,-4.595,1077.628,8665.599,3.324
263,8665.599,-6.07,821.116,8693.835,3.461
264,8693.835,-5.846,613.05,8722.071,3.737
265,8722.071,-4.856,920.396,8750.308,2.967
266,8750.308,-6.694,256.487,NA,NA
