depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
8.5,Carbon-14,108774,190,940,detritus gyttja,NA
407.5,Carbon-14,108775,280,4700,gyttja,NA
512,Carbon-14,108776,310,6100,gyttja,NA
692.5,Carbon-14,108777,320,8200,marly detritus gyttja,NA
752.5,Carbon-14,108778,430,12400,marly gyttja,NA
807.5,Carbon-14,108779,300,13300,marly gyttja,NA
