age (bp),depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1 sd),thickness (mm),age_type (),material_dated ()
-42,488,4880,4880,NA,NA,0,2,NA
NA,516.75,5165,5170,1035,70,5,1,1
NA,550.75,5505,5510,2360,65,5,1,1
NA,606.75,6065,6070,3530,75,5,1,1
NA,654.75,6545,6550,4420,55,5,1,1
NA,704.75,7045,7050,5520,75,5,1,1
NA,746.75,7465,7470,7390,125,5,1,1
NA,752.75,7525,7530,7715,75,5,1,1
NA,762.5,7620,7630,9135,110,10,1,1
