year (AD),age (BP),T (degC),Stal.ID (missing),d13C (permil),10YrRun.Avg. (degC)
2000,-50,0.94,C13,4.39,NA
1987,-37,0.8,SL1,3.71,NA
1984,-34,0.23,SL1,0.83,NA
1979,-29,0.17,C13,0.53,NA
1976,-26,0.51,SL1,2.24,0.44
1972,-22,0.36,SL1,1.47,0.37
1968,-18,0.24,SL1,0.87,0.26
1964,-14,0.4,SL1,1.7,0.28
1962,-12,0.29,SL1,1.11,0.27
1960,-10,0.37,SL1,1.53,0.27
1958,-8,-0.22,C13,-1.44,0.27
1957,-7,0.37,SL1,1.53,0.27
1955,-5,0.12,SL1,0.28,0.23
1950,0,0.48,SL1,2.11,0.21
1948,2,0.38,SL1,1.58,0.17
1946,4,0.19,SL1,0.64,0.17
1943,7,0.1,SL1,0.15,0.16
1941,9,0.07,SL1,0.01,0.15
1939,11,0.05,SL1,-0.11,0.11
1937,13,-0.23,C13,-1.52,0.09
1936,14,0.3,SL1,1.17,0.11
1934,16,0.01,SL1,-0.3,0.08
1932,18,0.13,SL1,0.33,0.1
1929,21,0.25,SL1,0.9,0.07
1927,23,0.29,SL1,1.12,0.09
1918,32,-0.1,SL1,-0.86,0.05
1916,34,0.18,C13,0.59,0.07
1915,35,-0.21,SL1,-1.42,0.06
1913,37,-0.05,SL1,-0.58,0.03
1911,39,-0.03,SL1,-0.48,0.03
1908,42,0.13,SL1,0.32,0.05
1906,44,0.05,SL1,-0.07,0.04
1904,46,0.05,SL1,-0.1,0.1
1901,49,0.23,SL1,0.8,0.13
1899,51,0.1,SL1,0.15,0.16
1896,54,0.08,SL1,0.09,0.16
1895,55,0.34,C13,1.4,0.14
1894,56,0.19,SL1,0.64,0.13
1892,58,0.23,SL1,0.82,0.09
1889,61,0.2,SL1,0.68,0.06
1887,63,-0.16,SL1,-1.17,0.04
1885,65,-0.05,SL1,-0.58,-0.01
1882,68,-0.16,SL1,-1.15,0
1880,70,-0.11,SL1,-0.91,-0.04
1878,72,-0.15,SL1,-1.09,-0.09
1875,75,-0.08,SL1,-0.74,-0.08
1873,77,-0.21,SL1,-1.41,-0.08
1873,77,0.33,C13,1.31,-0.08
1871,79,-0.21,SL1,-1.39,-0.06
1870,80,-0.12,SL1,-0.92,-0.05
1868,82,-0.02,SL1,-0.44,-0.06
1866,84,-0.16,SL1,-1.14,-0.11
1864,86,0.04,SL1,-0.12,-0.06
1861,89,0,SL1,-0.36,-0.07
1859,91,-0.23,SL1,-1.48,-0.06
1857,93,-0.13,SL1,-0.97,-0.08
1856,94,0.28,C13,1.07,-0.06
1854,96,-0.3,SL1,-1.83,-0.05
1852,98,0.01,SL1,-0.31,-0.05
1850,100,-0.21,SL1,-1.42,-0.03
1847,103,0.04,SL1,-0.15,-0.02
1845,105,0.13,SL1,0.3,-0.04
1843,107,-0.03,SL1,-0.48,-0.01
1840,110,-0.09,SL1,-0.81,0
1839,111,0.03,C13,-0.18,0.01
1838,112,0.09,SL1,0.13,-0.02
1835,115,-0.02,SL1,-0.43,-0.04
