depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
22.5,Carbon-14,110910,165,1760,NA,NA
73.5,Carbon-14,110911,140,3870,NA,NA
80,Carbon-14,110912,245,3580,NA,NA
117.5,Carbon-14,110913,205,4600,NA,NA
126.5,Carbon-14,110914,160,4280,NA,NA
217,Carbon-14,110915,220,7850,NA,NA
239.5,Carbon-14,110916,185,7380,NA,NA
276.5,Carbon-14,110917,245,8725,NA,NA
285.5,Carbon-14,110918,245,7860,NA,NA
332,Carbon-14,110919,95,9620,NA,NA
399.5,Carbon-14,110920,265,9100,NA,NA
465,Carbon-14,110921,240,10510,NA,NA
485,Carbon-14,110922,280,11600,NA,NA
