depth (cm),temperature (degC)
0.052,14.515
1.999,15.482
4.22,15.396
5.107,15.311
6.306,15.942
8.089,16.13
11.194,15.832
12.232,15.853
14.165,16.167
15.351,16.208
16.381,15.87
18.312,16.079
20.092,16.162
22.314,16.16
24.387,16.095
25.276,16.052
26.313,16.072
28.224,15.355
30.426,14.384
32.212,14.762
34,15.181
36.514,14.948
38.152,15.325
40.085,15.64
42.288,14.711
44.213,14.689
45.275,15.804
46.15,15.15
48.327,13.021
50.254,13.083
52.317,12.512
54.106,13.037
55.286,12.784
56.447,11.645
58.26,13.245
60.172,12.611
62.392,12.483
64.337,13.324
65.567,15.408
66.587,14.607
68.217,14.626
70.398,12.666
72.48,13.043
74.264,13.316
75.443,12.999
76.511,14.43
78.583,14.302
80.477,12.826
97.449,16.519
98.475,15.991
102.608,15.272
103.647,15.313
104.678,15.017
106.466,15.479
107.37,16.195
108.353,13.666
109.398,14.024
