age (BP),clastic_flux (g/cm2/kyr),dbd (g/cm3),LOI (percent),BSi (percent),clastic (percent),d13C (permil),TOC (percent),d15N (permil),C/N (missing),TOC_flux (g/cm2/kyr),LOI (g/cm2/kyr),BSi (g/cm2/kyr)
69,0.006,0.788,5.097,2.245,92.658,-24.439,1.703,3.174,10.97,0,0,0
322,0.006,0.793,6.202,2.825,90.972,-24.232,1.806,3.024,10.902,0,0,0
573,0.006,0.792,5.69,2.64,91.67,-24.52,1.405,2.79,10.559,8.91e-5,0,0
822,0.005,0.642,6.734,2.791,90.475,-24.507,2.039,2.866,10.792,0,0,0
1067,0.005,0.625,8.055,3.442,88.503,-24.427,2.653,3.078,10.66,0,0,0
1307,0.005,0.645,6.965,3.474,89.561,-24.187,2.374,3.153,10.732,0,0,0
1542,0.005,0.639,7.808,3.509,88.683,-24.394,2.326,3.13,11.307,0,0,0
1771,0.005,0.598,8.578,3.776,87.646,-24.645,2.961,3.195,11.629,0,0,0
1992,0.005,0.646,8.503,3.275,88.222,-24.753,2.795,3.076,11.941,0,0.001,0
2206,0.005,0.624,7.523,3.218,89.259,-24.677,2.724,3.053,11.975,0,0,0
2414,0.006,0.645,9.516,3.006,87.478,-24.823,2.617,3.025,12.103,0,0.001,0
2617,0.006,0.699,7.379,3.316,89.305,-24.867,2.707,3.069,11.938,0,0.001,0
2813,0.006,0.647,6.942,3.604,89.454,-24.581,2.258,3.228,10.96,0,0,0
3004,0.007,0.733,5.972,2.672,91.356,-24.609,1.75,3.105,11.508,0,0,0
3191,0.008,0.812,5.701,2.612,91.687,-24.612,1.796,2.913,11.382,0,0.001,0
3372,0.008,0.792,5.39,2.514,92.096,-24.634,2.258,2.919,12.044,0,0,0
3550,0.008,0.783,5.521,2.425,92.055,-24.447,1.969,2.993,11.19,0,0,0
3724,0.008,0.758,6.131,2.214,91.655,-24.581,2.106,2.929,11.925,0,0.001,0
3894,0.009,0.838,5.891,2.269,91.839,-24.82,2.297,2.925,12.437,0,0.001,0
4060,0.009,0.801,6.542,2.222,91.236,-24.602,2.314,2.896,12.609,0,0.001,0
4222,0.01,0.85,5.613,2.117,92.27,-24.569,1.542,3.13,11.803,0,0.001,0
4381,0.01,0.836,5.693,2.243,92.064,-24.484,1.387,2.738,11.423,0,0.001,0
4535,0.009,0.725,6.225,2.47,91.306,-24.61,2.349,2.921,12.329,0,0.001,0
4686,0.008,0.662,6.875,2.361,90.764,-24.379,2.05,2.843,11.592,0,0.001,0
4832,0.01,0.793,5.995,2.513,91.493,-24.338,2.108,2.764,11.699,0,0.001,0
4974,0.009,0.687,6.754,2.937,90.309,-24.671,2.267,2.524,12.066,0,0.001,0
5112,0.009,0.688,7.961,2.677,89.361,-24.679,2.242,2.603,12.018,0,0.001,0
