depth (cm),age14C (bp),age_error (years),age_type (),lab_id (),material_dated (),rejected_dates (),note ()
0,705,40,1,4,2,NA,NA
2,785,35,1,26,1,NA,NA
9,1080,25,1,27,8,NA,NA
29,1250,65,1,11,3,NA,NA
39,1560,30,1,5,2,NA,NA
45,1440,160,1,15,9,NA,NA
46,2765,35,1,8,8,NA,NA
47,1320,30,1,17,5,NA,NA
48,1380,60,1,12,3,NA,NA
62,1800,80,1,6,16,NA,NA
51,2125,30,1,18,17,NA,NA
68,2260,30,1,14,9,NA,NA
149,2680,90,1,19,1,NA,NA
173,3130,35,1,20,17,NA,NA
234,4020,60,1,13,4,NA,NA
276,4840,90,1,1,11,NA,NA
86,1190,35,1,9,15,NA,NA
123,2770,45,1,21,17,NA,NA
79,2495,25,1,23,9,NA,NA
151,2990,35,1,7,14,NA,NA
108,2690,40,1,10,7,NA,NA
152,3030,35,1,24,10,NA,NA
142,2860,35,1,25,6,1,1
167,3165,35,1,22,13,NA,NA
170,3260,45,1,2,12,NA,NA
240,4250,35,1,16,9,NA,NA
262,4680,50,1,3,9,1,1
283,5220,50,NA,NA,NA,NA,NA
314,6440,35,NA,NA,NA,NA,NA
354,7180,40,1,4,2,NA,NA
287,5330,50,1,26,1,NA,NA
326,6620,80,1,27,8,NA,NA
342,6920,40,1,11,3,NA,NA
356,6605,40,1,5,2,NA,NA
367,7435,40,1,15,9,NA,NA
388,7730,35,1,8,8,NA,NA
405,8005,40,1,17,5,NA,NA
449,8420,40,1,12,3,NA,NA
449,8385,45,1,6,16,NA,NA
477,8145,45,1,18,17,NA,NA
494,8790,100,1,14,9,NA,NA
531,9050,40,1,19,1,NA,NA
528,9040,45,1,20,17,NA,NA
558,9220,45,1,13,4,NA,NA
569,9350,40,1,1,11,NA,NA
565,9310,55,1,9,15,NA,NA
632,9920,55,1,21,17,NA,NA
652,10410,90,1,23,9,NA,NA
