depth (mm),sample (NA),238U (ppb),238U_error (ppb),232Th (ppt),232Th_error (ppt),230Th/232Th (atomic ratio),230Th/232Th_error (atomic ratio),230Th/238U (activity),230Th/238U_error (activity),d234Umeas (permil),d234Umeas_error (permil),d234Uinit (permil),d234Uinit_error (permil),uncorAge (yr BP),uncorAge_error (yr),corrAge (yr BP),corrAge_error (yr)
1.3,pp1-top-2,161.6,0.8,2380,35,2.4e-5,0,0.021,0.005,789,17,790,17,1260,332,247,1066
3.6,pp1-S,130,0.7,1662,29,1.6e-5,0,0.013,0.001,795,11,794,12,726,68,-390,1108
8.4,pp1-RS,168.6,1,1363,17,4.7e-5,0,0.023,0.002,836,11,838,11,1322,109,537,792
8.4,pp1-RS-2,169,1.7,1416,17,3.7e-5,0,0.019,0.003,811,21,812,21,1098,169,293,822
12.9,pp1-R,169.5,0.7,1325,16,8.7e-5,0,0.041,0.001,844,7,848,7,2398,62,1629,772
12.9,pp1-Q,188.2,1.3,2032,17,8.5e-5,0,0.056,0.001,870,11,877,11,3236,85,2449,791
29.4,pp1-1,199.1,1.1,2304,23,9.9e-5,0,0.07,0.003,893,14,901,15,4032,155,3266,781
29.4,pp1-1-2,199.7,1.1,2277,23,0,0,0.073,0.003,880,14,889,14,4244,166,3479,783
40.5,pp1-M,217.5,1.2,1697,16,0,0,0.087,0.001,903,9,914,10,5070,91,4442,634
51.2,pp1-K,246.8,1,421,16,0.001,4.4e-5,0.103,0.002,935,6,950,6,5923,134,5582,367
62.4,pp1-2,241.9,1.3,584,21,0.001,3.4e-5,0.112,0.003,967,11,984,12,6345,173,5964,419
62.4,pp1-2-2,242.3,1.3,735,32,0.001,3.2e-5,0.111,0.003,951,11,967,12,6306,170,5918,423
73.7,pp1-G,274.8,1.5,407,16,0.001,5.3e-5,0.122,0.001,942,9,960,9,6973,80,6672,311
82.6,pp1-F,252.6,1,309,11,0.002,0,0.126,0.003,935,6,954,6,7274,158,6974,339
82.6,pp1-F-2,253.4,2.4,308,11,0.002,9.7e-5,0.125,0.006,922,13,940,14,7228,343,6927,455
92.1,pp1-E,237.8,0.8,2852,14,0,0,0.14,0.001,921,5,942,5,8179,63,7505,676
98,pp1-C,201.1,1,1471,13,0,0,0.15,0.003,886,9,907,10,8924,189,8274,676
98,pp1-C-2,201.2,1.7,1496,14,0,0,0.148,0.003,895,15,916,16,8785,182,8135,674
103.2,pp1-B,200.3,0.7,1342,21,0,1.6e-5,0.158,0.006,834,5,856,5,9722,377,9071,751
103.2,pp1-B2,200.9,1.2,1342,20,0,1.9e-5,0.16,0.007,831,11,853,11,9894,481,9244,807
107.4,pp1-bot,186,0.9,1107,28,0,3.4e-5,0.172,0.012,818,15,842,15,10743,769,10081,1012
107.4,pp1-bot-2,187,1.3,1043,25,0,1.9e-5,0.166,0.005,842,21,866,21,10159,352,9521,726
112,pp1-112.04,166.7,0.6,1224,21,0,1.4e-5,0.177,0.006,819,7,843,8,11074,371,10310,848
112,pp1-112.04,166.2,0.8,1223,36,0,4.1e-5,0.171,0.018,810,12,834,13,10674,1158,9904,1386
117.5,pp1-117.49,176.4,0.7,471,25,0.036,0.002,0.179,0.005,775,7,800,7,11485,322,10948,626
117.5,pp1-117.49,177.6,1.5,504,30,0.033,0.002,0.18,0.01,753,26,778,27,11683,685,11131,877
121.2,pp1-A,190,1.6,756,15,0.001,2.2e-5,0.181,0.004,725,14,749,14,11968,304,11367,671
121.2,pp1-A2,190.4,1,784,17,0.001,0,0.184,0.003,717,9,741,9,12220,243,11610,656
128.8,pp1-128.8,172,0.8,478,27,0.001,6.8e-5,0.178,0.006,675,21,698,21,12156,437,11569,730
128.8,pp1-128.8-2,172.6,1.5,492,27,0.001,7.1e-5,0.181,0.007,661,22,684,22,12436,548,11840,806
133.7,pp1-133.74,167.5,1.2,815,26,0.001,0,0.181,0.01,647,15,669,15,12548,768,11815,1058
137.9,pp1-3,170.4,0.7,583,25,0.001,0,0.177,0.007,613,11,635,11,12544,539,11887,849
137.9,pp1-3-2,170.4,1,577,25,0.001,4.5e-5,0.178,0.005,642,16,664,17,12365,397,11722,755
142.2,pp1-142.2,156.4,1,621,25,0.001,3.3e-5,0.182,0.003,592,13,613,14,13098,249,12356,782
142.2,pp1-142.2-2,157.1,0.9,631,26,0.001,4.8e-5,0.185,0.009,587,13,609,13,13410,706,12665,1024
