depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
740.5,-66,20.129,-8.471,6.388,1096
748.5,-54,20.1,-8.5,6.357,1116.143
756.5,-40,20.1,-8.5,6.357,1116.143
764.5,-23,19.886,-8.971,6.014,1105
768.5,-13,19.857,-8.614,6.192,1089.286
770,-9,20.043,-8.529,6.319,1110
772.5,-1,20.2,-8.243,6.531,1134.857
780,24,20.071,-8.357,6.41,1130.714
800,126,20.043,-8.529,6.319,1110
820,296,18.129,-10.886,4.279,1050.571
840,549,18.457,-9.886,4.874,1028.714
857,821,18.729,-9.614,5.152,1022.143
877,1189,18.457,-9.886,4.874,1028.714
897,1594,18.529,-10.329,4.743,1035.714
917,2022,18.1,-10.9,4.254,1052.143
937,2459,18.829,-10.043,5.036,1079.429
962,2998,18.329,-10.6,4.513,1067.857
977,3308,18.214,-10.671,4.429,1073.429
997,3698,18.557,-10.3,4.76,1085.857
1007,3883,18.886,-9.843,5.17,1041.286
1017,4061,19.186,-9.686,5.381,1085.571
1023,4165,18.957,-9.943,5.188,1082.286
1028,4251,18.657,-10.629,4.702,1092.286
1037,4401,18.729,-10.114,4.926,1104.143
1044,4514,18.586,-10.2,4.84,1079.143
1050,4610,18.643,-10.6,4.723,1089.286
1055,4688,18.586,-10.186,4.879,1043.857
1060,4765,18.743,-9.429,5.271,1052.429
1070,4916,18.414,-10.329,4.707,1088.143
1072,4945,18.314,-10.486,4.571,1062.286
1074,4975,18.686,-10.057,4.977,1068.429
1077,5019,18.586,-10.271,4.787,1084.143
1080,5064,18.257,-10.143,4.646,1060.714
1085,5138,18.9,-9.429,5.346,1018
1090,5213,18.429,-10.571,4.544,1040.286
1100,5363,18.3,-10,4.712,1033.714
1120,5663,18.529,-9.871,4.926,1054
1140,5962,18.714,-9.7,5.117,1051
1165,6333,19.271,-9.043,5.676,1034.571
1180,6551,19.171,-9.1,5.562,1019.714
1200,6836,19.643,-9.471,5.699,893
1220,7113,19.429,-9.929,5.424,920.714
1240,7383,18.671,-11.114,4.385,838.429
1265,7720,18.943,-10.143,4.904,879.571
1280,7928,19.5,-9.257,5.64,1019.429
1300,8215,19.686,-8.8,5.905,875.571
1320,8522,19.786,-8.8,5.942,826
1340,8845,18.843,-10.971,4.544,837.857
1365,9257,18.343,-11.257,4.075,839.286
1380,9500,18.5,-12.071,3.93,843.857
1400,9809,18.757,-12.571,3.957,830.143
1420,10090,18.114,-12,3.767,897
1440,10331,18.143,-11.971,3.786,898.571
1465,10564,18.3,-12.229,3.856,966
1480,10671,18.143,-12.529,3.617,896.571
1500,10784,18.486,-11.371,4.269,941
1520,10871,18.143,-12.529,3.617,896.571
1540,10942,18.571,-11.429,4.313,1005.857
1562,11013,NA,NA,NA,NA
1580,11073,NA,NA,NA,NA
1600,11148,NA,NA,NA,NA
1620,11229,NA,NA,NA,NA
1640,11312,NA,NA,NA,NA
1680,11481,NA,NA,NA,NA
1720,11655,NA,NA,NA,NA
1760,11834,NA,NA,NA,NA
1800,12017,NA,NA,NA,NA
1840,12205,NA,NA,NA,NA
1880,12403,NA,NA,NA,NA
1940,12769,NA,NA,NA,NA
2000,13287,NA,NA,NA,NA
2040,13731,NA,NA,NA,NA
2100,14478,NA,NA,NA,NA
