age (BP),temperature (degC),reliable (missing)
-48,7.311,Y
156.94,8.19,Y
259.41,8.282,Y
361.88,8.486,Y
464.35,8.806,Y
566.82,8.493,Y
669.29,9.473,Y
771.76,9.312,Y
874.23,8.835,Y
976.7,9.279,Y
1079.17,9.373,Y
1181.63,9.01,Y
1284.1,9.078,Y
1386.57,8.803,Y
1539.47,9.193,Y
1722.63,9.068,Y
1905.79,9.919,Y
2088.95,9.049,Y
2272.11,8.716,Y
2469.45,9.644,Y
2668.83,9.183,Y
2868.2,8.752,Y
3067.58,9.616,Y
3266.95,9.38,Y
3466.33,9.729,Y
3665.7,9.905,Y
3865.08,9.379,Y
4175.83,9.597,Y
4502.5,9.4,Y
4829.17,9.272,Y
5155.83,10.018,Y
5482.5,9.662,Y
5809.17,10.049,Y
6135.83,9.687,Y
6462.5,9.658,Y
6789.17,8.967,Y
7115.83,9.729,Y
7442.5,9.744,Y
7769.17,9.844,Y
8095.83,10.332,Y
8339.67,9.652,Y
8445.44,10.062,Y
8551.22,9.792,Y
8657,10.538,Y
8762.78,10.528,Y
8802.445,10.671,Y
8842.11,10.932,Y
8895,10.438,Y
8947.89,11.2,Y
9000.78,10.846,Y
9053.67,10.993,Y
9106.555,10.45,Y
9159.44,10.38,Y
9212.33,10.632,Y
9265.22,10.877,Y
9318.11,10.496,Y
9371,10.725,Y
9423.89,11.216,Y
9476.78,11.091,Y
9529.67,11.341,Y
9582.56,10.742,Y
9635.445,10.1,Y
9688.33,10.085,Y
9741.22,9.816,Y
9794.11,9.403,Y
9847,9.383,Y
9899.89,7.675,Y
9952.78,7.971,Y
10005.67,6.548,Y
10058.821,9.752,Y
10085,9.948,Y
10137.89,8.368,Y
10190.78,6.762,Y
10243.67,8.671,Y
10270.11,8.842,Y
