depth (cm),dateType (),measurementMaterial (),sensorSpecies (),labID (),age14C (kyr),age14CUncertainty (kyr)
12.5,14C,planktic foraminifera,G. sacculifer,NUTA2-7997,1.505,0.035
92.5,14C,planktic foraminifera,G. sacculifer,NUTA2-7998,3.55,0.035
317.5,14C,planktic foraminifera,G. sacculifer,NUTA2-7999,9.86,0.045
557.5,14C,planktic foraminifera,G. sacculifer; G. ruber,NUTA2-8036,14.08,0.055
