depth (m),age (BP),temperature (degC),temperature (degC),planktic.d18O (permil),Uk37 (missing),planktic.MgCa (mmol_mol)
0.03,112,28.7,NA,-3,0.954,NA
0.1,372,28.6,NA,-3,0.952,NA
0.2,629,29.1,NA,-2.7,0.961,NA
0.3,858,29.2,NA,-3.16,0.962,NA
0.4,1088,29.1,NA,-3.48,0.96,NA
0.5,1317,28.5,NA,-3.39,0.95,NA
0.6,1546,29.5,NA,-2.58,0.969,NA
0.7,1775,29.3,NA,-2.74,0.964,NA
0.8,2004,28.7,NA,-2.98,0.954,NA
0.9,2233,28.1,NA,-2.91,0.941,NA
1,2462,28.1,NA,-3.1,0.942,NA
1.1,2691,27.9,NA,-3.14,0.939,NA
1.2,2920,28,NA,-2.89,0.94,NA
1.3,3150,27.8,NA,-2.74,0.937,NA
1.36,3287,NA,27.6,NA,NA,3.8
1.4,3425,28.1,NA,-3.18,0.941,NA
1.48,3701,27.9,NA,-3.01,0.939,NA
1.6,4116,28.9,NA,-2.64,0.957,NA
1.7,4461,28,NA,-3.04,0.94,NA
1.76,4668,27.8,NA,-2.88,0.936,NA
1.9,5152,27.6,NA,-2.6,0.932,NA
2,5497,27.1,NA,-2.33,0.923,NA
2.1,5842,27.9,NA,-2.39,0.938,NA
2.2,6188,27.2,NA,-2.82,0.925,NA
2.3,6533,27.4,NA,-2.47,0.929,NA
2.35,6705,27.2,NA,NA,0.924,NA
2.4,6878,NA,NA,-2.51,NA,NA
2.5,7223,27.4,NA,-2.71,0.928,NA
2.6,7569,28.1,NA,-2.68,0.941,NA
2.7,7914,27.9,NA,-2.68,0.939,NA
2.8,8259,28,NA,NA,0.94,NA
2.9,8605,27.8,NA,-2.63,0.936,NA
2.99,8915,27.7,NA,NA,0.935,NA
3.03,9054,27.7,NA,-2.26,0.934,NA
3.14,9433,27.9,NA,-2.17,0.938,NA
3.23,9744,27.2,NA,NA,0.925,NA
3.33,10089,26.9,NA,NA,0.92,NA
3.43,10435,27.8,NA,-2.37,0.936,NA
3.53,10780,27.2,NA,-2.23,0.924,NA
3.59,10987,28.1,NA,NA,0.942,NA
3.63,11175,27.1,NA,-2.38,0.923,NA
