depth (m),age (BP),temperature (degC),temperature (degC),uncertainty.temperature (degC),uncertainty.temperature (degC),d13C (permil),d18O (permil),planktic.d13C (permil),planktic.d13C (permil),planktic.d18O (permil),planktic.d18O (permil),note (missing)
0.005,590,15.8,20.14,1.63,1.68,0.33,2.64,NA,NA,NA,NA,", 0-1.1"
0.058,NA,NA,NA,NA,NA,NA,NA,-1,0.53,-0.1,-0.58,5.3-6.3 U. Tasmania
0.111,1500,15.52,20.3,1.5,1.55,0.38,2.61,NA,0.58,NA,-0.56,", 10.6-11.6, 10.6-11.6 U. Tasmania"
0.153,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,0.02,114.7-115.8 UC Davis
0.164,NA,NA,NA,NA,NA,NA,NA,-1.2,0.61,-0.2,-0.45,15.9-16.9 U. Tasmania
0.197,NA,NA,NA,NA,NA,0.26,2.88,NA,NA,NA,NA,117.0-118.1
0.217,2420,15.34,20.26,1.45,1.55,0.23,2.57,-1.47,0.58,-0.29,-0.53,", 21.1-22.2, 21.1-22.2 U. Tasmania"
0.27,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,-0.45,26.4-27.5 U. Tasmania
0.322,3320,15.79,20.83,1.48,1.74,0.37,2.56,NA,1.1,NA,-0.63,", 31.7-32.8, 31.7-32.8 U. Tasmania"
0.375,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,-0.55,37.0-38.1 U. Tasmania
0.428,4230,15.48,20.31,1.6,1.84,0.53,2.61,NA,0.46,NA,-0.48,", 42.3-43.3, 42.3-43.3 U. Tasmania"
0.481,NA,NA,NA,NA,NA,NA,NA,-0.92,1.08,-0.16,-0.68,47.6-48.6 U. Tasmania
0.534,5150,15.45,20.11,1.62,1.91,0.45,2.65,-0.9,1.1,0.24,-0.63,", 52.9-53.9, 52.9-53.9 U. Tasmania"
0.64,6060,17.08,22.44,1.18,1.54,0.57,2.57,NA,0.86,NA,-0.53,", 63.4-64.5, 63.4-64.5 U. Tasmania"
0.692,NA,NA,NA,NA,NA,NA,NA,-1.25,0.94,0.09,-0.72,68.7-69.8 U. Tasmania
0.763,7120,15.22,20.09,1.26,1.24,0.72,2.38,NA,NA,NA,NA,", 75.5-77.0"
0.806,NA,NA,NA,NA,NA,NA,NA,NA,0.89,NA,-0.56,80.1-81.2 U. Tasmania
0.859,7790,16.43,21.41,1.66,1.79,0.06,2.95,-1,NA,0.04,NA,", 85.4-86.5"
0.912,NA,NA,NA,NA,NA,NA,NA,-1.45,0.86,0.21,-0.19,90.7-91.8 U. Tasmania
1.02,8920,15.89,20.82,1.53,1.34,0.25,3.11,-1.25,0.62,0.22,-0.28,", 101.4-102.5, 101.4-102.5 U. Tasmania"
1.031,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,-0.12,102.5-103.7 U. Tasmania
1.042,NA,NA,NA,NA,NA,0.38,2.88,-1.39,0.71,0.06,-0.3,"103.7-104.8, 103.7-104.8 U. Tasmania  103.7-104.8 UC Davis"
1.053,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,-0.16,104.8-105.9 U. Tasmania
1.064,NA,NA,NA,NA,NA,0.36,2.35,-1.8,0.8,0.05,-0.2,"105.9-107.0, 105.9-107.0 UC Davis  105.9-107.0 U. Tasmania"
1.075,9330,16.9,21.94,1.33,1.16,NA,NA,NA,0.66,NA,-0.19,", 107.0-108.1 U. Tasmania"
1.086,NA,NA,NA,NA,NA,0.22,3.09,-1.46,0.93,0.22,-0.08,"108.1-109.2, 108.1-109.2 UC Davis"
1.109,9580,16.42,22.54,1.57,1.82,0.28,2.87,-1.46,0.93,-0.05,0.25,", 110.3-111.4, 110.3-111.4 UC Davis"
1.131,9740,16.4,22.16,1.57,1.86,0.25,3.27,-1.4,0.75,0.22,-0.08,", 112.5-113.6, 112.5-113.6 UC Davis"
1.153,NA,NA,NA,NA,NA,0.32,2.97,-1.47,NA,0.28,NA,114.7-115.8
1.175,NA,NA,NA,NA,NA,NA,NA,-1.44,0.69,0.27,0.09,117.0-118.1 UC Davis
1.186,10140,16.45,23.74,2.04,2.74,NA,NA,NA,NA,NA,NA,NA
1.197,NA,NA,NA,NA,NA,NA,NA,-1.54,0.94,-0.05,0.37,119.2-120.3 UC Davis
1.219,NA,NA,NA,NA,NA,0.22,2.96,-1.63,0.94,0.1,0.28,"121.4-122.5, 121.4-122.5 UC Davis"
1.242,10550,16.9,23.87,1.56,3.31,-0.07,3.37,-1.54,0.96,0.17,0.31,", 123.6-124.7, 123.6-124.7 UC Davis"
1.264,NA,NA,NA,NA,NA,0.25,3.2,-1.22,0.95,0.36,0.42,"125.6-126.9, 125.6-126.9 UC Davis"
1.286,NA,NA,NA,NA,NA,0.18,3.28,-1.04,0.74,0.29,0.73,"128.0-129.2, 128.0-129.2 UC Davis"
1.297,10920,15.87,21,2.41,3,NA,NA,NA,NA,NA,NA,NA
1.308,NA,NA,NA,NA,NA,0.05,3.21,-1.54,0.78,0.47,0.5,"130.3-131.4, 130.3-131.4 UC Davis"
1.33,NA,NA,NA,NA,NA,0.08,3.34,-1.48,0.37,0.66,1.09,"132.5-133.6, 132.5-133.6 UC Davis"
1.353,11290,14.69,20.82,2.06,2.81,0.09,3.57,-0.98,0.88,0.6,0.69,", 134.7-135.8, 134.7-135.8 UC Davis"
1.375,NA,NA,NA,NA,NA,0.35,3.2,-1.33,0.68,0.74,0.92,"136.9-138.0, 136.9-138.0 UC Davis"
1.397,NA,NA,NA,NA,NA,0.31,3.48,-1.11,0.77,0.46,0.74,"139.1-140.2, 139.1-140.2 UC Davis"
1.408,11660,13.71,19.28,1.26,2.27,NA,NA,NA,NA,NA,NA,NA
1.419,NA,NA,NA,NA,NA,0.25,3.52,-1.43,0.71,0.68,0.79,"141.3-142.5, 141.3-142.5 UC Davis"
1.441,NA,NA,NA,NA,NA,NA,NA,-1.48,0.83,0.66,0.5,143.6-144.7 UC Davis
1.463,NA,NA,NA,NA,NA,0.24,3.59,-1.52,0.72,0.59,0.77,"145.8-146.9, 145.8-146.9 UC Davis"
1.595,12500,15.16,20.6,2.6,3.46,0.06,3.49,NA,NA,NA,NA,", 159.0-160.1"
1.606,NA,NA,NA,NA,NA,-0.05,3.74,NA,NA,NA,NA,160.1-161.2
1.617,NA,NA,NA,NA,NA,-0.1,3.87,-1.27,0.76,0.6,0.99,"161.2-162.3, 161.2-162.3 UC Davis"
1.628,NA,NA,NA,NA,NA,-0.02,3.65,NA,NA,NA,NA,162.3-163.4
1.639,NA,NA,NA,NA,NA,-0.11,3.49,-1.41,0.78,0.93,0.7,"163.4-164.5, 163.4-164.5 UC Davis"
1.65,12850,15.92,21.32,2.98,3.28,0.02,3.61,NA,NA,NA,NA,", 164.5-165.6"
