depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,-28,16.714,-13.671,2.59,1069.857
10,-6,16.386,-14.114,2.348,1099.857
20,17,16.329,-13.857,2.385,1081
30,41,16.5,-14.486,2.261,1027.857
40,65,16.771,-14.186,2.373,986.429
50,88,16.443,-13.857,2.435,1013
60,213,16.257,-14.671,2.098,1036.143
80,666,16.257,-13.929,2.33,1116.571
100,1118,16.386,-14.114,2.348,1099.857
120,1571,16.443,-13.857,2.435,1013
140,2023,16.771,-13.943,2.47,982
160,2476,16.114,-14.5,1.995,1055.286
180,2928,16.7,-13.771,2.557,1063.429
200,3381,17.157,-12.671,3.038,1052
220,3833,17.071,-12.786,2.957,952.143
240,4286,16.7,-13.771,2.557,1063.429
260,4738,17.614,-11.971,3.451,1042.857
280,5191,16.686,-13.486,2.604,1052.857
300,5643,16.229,-14.043,2.212,1112.571
320,6096,16.771,-13.943,2.47,982
340,6549,17.114,-13.571,2.76,1035.857
360,6867,17.814,-11.929,3.508,890.429
380,7051,17.843,-11.9,3.527,892
400,7235,17.957,-12.629,3.352,894.571
420,7419,18.043,-11.929,3.689,895
440,7603,18.757,-12.586,3.956,830
460,7788,18.971,-13.1,3.886,819.714
480,7972,18.729,-12.614,3.937,828.286
500,8156,19.129,-12.971,4.048,817.857
520,8340,18.2,-12.843,3.469,884.857
