depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
206,Carbon-14,108863,65,961,NA,NA
410,Carbon-14,108864,67,2361,NA,NA
650,Carbon-14,108865,115,4903,NA,NA
710,Carbon-14,108866,90,6322,NA,NA
825,Carbon-14,108867,147,9934,NA,NA
839,Carbon-14,108868,268,12237,NA,NA
