year (AD) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3]
1993,-17.83,-21.58,-14.91,NA,1993.5,-21,NA,1950,-17.38
1992,-12.81,-12.18,-14.42,-13.06,1993.417,-23.63,NA,1850,-17.24
1991,-16.82,-16.77,-17.35,-17.21,1993.333,-22.29,NA,1750,-18.3
1990,-14.63,-14.94,-14.79,-15.45,1993.25,-20.69,-19.78,1650,-19.1
1989,-18.07,-17.58,-18.97,-18.15,1993.167,-22.47,-22.51,1550,-19.34
1988,-16.47,-16.64,-15.24,-16.49,1993.083,-21.95,-23.1,1450,-19.2
1987,-16.24,-16.25,-16.59,-16.08,1993,-18.9,-18.24,1350,-18.72
1986,-18.22,-18.69,-18.61,-18.8,1992.917,-15.5,-12.54,1250,-18.45
1985,-16.5,-14.85,-16.29,-15.01,1992.833,-11.88,-12.25,1150,-18.16
1984,-21.2,-21.05,-19.81,-21.47,1992.75,-10.17,-9.37,1050,-18.4
1983,-14.6,-14.89,-15.6,-14.54,1992.667,-11.62,-12.12,950,-18.31
1982,-16.78,-17.34,-17.51,-17.62,1992.583,-10.59,-10.02,850,-18.5
1981,-18.11,-17.06,-17.81,-17.43,1992.5,-9.61,-9.68,750,-18.71
1980,-15.37,-17.1,-15.1,-17,1992.417,-11.13,-14.52,650,-18.7
1979,-17.26,-18.23,-17.45,-17.17,1992.333,-15.85,-16.04,550,-18.45
1978,-16.14,-14.59,-15.97,-15.56,1992.25,-18.46,-17.1,450,-18.09
1977,-16.94,-18.71,-17.25,-18.01,1992.167,-13.42,-20.06,350,-18.2
1976,-19.91,-19.31,-19.56,-19.4,1992.083,-10.25,-15.03,250,-18.5
1975,-18.63,-19.85,-18.42,-19.49,1992,-10.91,-10.34,150,-18.44
1974,-18.52,-17.39,-19.22,-18.75,1991.917,-10.47,-12.01,50,-18.51
1973,-19.78,-19.52,-18.6,-17.91,1991.833,-12.89,-13.13,-50,-18.05
1972,-18.9,-19.88,-19.91,-20.58,1991.75,-16,-18.32,-150,-18.13
1971,-17.82,-18.72,-18.78,-19.99,1991.667,-14.74,-13.81,-250,-18.3
1970,-17.67,-16.11,-18.03,-16.23,1991.583,-11.29,-12.43,-350,-18.32
1969,-13.79,-15.58,-15.1,-17.25,1991.5,-15.1,-16.48,-450,-17.96
1968,-15.37,-15.08,-14.96,-14.94,1991.417,-22.24,-24.37,-550,-17.99
1967,-17.77,-17.53,-17.85,-17.42,1991.333,-25.2,-24.21,-650,-18.17
1966,-15.69,-15.73,-15.57,-15.95,1991.25,-20.25,-19.18,-750,-18.35
1965,-16.21,-15.18,-15.54,-14.42,1991.167,-16.6,-15.97,-850,-18.36
1964,-14.02,-15.64,-15.09,-15.65,1991.083,-15.93,-16.18,-950,-18.57
1963,-14.96,-14.59,-13.96,-15.05,1991,-15,-14.72,-1050,-18.53
1962,-18.55,-19.58,-18.87,-19.83,1990.917,-13.72,-15.25,-1150,-18.5
1961,-18.8,-17.14,-18.15,-17.13,1990.833,-14.92,-16.52,-1250,-18.52
1960,-16.91,-17.21,-17.26,-17.53,1990.75,-18.15,-18.86,-1350,-18.31
1959,-16.82,-16.56,-17.26,-16.19,1990.667,-17.56,-15.71,-1450,-18.29
1958,-17.49,-18.87,-17.23,-18.72,1990.583,-10.49,-9.51,-1550,-18.18
1957,-15.08,-14.78,-15.56,-14.99,1990.5,-10.65,-10.57,-1650,-18.22
1956,-14.38,-14.82,-14.93,-15.38,1990.417,-10.7,-11.52,-1750,-18.41
1955,-19.75,-18.04,-17.97,-17.31,1990.333,-17.23,-17.34,-1850,-18.36
1954,-18.56,-19.49,-19.58,-19.62,1990.25,-16.06,-16.18,-1950,-18.37
1953,-18.55,-17.29,-18.79,-17.26,1990.167,-14.44,-14.74,-2050,-18.26
1952,-18.19,-19.9,-19.57,-20.08,1990.083,-17.64,-18.16,-2150,-18.13
1951,-18.86,-17.44,-18.07,-17.84,1990,-19.09,-17.89,-2250,-18.21
1950,-19.76,-19,-20.06,-19.05,1989.917,-16.3,-16.54,-2350,-18.54
1949,-19.08,-19.78,-19.14,-19.98,1989.833,-14.87,-15.44,-2450,-18.35
1948,-15.93,-17,-16.31,-17.45,1989.75,-13.89,-14.22,-2550,-18.06
1947,-15.94,-15.99,-14.92,-15.23,1989.667,-12.42,-12.55,-2650,-18.25
1946,-14.73,-14.82,-14.93,-14.51,1989.583,-11.25,-10.29,-2750,-17.92
1945,-18.41,-17.2,-18.89,-17.36,1989.5,-13.77,-14.38,-2850,-18.02
1944,-16.94,-18.77,-17.18,-19.08,1989.417,-23.49,-23.33,-2950,-17.9
1943,-17.31,-16.03,-18.03,-16.47,1989.333,-24.28,-24.64,-3050,-18.01
1942,-19.17,-20.78,-18.21,-18.36,1989.25,-21.55,-23.17,-3150,-18
1941,-15.76,-15.74,-16.15,-17.78,1989.167,-19.49,-21.39,-3250,-18.06
1940,-17.18,-15.26,-17.27,-16.33,1989.083,-19.03,-19.17,-3350,-17.81
1939,-15.75,-16.19,-16.78,-16.62,1989,-19.02,-20.36,-3450,-17.7
1938,-17.23,-17.78,-17.58,-17.8,1988.917,-21.45,-21.43,-3550,-17.87
1937,-15.5,-15.88,-15.98,-16.13,1988.833,-16.58,-18.67,-3650,-18.09
1936,-15.71,-15.8,-16.72,-17.37,1988.75,-14.62,-16.21,-3750,-17.87
1935,-14.86,-13.54,-15.16,-14.03,1988.667,-13.42,-12.83,-3850,-17.47
1934,-16.15,-16.8,-16.89,-17.58,1988.583,-11.44,-10.9,-3950,-17.26
1933,-19.24,-18.95,-19.6,-18.65,1988.5,-11.8,-11.72,-4050,-17.6
1932,-20.3,-17.95,-19.88,-18.78,1988.417,-21.1,-19,-4150,-17.56
1931,-16.32,-18.27,-16.55,-17.01,1988.333,-21.5,-21.3,-4250,-17.73
1930,-18.67,-16.92,-18.95,-17.97,1988.25,-20.84,-19.21,-4350,-17.71
1929,-17.04,-18.86,-17.98,-18.55,1988.167,-18.79,-15.9,-4450,-17.53
1928,-14.65,-15.73,-14.74,-16.77,1988.083,-15,-14.58,-4550,-17.52
1927,-15.38,-15.28,-19.38,-18.85,1988,-17.21,-17.76,-4650,-17.3
1926,-17.48,-17.48,-17.7,-18.38,1987.917,-18.19,-17.5,-4750,-17.21
1925,-16.64,-16.26,-18.25,-17.5,1987.833,-15.91,-15.98,-4850,-16.94
1924,-17.99,-17.13,-19.72,-18.55,1987.75,-15.54,-14.79,-4950,-16.99
1923,-16.58,-16.84,-15.6,-16.13,1987.667,-12.78,-13.3,-5050,-17.18
1922,-21.28,-19.64,-19.54,-19.97,1987.583,-10.41,-10.34,-5150,-17.03
1921,-18.33,-17.75,-16.77,-17.92,1987.5,-12.08,-12.69,-5250,-16.85
1920,-18.02,-17.99,-19.09,-16.87,1987.417,-16.58,-15.63,-5350,-17.02
1919,-18.41,-20.48,-19.23,-20.24,1987.333,-18.63,-18.3,-5450,-17.08
1918,-17.57,-18.77,-20.23,-21,1987.25,-19.43,-19,-5550,-17.07
1917,-18.92,-17.87,-18.91,-17.68,1987.167,-19.24,-19.15,-5650,-16.96
1916,-17.07,-18.44,-17.66,-18.77,1987.083,-19.16,-18.87,-5750,-16.67
1915,-18.48,-18.18,-17.46,-17.29,1987,-18.33,-17.43,-5850,-16.61
