year (AD),age (BP),lakeLevel (cm),lakeLevelHi (cm),lakeLevelLo (cm)
1900,50,6.286,1.612,10.961
1850,100,9.528,4.282,14.773
1800,150,11.193,5.786,16.601
1750,200,11.229,5.568,16.891
1700,250,12.803,6.58,19.026
1650,300,13.942,7.809,20.075
1600,350,16.491,9.543,23.439
1550,400,16.749,9.098,24.4
1500,450,19.666,8.595,30.736
1450,500,25.693,8.994,42.391
1400,550,28.119,8.467,47.772
1350,600,27.632,10.481,44.783
1300,650,24.895,11.743,38.046
1250,700,28.282,15.462,41.102
1200,750,46.038,24.249,67.827
1150,800,56.158,31.481,80.835
1100,850,59.243,34.127,84.359
1050,900,49.437,28.869,70.005
1000,950,51.199,28.911,73.486
950,1000,66.754,38.835,94.673
900,1050,78.251,46.558,109.943
850,1100,86.139,52.995,119.283
800,1150,96.016,57.663,134.369
750,1200,107.984,61.816,154.152
700,1250,120.399,66.519,174.278
650,1300,117.558,64.266,170.85
600,1350,116.356,63.827,168.886
550,1400,117.731,68.888,166.573
500,1450,117.892,73.725,162.06
450,1500,106.21,69.355,143.064
400,1550,94.765,56.669,132.861
350,1600,96.183,43.058,149.308
300,1650,107.026,44.162,169.889
250,1700,114.736,48.32,181.152
200,1750,109.586,45.718,173.453
150,1800,109.369,43.441,175.296
100,1850,115.716,41.172,190.261
50,1900,125.469,45.472,205.466
0,1950,135.59,50.27,220.911
-50,2000,135.726,47.979,223.474
-100,2050,137.593,49.15,226.036
-150,2100,137.647,46.695,228.599
-200,2150,139.37,43.906,234.834
-250,2200,137.109,36.82,237.397
-300,2250,141.127,42.294,239.96
-350,2300,149.51,56.145,242.875
-400,2350,163.981,74.242,253.721
-450,2400,172.183,79.565,264.801
-500,2450,176.259,80.425,272.093
-550,2500,176.02,81.174,270.866
-600,2550,181.448,94.911,267.985
-650,2600,178.783,95.77,261.795
-700,2650,180.596,96.885,264.308
-750,2700,176.764,85.172,268.356
-800,2750,192.086,105.19,278.982
-850,2800,208.639,134.978,282.3
-900,2850,207.014,139.04,274.987
-950,2900,196.496,128.937,264.054
-1000,2950,173.949,111.306,236.592
-1050,3000,169.332,119.321,219.343
-1100,3050,157.886,120.41,195.362
-1150,3100,159.259,119.189,199.33
-1200,3150,170.831,120.282,221.379
-1250,3200,186.962,123.576,250.349
-1300,3250,184.839,121.885,247.793
-1350,3300,161.871,115.12,208.622
-1400,3350,138.894,108.132,169.657
-1450,3400,129.866,105.791,153.94
-1500,3450,145.381,105.87,184.891
-1550,3500,153.973,105.949,201.997
-1600,3550,162.531,106.028,219.033
-1650,3600,164.063,106.108,222.018
-1700,3650,179.2,106.187,252.213
-1750,3700,197.352,112.431,282.272
-1800,3750,214.518,123.869,305.167
-1850,3800,225.981,137.417,314.545
-1900,3850,232.115,146.906,317.323
-1950,3900,226.855,153.312,300.398
-2000,3950,231.529,159.718,303.339
-2050,4000,235.641,166.124,305.158
-2100,4050,256.292,172.53,340.055
-2150,4100,260.582,178.935,342.228
-2200,4150,251.203,157.112,345.295
-2250,4200,230.858,133.179,328.537
-2300,4250,219.451,107.136,331.766
-2350,4300,214.719,107.215,322.223
-2400,4350,207.494,107.294,307.693
-2450,4400,199.286,107.373,291.199
-2500,4450,198.461,107.453,289.47
-2550,4500,202.665,107.532,297.799
-2600,4550,220.156,114.709,325.603
-2650,4600,243.813,129.354,358.272
-2700,4650,251.243,136.9,365.587
-2750,4700,248.767,145.183,352.35
-2800,4750,263.915,177.711,350.118
-2850,4800,291.39,210.041,372.738
-2900,4850,317.016,234.926,399.106
