year (AD),age (BP),depth (m),WMTmin (degC),WMT (degC),WMTmax (degC),CMTmin (degC),CMT (degC),CMTmax (degC),MATmin (degC),MAT (degC),MATmax (degC),precipitation (mm),precipitation (mm),precipitation (mm),precipitation (mm),precipitation (mm),precipitation (mm),precipitation (mm/yr),precipitation (mm/yr),precipitation (mm/yr),Analogues# (#)
1910,40,0.028,20.8,22.7,25.4,-7.7,-2.8,1.7,6.5,9.4,12.7,633,714,843,373,541,676,1166,1255,1328,8
1668,282,0.199,17.5,22.2,25.4,-10.8,-3,1.7,3.4,9,12.7,651,768,909,373,509,676,1065,1277,1419,8
1380,570,0.501,21,22.3,25.4,-4.6,-2.7,1.7,7.5,9.1,12.7,652,782,915,373,541,676,1166,1323,1425,8
807,1143,0.583,17.4,22.2,25.4,-8.1,-2.9,1.7,4,9,12.7,633,749,893,373,532,676,1166,1281,1404,8
611,1339,0.625,17.4,22.2,25.4,-8.1,-3,1.7,4,9,12.7,633,776,909,373,516,673,1166,1292,1419,8
446,1504,0.666,17.4,22,25.4,-10.8,-3.5,1.7,3.4,8.7,12.7,633,724,843,373,516,675,1065,1240,1374,8
281,1669,0.707,17.5,22.4,25.4,-10.8,-3,1.7,3.4,9.2,12.7,633,714,843,373,520,676,1065,1234,1328,8
116,1834,0.748,17.4,22.2,25.4,-10.8,-2.9,1.7,3.4,9,12.7,651,726,843,373,522,676,1065,1247,1374,8
-49,1999,0.79,17.5,22.8,25.4,-10.8,-2.6,1.7,3.4,9.5,12.7,633,725,843,373,504,675,1065,1229,1327,8
-248,2198,0.839,17.4,22.5,25.4,-8.1,-2.3,1.7,4,9.5,12.7,558,725,843,373,535,676,1130,1261,1374,8
-669,2619,0.945,17.4,23.1,25.4,-8.1,-1.5,1.7,4,10.1,12.7,648,785,1071,373,509,675,1166,1294,1592,8
-985,2935,1.038,17.4,21.6,25.4,-10.8,-3.9,1.7,3.4,8.3,12.7,633,724,843,373,515,673,1065,1240,1374,8
-1046,2996,1.086,17.5,22.2,25.4,-10.8,-3.5,1.7,3.4,8.9,12.7,633,713,843,373,511,676,1065,1223,1328,8
-1114,3064,1.138,17.5,22.4,25.4,-10.8,-3.3,1.7,3.4,9.1,12.7,633,714,843,373,496,673,1065,1209,1327,8
-1255,3205,1.245,16.5,19.8,21.3,-10.8,-7.2,-3.9,3.3,6.1,8,558,632,667,348,542,676,976,1174,1328,8
-1335,3285,1.308,17.5,22.2,25.4,-10.8,-3.3,1.7,3.4,9,12.7,587,707,843,338,493,676,924,1200,1328,8
-1413,3363,1.369,19.6,22.3,25.4,-7.2,-3.3,1.3,6.4,9,12.7,579,752,909,335,508,673,914,1260,1505,8
-1492,3442,1.43,17.4,22.1,25.4,-7.1,-3.2,1.3,5.8,9,12.7,587,765,909,338,524,673,924,1289,1505,8
-1565,3515,1.486,17.4,22.2,25.4,-7.1,-3.1,1.3,5.8,9,12.7,587,772,909,338,526,673,924,1297,1505,8
-1645,3595,1.549,19.6,22.7,25.4,-7.2,-2.9,1.3,6.4,9.4,12.7,579,748,875,335,521,673,914,1269,1505,8
-1722,3672,1.611,17.4,20.9,25.4,-9.7,-4.8,1.3,4.7,7.8,12.7,579,679,860,335,432,585,914,1112,1368,8
-1751,3701,1.633,22.9,22.9,22.9,-2.1,-2.1,-2.1,9.6,9.6,9.6,717,717,717,585,585,585,1302,1302,1302,1
-1808,3758,1.678,17.4,20.3,25.4,-9.7,-5.2,1.3,4.7,7.4,12.7,579,655,790,335,417,585,914,1072,1302,8
-1865,3815,1.722,17.4,20.5,25.4,-7.2,-4.6,1.3,5.8,7.7,12.7,579,678,860,335,408,585,914,1087,1368,8
-1923,3873,1.767,17.4,20,25.5,-7.9,-5.5,2,5.4,7.1,13.1,579,710,937,335,418,546,914,1128,1474,8
-1980,3930,1.811,17.4,20.6,25.4,-7.2,-4.6,1.3,5.8,7.8,12.7,579,678,860,335,407,585,914,1086,1368,8
-2037,3987,1.855,15,19.6,25.4,-11.4,-5.8,1.3,1.4,6.8,12.7,579,681,860,335,393,507,914,1074,1368,8
-2094,4044,1.9,17.4,20.5,25.4,-7.2,-4.7,1.3,5.8,7.7,12.7,579,676,860,335,402,585,914,1078,1368,8
-2319,4269,1.989,17.4,20,25.4,-9.7,-5.4,1.3,4.7,7.1,12.7,579,688,937,335,435,585,914,1122,1474,8
-2431,4381,2.03,15.9,19.2,25.4,-11.2,-6.4,1.3,2,6.3,12.7,579,637,790,335,424,672,914,1060,1312,8
-2701,4651,2.13,17.4,20.3,25.5,-7.2,-4.9,2,5.4,7.4,13.1,579,720,937,335,423,585,914,1143,1474,8
-2844,4794,2.21,17.4,20.3,25.4,-7.2,-4.9,1.3,5.4,7.5,12.7,579,710,937,335,426,585,914,1136,1474,8
-2943,4893,2.29,17.4,20.7,25.4,-7.2,-4.5,1.3,5.8,7.9,12.7,579,683,860,335,416,585,914,1100,1368,8
-3043,4993,2.37,17.4,20.3,25.4,-9.7,-5.4,1.3,4.7,7.3,12.7,579,653,790,335,441,585,914,1094,1302,8
-3113,5063,2.426,17.4,19.5,25.4,-10.8,-6.2,1.3,3.4,6.6,12.7,579,640,790,335,393,546,914,1033,1189,8
-3365,5315,2.508,16.8,19.2,25.4,-8,-5.9,1.3,4.5,6.6,12.7,587,648,790,338,399,659,924,1047,1285,8
-3507,5457,2.745,17.4,20,25.5,-7.2,-5.3,2,5.4,7.2,13.1,579,704,937,335,428,659,914,1132,1474,8
-3556,5506,2.785,17.4,20.1,25.5,-7.2,-5.1,2,5.4,7.3,13.1,579,704,937,335,424,659,914,1128,1474,8
