depth (m),age (BP),planktic.d18O (degC),depth (m),age (BP),d13C (permil)
0.01,6,26.5,0.265,152,-2.13
0.03,17,26.6,0.295,170,-2
0.05,29,26.4,0.32,184,-1.91
0.07,40,26.6,0.325,187,-2.29
0.09,52,26.5,0.35,201,-2.28
0.24,138,26.3,0.38,218,-2.18
0.26,149,26.6,0.39,227,-2.06
0.28,161,26.5,0.41,228,-2.09
0.3,172,25.2,0.43,228,-2.15
0.32,184,25.2,0.46,268,-2.15
0.34,196,27.4,0.49,287,-2.25
0.36,207,25.5,0.53,312,-1.99
0.38,218,25.3,0.555,328,-2.09
0.39,227,26.45,0.615,391,-1.95
0.4,230,26.8,0.65,427,-2.22
0.42,243,27.1,0.69,469,-2.06
0.44,255,26.2,0.725,505,-1.93
0.46,268,25.3,0.765,547,-2.3
0.48,281,26.2,0.82,604,-2.13
0.5,306,26,0.88,666,-2.08
0.54,319,26.4,0.92,708,-1.98
0.56,333,27,0.94,729,-1.89
0.58,354,26.3,0.985,776,-2.06
0.6,375,27.6,1.025,817,-2.04
0.62,396,26.5,1.07,864,-2.21
0.64,416,27,1.095,890,-1.98
0.66,437,26.2,1.125,921,-2.23
0.68,458,26.8,1.16,929,-2.03
0.7,479,26.4,1.195,969,-2.11
0.72,500,27.2,1.225,1004,-2.26
0.74,521,26.1,1.235,1015,-2.08
0.76,541,25.9,1.3,1075,-2.31
0.78,560,26.4,1.325,1096,-2.13
0.8,579,26.6,1.365,1130,-2
0.82,599,26.5,1.45,1202,-2.2
0.84,618,26.4,1.485,1232,-2.44
0.86,637,26.8,1.52,1262,-2.25
0.88,657,26,1.53,1271,-2.14
0.9,676,27.1,1.56,1296,-2.21
0.92,696,25.8,1.595,1326,-2.17
0.94,715,26.6,1.625,1352,-2.06
0.96,734,26,1.69,1400,-2.14
0.98,753,27.1,1.725,1418,-2.17
1.02,792,26.1,1.755,1433,-1.94
1.04,812,27,1.845,1480,-1.92
1.06,831,26.5,1.85,1483,-1.96
1.08,850,26.8,1.905,1512,-1.73
1.1,870,26.6,1.935,1527,-1.63
1.12,889,26.3,1.975,1553,-2.04
1.14,908,26.5,2.03,1593,-1.9
1.16,929,25.9,2.065,1619,-2.03
1.18,952,26.2,2.12,1659,-1.82
1.22,998,26.5,2.155,1685,-1.96
1.24,1021,26.7,2.185,1707,-1.88
1.26,1040,26.8,2.22,1732,-1.8
1.28,1058,26.6,2.26,1763,-1.81
1.3,1075,26.9,2.29,1789,-1.89
1.32,1092,26.9,2.325,1820,-1.94
1.34,1109,26.8,2.35,1842,-2.01
1.36,1126,27.1,2.385,1872,-2
1.44,1194,26.7,2.42,1903,-2.14
1.46,1211,26.6,2.45,1929,-2.15
1.48,1228,26.8,2.525,1995,-1.94
1.54,1279,26.4,2.565,2030,-2.07
1.56,1296,26.2,2.6,2061,-1.9
1.58,1313,26.4,2.625,2083,-2.04
1.6,1330,26.9,2.66,2113,-2.01
1.62,1347,26.6,2.725,2170,-1.86
1.64,1365,26.2,2.83,2265,-1.84
1.66,1382,27.3,2.865,2297,-2.1
1.68,1395,26.1,2.925,2351,-2.15
1.7,1405,26.1,2.97,2391,-1.95
1.72,1415,26.2,3.03,2446,-2
1.74,1426,26.4,3.125,2531,-1.9
1.76,1436,26.4,3.225,2621,-1.87
1.78,1446,26.3,3.32,2696,-1.76
1.83,1473,26.5,3.425,2771,-1.65
1.87,1493,26.5,3.53,2846,-1.75
1.89,1504,26,3.625,2914,-1.87
1.91,1514,26.9,3.725,2985,-1.78
1.95,1535,26.7,3.825,3063,-1.87
1.97,1550,26.4,3.925,3143,-1.9
1.99,1564,26.9,4.035,3231,-1.94
2.02,1586,26.9,4.12,3299,-1.92
2.04,1601,26.3,4.22,3378,-1.92
2.07,1623,26.6,4.32,3458,-1.66
2.11,1652,26.1,4.425,3542,-1.48
2.13,1666,26.9,4.53,3614,-1.91
2.16,1688,26.3,4.64,3682,-1.81
2.18,1703,27.3,4.725,3735,-2.07
2.22,1732,26.6,4.85,3836,-2.06
2.24,1747,27.1,4.925,3899,-1.91
2.29,1789,26.3,5.025,3984,-1.92
2.31,1807,27,5.055,4010,-1.82
2.33,1824,26.5,5.125,4069,-1.87
2.37,1859,27.3,5.17,4107,-1.97
2.39,1877,26.2,5.195,4128,-2.04
2.41,1894,26.8,5.21,4141,-2.17
2.43,1912,26.3,5.27,4192,-2.02
2.45,1929,26.4,5.3,4218,-2
2.47,1947,26.4,5.325,4243,-2.01
2.49,1964,27.2,5.39,4308,-1.77
2.52,1990,26.4,5.425,4343,-1.92
2.54,2008,27.2,5.45,4369,-2.04
2.56,2026,26.3,5.53,4449,-1.91
2.58,2043,26.8,5.56,4479,-1.96
2.6,2061,26.5,5.59,4509,-1.92
2.62,2078,26.4,5.63,4549,-1.92
2.64,2096,26.4,5.67,4589,-1.75
2.66,2113,26.8,5.71,4630,-1.9
2.68,2131,26.1,5.74,4660,-1.88
2.7,2148,27.5,5.765,4685,-1.9
2.72,2166,26.8,5.79,4710,-1.83
2.74,2183,26.7,5.82,4740,-1.84
2.76,2201,26.7,5.855,4774,-1.85
2.78,2220,27.1,5.9,4814,-2.02
2.8,2238,26.1,5.92,4831,-2.07
2.82,2256,26.8,5.95,4857,-2.01
2.84,2274,26.5,5.98,4883,-2.13
2.86,2292,26.5,NA,NA,NA
2.88,2310,26.2,NA,NA,NA
2.9,2328,25.8,NA,NA,NA
2.92,2346,26.4,NA,NA,NA
2.94,2364,26.3,NA,NA,NA
2.96,2382,26.2,NA,NA,NA
2.98,2400,26.6,NA,NA,NA
3.02,2437,26.1,NA,NA,NA
3.04,2454,26.5,NA,NA,NA
3.08,2491,26.2,NA,NA,NA
3.1,2509,25.9,NA,NA,NA
3.12,2527,26.2,NA,NA,NA
3.14,2545,26.3,NA,NA,NA
3.16,2563,26.4,NA,NA,NA
3.18,2581,26.5,NA,NA,NA
3.2,2599,26.5,NA,NA,NA
3.22,2617,26.3,NA,NA,NA
3.24,2635,26.3,NA,NA,NA
3.26,2653,26.4,NA,NA,NA
3.28,2667,26.1,NA,NA,NA
3.3,2682,26.4,NA,NA,NA
3.32,2696,26.7,NA,NA,NA
3.34,2710,25.8,NA,NA,NA
3.36,2724,25.9,NA,NA,NA
3.4,2753,25.8,NA,NA,NA
3.42,2767,26.4,NA,NA,NA
3.44,2782,26.5,NA,NA,NA
3.52,2839,27,NA,NA,NA
3.54,2853,25.6,NA,NA,NA
3.6,2896,26,NA,NA,NA
