year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),year (AD),age (BP),d18O (missing),d18O (missing),d18O (missing),d18O (missing),d13C (missing),d13C (missing),d13C (missing),d13C (missing),d18O (missing)
1950,0,1950,0,1950,0,1950,0,1530,420,-3.05,-3.05,-3.05,-3.05,-6.16,-6.16,-6.16,-6.16,-3.89
1830,120,1830,120,1830,120,1830,120,1520,430,-2.65,-2.65,-2.65,-2.65,-6.28,-6.28,-6.28,-6.28,-3.94
1709,241,1709,241,1709,241,1709,241,1500,450,-2.52,-2.52,-2.52,-2.52,-6.2,-6.2,-6.2,-6.2,-4.16
1589,361,1589,361,1589,361,1589,361,1490,460,-2.62,-2.62,-2.62,-2.62,-6.42,-6.42,-6.42,-6.42,-3.62
1468,482,1468,482,1468,482,1468,482,1470,480,-3.23,-3.23,-3.23,-3.23,-6.46,-6.46,-6.46,-6.46,-3.54
1348,602,1348,602,1348,602,1348,602,1460,490,-3.12,-3.12,-3.12,-3.12,-6.3,-6.3,-6.3,-6.3,-3.85
1227,723,1227,723,1227,723,1227,723,1450,500,-3.03,-3.03,-3.03,-3.03,-6.64,-6.64,-6.64,-6.64,-3.87
987,963,987,963,987,963,987,963,1430,520,-3.49,-3.49,-3.49,-3.49,-6.78,-6.78,-6.78,-6.78,-3.61
866,1084,866,1084,866,1084,866,1084,1420,530,-2.77,-2.77,-2.77,-2.77,-6.29,-6.29,-6.29,-6.29,-3.7
746,1204,746,1204,746,1204,746,1204,1410,540,-2.92,-2.92,-2.92,-2.92,-6.36,-6.36,-6.36,-6.36,-3.91
625,1325,625,1325,625,1325,625,1325,1390,560,-2.75,-2.75,-2.75,-2.75,-5.95,-5.95,-5.95,-5.95,-3.34
505,1445,505,1445,505,1445,505,1445,1380,570,-2.38,-2.38,-2.38,-2.38,-5.78,-5.78,-5.78,-5.78,-3.58
385,1565,385,1565,385,1565,385,1565,1370,580,-2.78,-2.78,-2.78,-2.78,-6.15,-6.15,-6.15,-6.15,-3.45
264,1686,264,1686,264,1686,264,1686,1350,600,-2.69,-2.69,-2.69,-2.69,-6.1,-6.1,-6.1,-6.1,-3.77
144,1806,144,1806,144,1806,144,1806,1340,610,-2.72,-2.72,-2.72,-2.72,-6.35,-6.35,-6.35,-6.35,-3.85
23,1927,23,1927,23,1927,23,1927,1320,630,-2.89,-2.89,-2.89,-2.89,-6.34,-6.34,-6.34,-6.34,-3.56
-97,2047,-97,2047,-97,2047,-97,2047,1310,640,-2.95,-2.95,-2.95,-2.95,-6.23,-6.23,-6.23,-6.23,-3.7
-218,2168,-218,2168,-218,2168,-218,2168,1300,650,-2.8,-2.8,-2.8,-2.8,-6.3,-6.3,-6.3,-6.3,-3.96
-338,2288,-338,2288,-338,2288,-338,2288,1260,690,-2.48,-2.48,-2.48,-2.48,-5.98,-5.98,-5.98,-5.98,-3.94
-472,2422,-472,2422,-472,2422,-472,2422,1220,730,-3.18,-3.18,-3.18,-3.18,-6.32,-6.32,-6.32,-6.32,-3.87
-609,2559,-609,2559,-609,2559,-609,2559,1190,760,-3.01,-3.01,-3.01,-3.01,-6.19,-6.19,-6.19,-6.19,-3.91
-745,2695,-745,2695,-745,2695,-745,2695,1150,800,-2.66,-2.66,-2.66,-2.66,-6.16,-6.16,-6.16,-6.16,-3.56
-881,2831,-881,2831,-881,2831,-881,2831,1110,840,-2.87,-2.87,-2.87,-2.87,-6.09,-6.09,-6.09,-6.09,-3.83
