depth (cm) [1-1],age (BP) [1-1],d18O (permil) [1-1],age (BP) [1-2],temperature (degC) [1-2],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],d18O (permil) [2-1],age (BP) [3-1],temperature (degC) [3-1]
0,0,2.67,9898.85,3.178,25,698,5.4,2.68,995,4.4
1,46,2.78,9709.35,3.46,26,736.5,3.8,2.81,1174,4.2
2,92,2.79,9519.85,3.551,27,775,4.1,2.71,1293,4.5
3,138,2.81,9330.35,3.456,28,813.5,4.8,2.5,1412,4.2
4,184,2.84,9140.85,1.866,29,852,5.1,2.82,1590,4.3
5,229,2.92,8951.35,1.501,30,890.5,4.6,2.93,1768,4.4
6,275,2.8,8761.85,-0.085,31,929,4,2.74,1887,4.4
7,321,2.83,8572.35,0.328,32,967.5,4.8,2.7,2006,4.6
8,367,2.86,8382.85,0.225,33,1006,4.7,2.71,2185,4.6
9,413,2.7,8193.35,0.595,34,1044.5,4.7,2.77,2386,4.5
10,459,2.93,8003.85,1.007,35,1083,4.6,2.96,2527,4.2
11,505,2.86,7814.35,1.475,36,1121.5,4.7,2.66,2669,4.4
12,551,2.91,7624.85,-0.797,37,1160,4.7,3.89,2881,5.2
13,596,2.96,7435.35,-0.08,38,1237.4,4.7,3.51,3093,5.4
14,642,2.85,7245.85,0.505,39,1314.9,3.9,2.81,3235,5.5
15,688,2.77,7056.35,0.082,40,1392.3,4.8,2.83,3376,5.2
16,734,2.69,6866.85,-0.055,41,1469.7,7.9,2.79,3576,6.1
17,780,2.89,6677.35,-0.168,42,1547.1,7.6,2.8,3776,5.9
18,833,2.87,6487.85,-1.589,43,1624.6,7.5,2.74,3910,6.6
19,886,2.84,6298.35,0.157,44,1702,5.8,2.66,4043,6.4
20,939,2.76,6108.85,0.311,45,1779.4,4.7,2.81,4243,5.9
21,992,2.85,5919.35,0.678,46,1856.9,4.1,2.75,4443,5.4
22,1044,2.92,5729.85,0.428,47,1934.3,4.5,2.73,4576,6.4
23,1097,2.81,5540.35,0.295,48,2011.7,5.3,2.77,4910,6.8
24,1150,2.97,5350.85,-0.755,49,2089.1,7.8,2.78,5227,7
25,1203,3.21,5161.35,0.011,50,2166.6,8,2.8,5576,6.7
