year (AD),age (BP),PC1 (missing)
1969.75,-19.75,-0.932
1946.264,3.736,-0.83
1923.012,26.988,-1.062
1899.971,50.029,-1.265
1877.115,72.885,-1.237
1854.422,95.578,-0.777
1831.868,118.132,-0.698
1809.431,140.569,-1.037
1787.087,162.913,-1.43
1764.816,185.184,-1.417
1742.594,207.406,-1.105
1720.401,229.599,-1.412
1698.214,251.786,-1.476
1676.014,273.986,-1.145
1653.78,296.22,-1.316
1631.492,318.508,-1.552
1609.129,340.871,-1.186
1586.673,363.327,-0.82
1564.103,385.897,-1.091
1541.403,408.597,-1.087
1518.551,431.449,-0.939
1495.532,454.468,-1.094
1472.326,477.674,-1.044
1448.917,501.083,-1.051
1425.287,524.713,-1.166
1401.419,548.581,-0.983
1377.298,572.702,-1.171
1352.906,597.094,-1.438
1328.228,621.772,-1.407
1303.249,646.751,-1.489
1277.953,672.047,-0.99
1252.325,697.675,-1.025
1226.352,723.648,-1.069
1200.019,749.981,-1.28
1173.313,776.687,-1.252
1146.219,803.781,-1.274
1118.725,831.275,-1.079
1090.818,859.182,-0.569
1062.485,887.515,-0.678
1033.715,916.285,-0.43
1004.496,945.504,-0.442
974.816,975.184,-0.988
944.665,1005.335,-1.377
914.03,1035.97,-1.053
882.903,1067.097,-0.658
851.273,1098.727,-0.414
819.13,1130.87,-0.488
786.465,1163.535,-0.548
753.269,1196.731,-1.077
719.533,1230.467,-0.745
685.249,1264.751,-0.815
650.408,1299.592,-0.435
615.004,1334.996,-0.387
579.027,1370.973,-0.6
542.473,1407.527,-0.77
505.333,1444.667,-0.855
467.602,1482.398,-0.625
429.273,1520.727,0.34
390.341,1559.659,0.531
350.8,1599.2,0.662
310.646,1639.354,0.753
269.873,1680.127,0.203
228.478,1721.522,0.393
186.456,1763.544,0.154
143.803,1806.197,-0.265
100.517,1849.483,-0.339
56.595,1893.405,-0.372
12.033,1937.967,-0.104
-33.171,1983.171,0.02
-79.018,2029.018,0.325
-125.511,2075.511,0.194
-172.65,2122.65,0.216
-220.437,2170.437,-0.366
-268.872,2218.872,-0.404
-317.955,2267.955,-0.583
-367.687,2317.687,-0.925
-418.067,2368.067,-1.019
-469.094,2419.094,-0.901
-520.768,2470.768,-0.448
-573.087,2523.087,-0.72
-626.049,2576.049,-1.046
-679.652,2629.652,-0.773
-733.894,2683.894,-0.307
-788.773,2738.773,-0.755
-844.284,2794.284,-0.257
-900.424,2850.424,-0.052
-957.191,2907.191,0.101
-1014.58,2964.58,-0.267
-1072.585,3022.585,-0.304
-1131.204,3081.204,-0.441
-1190.43,3140.43,-0.147
-1250.258,3200.258,-0.546
-1310.683,3260.683,-0.887
-1371.697,3321.697,-0.338
-1433.296,3383.296,-0.146
-1495.472,3445.472,-0.058
-1558.217,3508.217,0.315
-1621.526,3571.526,0.229
-1685.389,3635.389,-0.069
-1749.798,3699.798,-0.043
-1814.746,3764.746,0.312
-1880.223,3830.223,0.495
-1946.22,3896.22,0.415
-2012.728,3962.728,0.256
-2079.738,4029.738,0.221
-2147.237,4097.237,0.316
-2215.218,4165.218,0.863
-2283.668,4233.668,1.131
-2352.576,4302.576,1.163
-2421.931,4371.931,1.127
-2491.721,4441.721,0.995
-2561.935,4511.935,0.812
-2632.558,4582.558,1.166
-2703.579,4653.579,1.223
-2774.985,4724.985,1.055
-2846.762,4796.762,1.391
-2918.895,4868.895,1.293
-2991.372,4941.372,1.112
-3064.177,5014.177,1.152
-3137.296,5087.296,0.957
-3210.713,5160.713,1
-3284.412,5234.412,0.844
-3358.379,5308.379,0.886
-3432.596,5382.596,0.711
-3507.048,5457.048,0.72
-3581.717,5531.717,0.988
-3656.586,5606.586,0.789
-3731.638,5681.638,1.086
-3806.854,5756.854,1.451
-3882.217,5832.217,1.629
-3957.708,5907.708,1.433
-4033.307,5983.307,1.452
-4108.997,6058.997,1.483
-4184.757,6134.757,1.5
-4260.567,6210.567,1.272
-4336.407,6286.407,1.538
-4412.257,6362.257,1.516
-4488.095,6438.095,1.529
-4563.9,6513.9,1.622
-4639.652,6589.652,1.625
-4715.327,6665.327,1.697
-4790.903,6740.903,1.779
-4866.359,6816.359,1.149
-4941.67,6891.67,1.476
-5016.814,6966.814,1.267
-5091.768,7041.768,1.222
-5166.506,7116.506,1.334
-5241.006,7191.006,1.569
-5315.241,7265.241,1.385
-5389.188,7339.188,1.514
-5462.821,7412.821,1.393
-5536.115,7486.115,1.493
-5609.042,7559.042,1.448
-5681.578,7631.578,1.449
-5753.695,7703.695,1.166
-5825.367,7775.367,1.158
