depth (cm),age (ky BP),type ()
0,0,core top
11.1,0.46,AMS
39.5,1.94,AMS
81.4,4.07,AMS
103.6,5.32,AMS
189.2,10.83,AMS
214.1,14.14,AMS
368.6,33.83,MIS
385.9,39.59,Ash-A
496.2,50.21,MIS 3.3
777.3,73.91,MIS 5
924.6,86.19,MIS 5.1x
