depth (cm),age (BP),temperature (degC),uncertainty (missing),uncertainty (missing),reliable (missing)
1,-59,7.071,9.371,4.771,Y
3,-51,7.836,10.136,5.536,Y
5,-41,7.836,10.136,5.536,Y
7,-29,7.414,9.714,5.114,Y
9,-6,7.258,9.558,4.958,Y
11,36,7.103,9.403,4.803,Y
13,98,7.089,9.389,4.789,Y
15,178,8.054,10.354,5.754,Y
17,272,7.336,9.636,5.036,Y
19,379,8.148,10.448,5.848,Y
21,496,7.721,10.021,5.421,Y
23,621,8.266,10.566,5.966,Y
25,752,8.376,10.676,6.076,Y
27,887,7.897,10.197,5.597,Y
29,1022,7.832,10.132,5.532,Y
31,1156,8.134,10.434,5.834,Y
33,1287,8.331,10.631,6.031,Y
35,1411,8.039,10.339,5.739,Y
37,1528,8.312,10.612,6.012,Y
39,1634,7.381,9.681,5.081,Y
41,1727,8.605,10.905,6.305,Y
43,1808,7.899,10.199,5.599,Y
45,1879,7.613,9.913,5.313,Y
47,1943,7.67,9.97,5.37,Y
49,2002,7.451,9.751,5.151,Y
51,2059,7.691,9.991,5.391,Y
53,2118,7.354,9.654,5.054,Y
55,2180,7.883,10.182,5.582,Y
57,2249,7.863,10.163,5.563,Y
59,2323,8.172,10.472,5.872,Y
61,2404,8.056,10.356,5.756,Y
63,2490,8.532,10.832,6.232,Y
65,2581,7.906,10.206,5.606,Y
67,2677,7.266,9.566,4.966,Y
69,2779,8.119,10.419,5.819,Y
71,2884,8.257,10.557,5.957,Y
73,2994,8.629,10.929,6.329,Y
75,3107,7.375,9.675,5.075,Y
77,3224,8.879,11.179,6.579,Y
79,3345,8.032,10.332,5.732,Y
81,3468,8.539,10.839,6.239,Y
83,3594,7.889,10.189,5.589,Y
85,3723,8.587,10.887,6.287,Y
87,3854,9.002,11.302,6.702,Y
89,3986,9.29,11.59,6.99,Y
91,4121,8.851,11.151,6.551,Y
93,4256,8.178,10.478,5.878,Y
95,4393,8.962,11.262,6.662,Y
97,4531,8.903,11.203,6.603,Y
99,4669,8.19,10.49,5.89,Y
101,4807,8.384,10.684,6.084,Y
103,4946,8.148,10.448,5.848,Y
105,5085,6.937,9.237,4.637,Y
107,5224,7.579,9.879,5.279,Y
