age (bp) [1-1],depth (cm) [1-1],depth_top (mm) [1-1],depth_bot (mm) [1-1],age14C (bp) [1-1],error () [1-1],cal_age_range_old (bp) [1-1],cal_age_range_young (2_s) [1-1],thickness (mm) [1-1],age (bp) [2-1],depth (cm) [2-1],depth_top (mm) [2-1],depth_bot (mm) [2-1],age14C (bp) [2-1],error () [2-1],cal_age_range_old (bp) [2-1],cal_age_range_young (2_s) [2-1],thickness (mm) [2-1],age_type () [2-1],lab_id () [2-1],material_dated () [2-1]
446,1,0,20,805,40,489,415,20,6075,13,120,140,5670,45,6148,6009,20,1,5,1
985,31,300,320,1440,35,1029,940,20,7350,45,440,460,6830,65,7412,7293,20,1,1,1
1798,59,580,600,2200,40,1854,1743,20,7857,65,640,660,7390,50,7919,7808,20,1,6,1
3604,95,940,960,3690,40,3667,3604,20,9408,103.5,1030,1040,8730,55,9473,9354,10,1,2,1
4524,123,1220,1240,4380,40,4576,4441,20,10204,123.5,1230,1240,9360,45,10237,10161,10,1,4,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,10259,133.5,1330,1340,9410,55,10319,10187,10,1,3,1
