depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
20,265,19.7,-11.614,4.918,878.429
40,531,19.814,-11.443,5.085,836
60,967,19.843,-11.357,5.135,833.571
80,1574,19.986,-11.571,5.123,840
100,2181,19.986,-11.571,5.123,840
120,2789,19.871,-11.071,5.267,860.286
140,3159,19.371,-10.286,5.269,893.143
160,3293,19.714,-10.729,5.288,911.286
190,3493,19.929,-11.529,5.105,846.714
210,3626,19.757,-11.871,4.862,822.857
220,3767,19.986,-11.671,5.079,811.286
240,4048,19.643,-11.814,4.844,851.571
260,4329,19.671,-12.5,4.613,818.857
280,4611,19.571,-11.771,4.81,838.286
300,4834,19.586,-12.1,4.683,860.286
320,5057,19.886,-11.314,5.164,907.429
340,5281,19.929,-10.529,5.473,896.429
360,5504,19.786,-11.314,5.099,850.143
380,5727,19.8,-11.757,4.936,851.143
400,5950,19.929,-11.9,4.955,814.143
420,6174,19.786,-11.971,4.843,823.571
440,6397,19.843,-11.929,4.892,823.286
460,6620,19.886,-11.3,5.176,827.429
