depth (cm),age (bp),fraction_modern (),error (),d13C (permil),age14C (bp),age_error (1_s),cal_age_error (2_s),age_type (),core_name (),lab_id (),material_dated ()
23,2680,0.727,0.001,-28.1,2565,15,60,1,1,1,1
40,3400,0.675,0.001,-24,3160,20,40,1,1,6,1
61,4740,0.593,0.001,-24.9,4200,15,90,1,1,4,1
74,5450,0.556,0.001,-28.6,4715,20,130,1,1,2,1
100,7090,0.463,0.001,-28.8,6185,15,80,1,1,5,1
103,8160,0.401,0.001,-12.7,7350,20,120,1,1,3,1
