year (yr ce),age (BP),d18O (permil),d13C (permil)
2005,-55,-9.416,-7.096
1983,-33,-9.509,-6.857
1961,-11,-9.189,-6.031
1939,11,-8.96,-5.693
1917,33,-9.01,-5.591
1895,55,-9.146,-5.804
1873,77,-8.906,-5.873
1851,99,-9.092,-6.082
1829,121,-9.054,-6.289
1807,143,-9.073,-6.324
1785,165,-9.158,-6.766
1763,187,-9.256,-6.889
1741,209,-9.208,-6.692
1719,231,-9.263,-6.665
1697,253,-8.948,-6.387
1675,275,-9.059,-6.095
1653,297,-8.937,-5.622
1631,319,-8.881,-5.402
1609,341,-8.702,-5.409
1587,363,-8.662,-5.215
1565,385,-8.72,-5.274
1543,407,-8.597,-5.331
1521,429,-8.639,-5.382
1499,451,-8.569,-5.497
1477,473,-8.572,-5.379
1455,495,-8.451,-5.476
1433,517,-8.601,-5.328
1411,539,-8.58,-5.433
1389,561,-8.413,-5.37
1367,583,-8.555,-5.424
1345,605,-8.782,-5.124
1326.786,623.214,-8.639,-5.356
1308.571,641.429,-8.91,-5.359
1290.357,659.643,-9.051,-5.505
1272.143,677.857,-9.058,-5.755
1253.929,696.071,-8.972,-5.96
1235.714,714.286,-9.223,-6.072
1217.5,732.5,-9.016,-6.001
1199.286,750.714,-9.145,-5.903
1181.071,768.929,-9.399,-5.972
1162.857,787.143,-9.314,-6.156
1144.643,805.357,-9.267,-6.049
1126.429,823.571,-9.335,-6.667
1108.214,841.786,-9.17,-7.038
1090,860,-9.245,-7.529
1071.786,878.214,-9.166,-8.208
1053.571,896.429,-9.13,-8.224
1035.357,914.643,-9.04,-7.169
1017.143,932.857,-9.124,-6.641
998.929,951.071,-9.223,-6.52
980.714,969.286,-9.262,-6.984
962.5,987.5,-9.399,-7.348
944.286,1005.714,-9.426,-6.902
926.071,1023.929,-9.501,-6.614
907.857,1042.143,-9.515,-6.186
889.643,1060.357,-9.456,-6.227
871.429,1078.571,-9.189,-6.005
853.214,1096.786,-9.174,-5.745
835,1115,-9.161,-5.994
816.786,1133.214,-9.665,-9.038
798.571,1151.429,-9.745,-6.519
780.357,1169.643,-9.682,-6.836
762.143,1187.857,-9.457,-6.574
