depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,-2,8.029,-9,-1.062,1102.429
5,112,7.7,-6.714,-0.045,1182
10,253,8.029,-9,-1.062,1102.429
15,395,7.771,-6.243,0.23,1184.714
20,536,7.771,-6.243,0.23,1184.714
25,678,7.9,-5.757,0.573,1308.571
30,819,7.571,-8.057,-0.856,1016.429
35,961,7.814,-9.886,-1.682,1079.714
40,1102,8.243,-12.443,-3.025,1015.857
45,1244,7.814,-9.886,-1.682,1079.714
50,1385,7.771,-6.243,0.23,1184.714
55,1527,7.9,-5.757,0.573,1308.571
60,1668,7.9,-5.757,0.573,1308.571
65,1810,8.029,-8.371,-0.692,1130.429
70,1951,7.543,-9.186,-1.471,868.714
75,2093,7.857,-9.857,-1.644,1074
80,2234,7.714,-7,-0.187,1169.857
85,2376,7.871,-10.157,-1.794,996.429
90,2517,7.943,-10.086,-1.723,992.571
95,2659,7.786,-7.157,-0.268,1192.286
100,2800,8.143,-9.129,-1.105,1119.143
105,2942,7.714,-6.586,0.015,1291
110,3083,7.743,-10.771,-2.189,942.286
115,3225,7.771,-10.329,-1.938,998.429
120,3421,7.929,-5.929,0.483,1340
125,3618,7.786,-7.157,-0.268,1192.286
130,3814,7.757,-11.429,-2.577,921.143
135,4010,7.686,-6.9,-0.164,1284.571
140,4207,7.914,-5.629,0.633,1417.571
145,4403,7.957,-10.243,-1.807,1021.429
150,4600,7.771,-7.357,-0.355,1141.714
155,4796,7.914,-5.629,0.633,1417.571
160,4992,7.571,-8.314,-0.973,1015.143
165,5189,7.771,-7.357,-0.355,1141.714
170,5385,7.771,-7.357,-0.355,1141.714
175,5581,7.486,-7.857,-0.782,1158
