OriginalDateID (),TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),Uncertaintyplus (),Uncertaintyminus (),IncludeYN (),AdditionalNotes ()
NA,0,NA,Core top,-62,NA,NA,Y,NA
NA,0.25,0.5,Pb210-Lead,-59.98,-58.008,-61.951,Y,NA
NA,0.5,0.75,Pb210-Lead,-56.293,-54.254,-58.332,Y,NA
NA,0.75,1,Pb210-Lead,-51.763,-49.553,-53.973,Y,NA
NA,1,1.25,Pb210-Lead,-47.219,-44.975,-49.464,Y,NA
NA,1.25,1.5,Pb210-Lead,-42.811,-40.382,-45.24,Y,NA
NA,1.5,1.75,Pb210-Lead,-38.125,-35.611,-40.64,Y,NA
NA,1.75,2,Pb210-Lead,-33.597,-30.869,-36.325,Y,NA
NA,2,2.25,Pb210-Lead,-28.752,-25.69,-31.815,Y,NA
NA,2.25,2.5,Pb210-Lead,-24.253,-20.943,-27.563,Y,NA
NA,2.5,2.75,Pb210-Lead,-20.828,-17.583,-24.073,Y,NA
NA,2.75,3,Pb210-Lead,-17.264,-13.789,-20.739,Y,NA
NA,3,3.25,Pb210-Lead,-12.982,-9.194,-16.77,Y,NA
NA,3.25,3.5,Pb210-Lead,-8.488,-4.592,-12.384,Y,NA
NA,3.5,3.75,Pb210-Lead,-3.932,0.336,-8.2,Y,NA
NA,3.75,4,Pb210-Lead,0.542,4.968,-3.883,Y,NA
NA,4,4.25,Pb210-Lead,5.165,9.989,0.341,Y,NA
NA,4.25,4.5,Pb210-Lead,11.089,15.263,6.914,Y,NA
NA,4.5,4.75,Pb210-Lead,17.576,21.304,13.847,Y,NA
NA,4.75,5,Pb210-Lead,23.472,25.784,21.16,Y,NA
NA,5,5.25,Pb210-Lead,28.175,30.677,25.672,Y,NA
NA,5.25,5.5,Pb210-Lead,32.895,35.711,30.079,Y,NA
NA,5.5,5.75,Pb210-Lead,38.716,41.941,35.49,Y,NA
NA,5.75,6,Pb210-Lead,45.388,49.193,41.583,Y,NA
NA,6,6.25,Pb210-Lead,52.765,57.294,48.236,Y,NA
NA,6.25,6.5,Pb210-Lead,59.927,65.272,54.582,Y,NA
NA,6.5,6.75,Pb210-Lead,66.621,72.902,60.34,Y,NA
NA,6.75,7,Pb210-Lead,73.136,80.513,65.76,Y,NA
NA,7,7.25,Pb210-Lead,79.536,88.169,70.903,Y,NA
NA,7.25,7.5,Pb210-Lead,85.71,95.758,75.662,Y,NA
NA,7.5,7.75,Pb210-Lead,91.705,103.377,80.033,Y,NA
NA,7.75,8,Pb210-Lead,98.198,111.994,84.403,Y,NA
NA,8,8.25,Pb210-Lead,104.809,120.871,88.747,Y,NA
NA,8.25,8.5,Pb210-Lead,111.222,130.052,92.392,Y,NA
NA,8.5,8.75,Pb210-Lead,117.661,139.591,95.731,Y,NA
NA,8.75,9,Pb210-Lead,125.633,152.128,99.138,Y,NA
NA,9,9.25,Pb210-Lead,134.371,165.798,102.944,Y,NA
NA,9.25,9.5,Pb210-Lead,142.439,180.05,104.829,Y,NA
NA,9.5,9.75,Pb210-Lead,151.19,196.807,105.572,Y,NA
NA,9.75,10,Pb210-Lead,160.918,217.501,104.334,Y,NA
OS-108018,21,21,C14 Uncalibrated,1530,1560,1500,Y,NA
OS-108450,26,28,C14 Uncalibrated,3160,3200,3120,N,inverted age rejected
OS-108451,31,33,C14 Uncalibrated,2880,2910,2850,Y,NA
OS-102751,48,54,C14 Uncalibrated,4540,4570,4510,Y,NA
OS-102626,80,84,C14 Uncalibrated,5490,5540,5440,Y,NA
OS-108185,115,115,C14 Uncalibrated,7750,7805,7695,Y,NA
OS-134709,127,129,C14 Uncalibrated,8400,8440,8360,Y,NA
OS-102753,136,142,C14 Uncalibrated,12450,12550,12350,N,ice sheet meltwater influence & hardwater effect
OS-102630,138,144,C14 Uncalibrated,12600,13040,12160,N,ice sheet meltwater influence & hardwater effect
