year (AD),age (BP),d18O (permil)
1966.5,-16.5,-7.9
1948.3,1.7,-8.06
1930,20,-7.98
1911.8,38.2,-7.9
1893.5,56.5,-7.73
1858.7,91.3,-7.84
1857,93,-7.94
1855.3,94.7,-8.02
1853.5,96.5,-7.83
1851.8,98.2,-7.85
1850.1,99.9,-8.05
1848.4,101.6,-7.86
1846.6,103.4,-8.15
1844.9,105.1,-8.21
1843.2,106.8,-8.08
1841.4,108.6,-8.03
1839.7,110.3,-7.98
1838,112,-7.91
1836.2,113.8,-7.66
1834.5,115.5,-7.7
1832.8,117.2,-7.85
1831,119,-7.86
1829.3,120.7,-7.86
1827.6,122.4,-7.84
1825.9,124.1,-7.94
1824.1,125.9,-7.59
1822.4,127.6,-7.78
1820.7,129.3,-7.96
1818.9,131.1,-7.95
1817.2,132.8,-8.1
1815.5,134.5,-7.99
1813.7,136.3,-7.68
1812,138,-7.88
1810.3,139.7,-7.75
1808.5,141.5,-7.86
1806.8,143.2,-7.96
1805.1,144.9,-8.36
1803.4,146.6,-8.08
1801.6,148.4,-7.66
1799.9,150.1,-7.98
1798.2,151.8,-7.97
1794.7,155.3,-7.71
1791.2,158.8,-7.75
1784.3,165.7,-7.79
1780.9,169.1,-8.18
1777.4,172.6,-8.08
1773.9,176.1,-7.88
1770.5,179.5,-8.44
1767,183,-8.04
1763,187,-8.17
1759,191,-8.29
1755,195,-7.97
1751,199,-7.85
1747,203,-7.78
1743,207,-7.72
1739,211,-7.78
1735,215,-8.09
1731,219,-8.01
1727,223,-8.05
1723,227,-7.85
1719,231,-8.12
1715,235,-7.9
1711,239,-8.03
1707,243,-8
1703,247,-7.98
1699,251,-8.12
1695,255,-8.05
1691,259,-7.99
1687,263,-8.1
1683,267,-8.03
1679,271,-7.72
1675,275,-7.83
1671,279,-7.63
1667,283,-7.86
1663,287,-7.93
1659,291,-8.04
1655,295,-7.93
1651,299,-8.09
1647,303,-7.89
1643,307,-8
1639,311,-7.96
1635,315,-7.96
1631,319,-7.57
1627,323,-7.75
1623,327,-7.9
1619,331,-7.8
1615,335,-7.73
1611,339,-7.76
1607,343,-7.75
1603,347,-7.37
1599,351,-7.63
1595,355,-7.73
1591,359,-7.24
1587,363,-7.47
1583,367,-7.69
1579,371,-7.86
1575,375,-7.82
1571,379,-7.84
1567,383,-7.7
1563,387,-7.92
1559,391,-8.01
1546.8,403.2,-7.38
