depth (cm),age (BP),age (BP),age (AD),temperature (degC),Uk37 (missing)
10.5,450,434.245,53.13,10.9,0.404
15.5,540,491.372,88.491,10.7,0.397
16.5,550,501.12,95.382,10.8,0.4
20.5,600,539.786,117.739,10.8,0.4
25.5,660,587.679,138.352,10.9,0.404
30.5,710,635.277,153.847,10.9,0.404
35.5,750,682.668,165.666,10.9,0.404
40.5,800,729.894,174.556,10.9,0.404
45.5,840,776.981,180.948,11,0.407
50.5,880,823.945,185.102,11,0.407
55.5,930,870.792,187.166,10.9,0.404
60.5,970,917.528,187.207,11,0.407
65.5,1010,964.153,185.226,11,0.407
70.5,1050,1010.661,181.157,11,0.407
75.5,1080,1057.046,174.852,11.1,0.41
80.5,1120,1103.292,166.055,11.1,0.41
85.5,1160,1149.373,154.339,10.9,0.404
90.5,1200,1195.247,138.962,10.9,0.404
95.5,1240,1240.826,118.501,10.8,0.4
100.5,1280,1285.884,89.496,10.7,0.397
105.5,1320,1328.822,42.504,10.8,0.4
106.5,1321.32,1336.455,45.859,10.8,0.4
110.5,1350,1364.793,72.409,10.9,0.404
115.5,1390,1398.739,88.456,10.8,0.4
120.5,1420,1431.991,94.371,10.9,0.404
125.5,1460,1464.678,92.014,11.2,0.414
130.5,1490,1496.67,80.453,11.5,0.423
135.5,1540,1538.641,68.75,11.5,0.423
140.5,1710,1777.081,173.762,11.4,0.42
145.5,1980,2020.875,198.872,11.4,0.42
150.5,2240,2261.968,176.647,11.5,0.423
155.5,2440,2491.209,90.409,11.5,0.423
160.5,2590,2601.53,139.73,11.5,0.423
165.5,2740,2703.252,178.512,11.8,0.433
170.5,2870,2804.215,206.623,11.7,0.43
175.5,2990,2904.747,227.995,12,0.44
180.5,3100,3004.976,244.381,11.9,0.437
185.5,3210,3104.967,256.729,12,0.44
190.5,3310,3204.754,265.594,12.3,0.45
195.5,3420,3304.361,271.316,12.2,0.447
200.5,3510,3403.799,274.086,12.1,0.443
205.5,3610,3503.075,273.993,12,0.44
206.5,3630,3522.91,273.632,12,0.44
210.5,3700,3602.187,271.031,11.9,0.437
215.5,3790,3701.131,265.104,12,0.44
220.5,3880,3799.894,256.005,11.8,0.433
225.5,3960,3898.454,243.378,11.8,0.433
230.5,4050,3996.775,226.635,12,0.44
235.5,4130,4094.794,204.772,12,0.44
240.5,4220,4192.381,175.896,12.1,0.443
245.5,4300,4289.211,135.62,12.4,0.453
250.5,4380,4382.338,75.125,12.6,0.46
255.5,4460,4455.228,118.373,12.3,0.45
260.5,4540,4525.129,151.406,12.6,0.46
265.5,4620,4594.422,176.213,12.6,0.46
270.5,4690,4663.379,195.914,12.7,0.463
275.5,4770,4732.106,211.925,12.8,0.466
280.5,4840,4800.658,225.028,12.7,0.463
285.5,4920,4869.064,235.702,12.8,0.466
290.5,4990,4937.348,244.264,12.9,0.47
295.5,5060,5005.521,250.926,12.9,0.47
300.5,5130,5073.592,255.834,12.9,0.47
305.5,5200,5141.569,259.086,12.8,0.466
306.5,5220,5155.153,259.543,12.9,0.47
310.5,5270,5209.454,260.742,13.2,0.48
315.5,5340,5277.25,260.83,13.3,0.483
320.5,5400,5344.957,259.351,13.1,0.476
325.5,5470,5412.571,256.275,13,0.473
330.5,5540,5480.091,251.541,13.2,0.48
335.5,5600,5547.51,245.051,13,0.473
340.5,5660,5614.818,236.659,13.4,0.486
345.5,5730,5682.003,226.147,13.4,0.486
350.5,5790,5749.044,213.2,12.7,0.463
355.5,5850,5815.908,197.33,12.9,0.47
360.5,5910,5882.542,177.745,13.4,0.486
365.5,5970,5948.84,153.002,13.1,0.476
370.5,6030,6014.531,119.87,13.5,0.489
375.5,6090,6077.113,76.376,13.3,0.483
380.5,6140,6138.444,119.459,13.2,0.48
385.5,6200,6204.402,157.106,13.6,0.493
390.5,6260,6270.737,187.364,13.2,0.48
395.5,6320,6337.266,213.415,13.7,0.496
400.5,6370,6403.919,236.657,13.4,0.486
405.5,6430,6470.661,257.852,13.4,0.486
