depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),thickness (mm),age_type (),material_dated ()
25.75,255,260,1475,100,5,1,1
85.75,855,860,3315,65,5,1,1
108.75,1085,1090,4020,75,5,1,1
149.75,1495,1500,5775,70,5,1,1
167.75,1675,1680,6790,85,5,1,1
193.75,1935,1940,7365,120,5,1,1
222,2215,2225,8315,80,10,1,1
248,2460,2500,9960,135,40,1,1
