depth (cm),age (yr BP),lab ID (unitless),error (yr),2-sigma range (yr BP)
-1,Post-bomb,AA37423,NA,1.3169 fraction of modern 14C
-1,305.0,AA37428,40,462-297
-1,975.0,AA37108,40,955-789
-1,1315.0,AA37429,40,1295-1174
-1,1630.0,AA37104,40,1611-1413
-1,2060.0,Beta-144856,40,2130-1920
-1,2320.0,Beta-144857,40,2360-2315
-1,2620.0,AA37419,45,2848-2707
-1,3125.0,AA37105,45,3450-3242
-1,3775.0,AA37420,60,4308-3974
-1,3850.0,Beta-135661,40,4365-4152
-1,4270.0,AA37421,50,4968-4803
-1,4600.0,AA37422,50,5467-5249
-1,4690.0,AA37106,50,5486-5314
-1,5035.0,AA37424,50,5899-5661
-1,5325.0,AA37425,50,6201-5985
-1,5750.0,AA37426,50,6662-6438
-1,5990.0,AA37107,50,6945-6720
-1,6075.0,AA37427,55,7029-6783
-1,6750.0,Beta-135662,40,7670-7568
