year (AD),age (BP),depth (m),dust (percent),AlProp (missing),SiProp (missing),KProp (missing),CaProp (missing),TiProp (missing),FeProp (missing),UncertaintyDust0x5B0x250x5D0x28Plus0x29 (missing),UncertaintyDust0x5B0x250x5D0x28Minus0x29 (missing)
590,1360,0.06,27.4,0.251,0.572,0.034,0.01,0.017,0.116,0.3,0.1
510,1440,0.07,25.1,0.261,0.57,0.033,0.01,0.016,0.109,0.3,0.1
420,1530,0.08,26,0.255,0.57,0.034,0.012,0.016,0.114,0.2,0
340,1610,0.09,30.6,0.246,0.578,0.034,0.012,0.016,0.113,0.3,0.1
90,1860,0.12,30.4,0.236,0.572,0.037,0.015,0.017,0.123,0.1,0.1
0,1950,0.13,26.5,0.24,0.563,0.038,0.016,0.018,0.125,0,0.2
-80,2030,0.14,22.2,0.251,0.557,0.037,0.016,0.018,0.122,0,0.2
-170,2120,0.15,26.7,0.244,0.566,0.037,0.016,0.017,0.12,0,0.1
-250,2200,0.16,23.8,0.249,0.559,0.034,0.024,0.017,0.119,0.3,0.4
-340,2290,0.17,23.7,0.247,0.557,0.035,0.027,0.016,0.118,0.4,0.6
-420,2370,0.18,17,0.262,0.545,0.033,0.028,0.017,0.116,0.5,0.6
-500,2450,0.19,15.5,0.26,0.539,0.032,0.036,0.017,0.116,0.8,1
-590,2540,0.2,28.6,0.243,0.566,0.032,0.032,0.016,0.111,0.4,0.7
-700,2650,0.21,17.2,0.265,0.545,0.03,0.038,0.015,0.107,0.8,1
-810,2760,0.22,20.4,0.257,0.55,0.032,0.039,0.015,0.108,0.8,1
-920,2870,0.23,20.7,0.25,0.547,0.032,0.043,0.017,0.112,0.9,1.2
-1030,2980,0.24,15.9,0.261,0.54,0.031,0.043,0.016,0.11,1,1.2
-1140,3090,0.25,22.9,0.243,0.546,0.03,0.058,0.016,0.109,1.4,1.8
-1250,3200,0.26,10.6,0.252,0.514,0.031,0.081,0.015,0.107,2.6,3.2
-1360,3310,0.27,12,0.253,0.518,0.03,0.083,0.014,0.102,2.6,3.2
-1470,3420,0.28,18.1,0.237,0.524,0.03,0.092,0.015,0.103,2.9,3.5
-1580,3530,0.29,15.6,0.232,0.513,0.028,0.108,0.015,0.104,3.6,4.5
-1690,3640,0.3,7.5,0.209,0.473,0.027,0.177,0.013,0.102,7.3,6.7
-1800,3750,0.31,3,0.2,0.454,0.025,0.212,0.013,0.096,9.8,2.2
-1910,3860,0.32,11.1,0.206,0.477,0.025,0.185,0.013,0.093,7.6,9.9
-2020,3970,0.33,5.7,0.215,0.471,0.024,0.181,0.013,0.096,7.7,4.8
-2130,4080,0.34,7.8,0.201,0.466,0.023,0.205,0.012,0.093,8.9,6.9
-2240,4190,0.35,1,0.188,0.417,0.019,0.277,0.011,0.087,3.8,0.1
-2350,4300,0.36,0.9,0.196,0.417,0.02,0.266,0.011,0.091,0.2,0.1
-2570,4520,0.38,0.9,0.195,0.434,0.024,0.241,0.011,0.095,6.3,0.1
-2680,4630,0.39,1,0.179,0.421,0.018,0.288,0.01,0.084,9.5,0.1
-2790,4740,0.4,1,0.175,0.414,0.019,0.3,0.01,0.082,8.7,0.1
-2900,4850,0.41,1,0.192,0.417,0.017,0.283,0.011,0.081,3.3,0.1
-3010,4960,0.42,1.1,0.175,0.428,0.018,0.287,0.011,0.083,14.2,0.1
-3120,5070,0.43,1,0.181,0.414,0.017,0.292,0.011,0.086,5.2,0.1
-3230,5180,0.44,1,0.182,0.409,0.019,0.3,0.01,0.081,4,0.1
-3340,5290,0.45,1,0.176,0.419,0.02,0.28,0.011,0.094,7.9,0.1
-3450,5400,0.46,0.9,0.198,0.4,0.018,0.282,0.011,0.092,0.1,0.1
-3560,5510,0.47,0.9,0.192,0.424,0.02,0.255,0.013,0.096,3.2,0.1
-3670,5620,0.48,0.9,0.181,0.425,0.023,0.249,0.013,0.109,5.4,0.1
-3780,5730,0.49,0.9,0.193,0.432,0.022,0.234,0.013,0.106,4.3,0.1
-3890,5840,0.5,0.9,0.203,0.43,0.019,0.239,0.012,0.096,1.4,0.1
-4000,5950,0.51,1,0.183,0.428,0.022,0.252,0.013,0.102,7.3,0.1
-4110,6060,0.52,0.9,0.196,0.437,0.022,0.228,0.013,0.105,5.1,0.1
-4220,6170,0.53,3.3,0.192,0.451,0.02,0.226,0.012,0.099,10.6,2.4
-4330,6280,0.54,0.9,0.192,0.444,0.022,0.221,0.013,0.108,8.7,0.1
-4440,6390,0.55,0.9,0.187,0.442,0.023,0.215,0.014,0.119,7.7,0.1
-4550,6500,0.56,0.9,0.189,0.434,0.026,0.218,0.015,0.119,3.8,0.1
