year (AD) [1-1],age (BP) [1-1],Uk37 (missing) [1-1],year (AD) [2-1],age (BP) [2-1],age (BP) [2-1],temperature (degC) [2-1],Uk37 (missing) [2-1],ageUncertainty (yr) [2-1]
1991,-41,0.635,1838,112,106.067,28.7,0.954,109.799
1969,-19,0.631,1578,372,352.767,28.6,0.952,106.543
1947,3,0.62,1321,629,607.778,29.1,0.961,170.26
1925,25,0.624,1092,858,838.846,29.2,0.962,235.686
1903,47,0.625,862,1088,1069.948,29.1,0.96,276.937
1881,69,0.627,633,1317,1301.07,28.5,0.95,304.146
1859,91,0.628,404,1546,1532.207,29.5,0.969,320.97
1836,114,0.621,175,1775,1763.356,29.3,0.964,329.055
1814,136,0.628,-54,2004,1994.516,28.7,0.954,329.089
1792,158,0.619,-283,2233,2225.688,28.1,0.941,321.121
1770,180,0.616,-512,2462,2456.873,28.1,0.942,304.582
1748,202,0.632,-741,2691,2688.072,27.9,0.939,278.034
1726,224,0.636,-970,2920,2919.294,28,0.94,238.328
1704,246,0.638,-1200,3150,3150.557,27.8,0.937,177.422
1682,268,0.624,-1475,3425,3427.438,28.1,0.941,180.878
1660,290,0.64,-1751,3701,3703.417,27.9,0.939,261.535
1638,312,0.633,-2166,4116,4117.379,28.9,0.957,342.499
1616,334,0.641,-2511,4461,4462.346,28,0.94,391.726
1594,356,0.602,-2718,4668,4669.325,27.8,0.936,416.027
1572,378,0.637,-3202,5152,5152.275,27.6,0.932,461.324
1549,401,0.619,-3547,5497,5497.239,27.1,0.923,485.782
1527,423,0.629,-3892,5842,5842.202,27.9,0.938,504.754
1505,445,0.644,-4238,6188,6187.164,27.2,0.925,518.835
1483,467,0.64,-4583,6533,6532.126,27.4,0.929,528.407
1461,489,0.645,-4755,6705,6704.606,27.2,0.924,531.581
1439,511,0.654,-5273,7223,7222.048,27.4,0.928,534.861
1417,533,0.643,-5619,7569,7567.008,28.1,0.941,531.89
1395,555,0.66,-5964,7914,7911.968,27.9,0.939,524.723
1373,577,0.653,-6309,8259,8256.928,28,0.94,513.182
1351,599,0.642,-6655,8605,8601.887,27.8,0.936,496.963
1340,610,0.642,-6965,8915,8912.35,27.7,0.935,477.975
1314,636,0.641,-7104,9054,9050.333,27.7,0.934,468.068
1288,662,0.651,-7483,9433,9429.786,27.9,0.938,435.526
1235,715,0.657,-7794,9744,9740.247,27.2,0.925,402.081
1209,741,0.65,-8139,10089,10085.203,26.9,0.92,355.5
1183,767,0.661,-8485,10435,10430.157,27.8,0.936,294.515
1131,819,0.664,-8830,10780,10775.107,27.2,0.924,206.992
1104,846,0.654,-9037,10987,10982.07,28.1,0.942,121.617
1078,872,0.65,-9225,11175,11170.127,27.1,0.923,182.689
1052,898,0.647,-9518,11468,11462.848,27.5,0.93,249.484
1026,924,0.665,-9713,11663,11657.982,27.5,0.93,275.854
999,951,0.658,-10005,11955,11950.671,27.5,0.931,297.752
973,977,0.666,-10200,12150,12145.791,27.6,0.933,302.518
947,1003,0.65,-10493,12443,12438.461,26.9,0.919,295.811
921,1029,0.662,-10688,12638,12633.569,27.1,0.922,281.56
894,1056,0.654,-10980,12930,12926.218,27.8,0.936,242.034
868,1082,0.657,-11175,13125,13121.304,27.1,0.922,197.988
842,1108,0.632,-11470,13420,13422.33,26.7,0.916,152.22
816,1134,0.645,-11572,13522,13531.136,26.5,0.911,192.887
789,1161,0.645,-11977,13927,13966.342,26.4,0.91,289.475
763,1187,0.666,-12179,14129,14183.94,26.3,0.908,318.309
737,1213,0.659,-12483,14433,14510.335,26.2,0.905,346.941
705,1245,0.646,-12685,14635,14727.929,26.3,0.907,358.095
672,1278,0.658,NA,NA,NA,NA,NA,NA
640,1310,0.662,NA,NA,NA,NA,NA,NA
608,1342,0.641,NA,NA,NA,NA,NA,NA
575,1375,0.66,NA,NA,NA,NA,NA,NA
543,1407,0.643,NA,NA,NA,NA,NA,NA
478,1472,0.635,NA,NA,NA,NA,NA,NA
446,1504,0.637,NA,NA,NA,NA,NA,NA
414,1536,0.651,NA,NA,NA,NA,NA,NA
381,1569,0.649,NA,NA,NA,NA,NA,NA
349,1601,0.64,NA,NA,NA,NA,NA,NA
317,1633,0.668,NA,NA,NA,NA,NA,NA
285,1665,0.672,NA,NA,NA,NA,NA,NA
252,1698,0.66,NA,NA,NA,NA,NA,NA
220,1730,0.662,NA,NA,NA,NA,NA,NA
188,1762,0.662,NA,NA,NA,NA,NA,NA
155,1795,0.663,NA,NA,NA,NA,NA,NA
123,1827,0.657,NA,NA,NA,NA,NA,NA
91,1859,0.635,NA,NA,NA,NA,NA,NA
58,1892,0.656,NA,NA,NA,NA,NA,NA
26,1924,0.646,NA,NA,NA,NA,NA,NA
-6,1956,0.638,NA,NA,NA,NA,NA,NA
-39,1989,0.619,NA,NA,NA,NA,NA,NA
-71,2021,0.657,NA,NA,NA,NA,NA,NA
-103,2053,0.661,NA,NA,NA,NA,NA,NA
-168,2118,0.641,NA,NA,NA,NA,NA,NA
-233,2183,0.647,NA,NA,NA,NA,NA,NA
-297,2247,0.668,NA,NA,NA,NA,NA,NA
-362,2312,0.687,NA,NA,NA,NA,NA,NA
-427,2377,0.674,NA,NA,NA,NA,NA,NA
-491,2441,0.682,NA,NA,NA,NA,NA,NA
-556,2506,0.693,NA,NA,NA,NA,NA,NA
-620,2570,0.691,NA,NA,NA,NA,NA,NA
-685,2635,0.687,NA,NA,NA,NA,NA,NA
-750,2700,0.672,NA,NA,NA,NA,NA,NA
-814,2764,0.673,NA,NA,NA,NA,NA,NA
-879,2829,0.671,NA,NA,NA,NA,NA,NA
-952,2902,0.675,NA,NA,NA,NA,NA,NA
-1025,2975,0.685,NA,NA,NA,NA,NA,NA
-1099,3049,0.675,NA,NA,NA,NA,NA,NA
-1172,3122,0.668,NA,NA,NA,NA,NA,NA
-1245,3195,0.68,NA,NA,NA,NA,NA,NA
-1318,3268,0.682,NA,NA,NA,NA,NA,NA
-1391,3341,0.686,NA,NA,NA,NA,NA,NA
-1465,3415,0.677,NA,NA,NA,NA,NA,NA
-1538,3488,0.698,NA,NA,NA,NA,NA,NA
-1611,3561,0.69,NA,NA,NA,NA,NA,NA
-1684,3634,0.711,NA,NA,NA,NA,NA,NA
-1757,3707,0.685,NA,NA,NA,NA,NA,NA
-1831,3781,0.698,NA,NA,NA,NA,NA,NA
-1904,3854,0.689,NA,NA,NA,NA,NA,NA
-1977,3927,0.707,NA,NA,NA,NA,NA,NA
-2050,4000,0.699,NA,NA,NA,NA,NA,NA
-2123,4073,0.716,NA,NA,NA,NA,NA,NA
-2197,4147,0.701,NA,NA,NA,NA,NA,NA
-2270,4220,0.705,NA,NA,NA,NA,NA,NA
-2343,4293,0.701,NA,NA,NA,NA,NA,NA
-2416,4366,0.708,NA,NA,NA,NA,NA,NA
-2489,4439,0.679,NA,NA,NA,NA,NA,NA
-2563,4513,0.704,NA,NA,NA,NA,NA,NA
-2636,4586,0.677,NA,NA,NA,NA,NA,NA
-2789,4739,0.689,NA,NA,NA,NA,NA,NA
-2869,4819,0.704,NA,NA,NA,NA,NA,NA
-2948,4898,0.689,NA,NA,NA,NA,NA,NA
-3108,5058,0.702,NA,NA,NA,NA,NA,NA
-3188,5138,0.695,NA,NA,NA,NA,NA,NA
-3267,5217,0.686,NA,NA,NA,NA,NA,NA
-3347,5297,0.721,NA,NA,NA,NA,NA,NA
-3427,5377,0.708,NA,NA,NA,NA,NA,NA
-3507,5457,0.715,NA,NA,NA,NA,NA,NA
-3586,5536,0.697,NA,NA,NA,NA,NA,NA
-3666,5616,0.753,NA,NA,NA,NA,NA,NA
-3746,5696,0.707,NA,NA,NA,NA,NA,NA
-3826,5776,0.717,NA,NA,NA,NA,NA,NA
-3905,5855,0.71,NA,NA,NA,NA,NA,NA
-3985,5935,0.718,NA,NA,NA,NA,NA,NA
-4065,6015,0.726,NA,NA,NA,NA,NA,NA
-4145,6095,0.71,NA,NA,NA,NA,NA,NA
-4224,6174,0.729,NA,NA,NA,NA,NA,NA
-4304,6254,0.731,NA,NA,NA,NA,NA,NA
-4384,6334,0.74,NA,NA,NA,NA,NA,NA
-4464,6414,0.726,NA,NA,NA,NA,NA,NA
-4543,6493,0.732,NA,NA,NA,NA,NA,NA
-4623,6573,0.741,NA,NA,NA,NA,NA,NA
-4703,6653,0.723,NA,NA,NA,NA,NA,NA
-4783,6733,0.742,NA,NA,NA,NA,NA,NA
-4863,6813,0.739,NA,NA,NA,NA,NA,NA
-4942,6892,0.728,NA,NA,NA,NA,NA,NA
-5022,6972,0.744,NA,NA,NA,NA,NA,NA
-5102,7052,0.739,NA,NA,NA,NA,NA,NA
-5182,7132,0.729,NA,NA,NA,NA,NA,NA
-5265,7215,0.766,NA,NA,NA,NA,NA,NA
-5433,7383,0.737,NA,NA,NA,NA,NA,NA
-5493,7443,0.73,NA,NA,NA,NA,NA,NA
-5578,7528,0.743,NA,NA,NA,NA,NA,NA
-5665,7615,0.742,NA,NA,NA,NA,NA,NA
-5756,7706,0.736,NA,NA,NA,NA,NA,NA
-5847,7797,0.742,NA,NA,NA,NA,NA,NA
-5937,7887,0.755,NA,NA,NA,NA,NA,NA
-6027,7977,0.741,NA,NA,NA,NA,NA,NA
-6206,8156,0.757,NA,NA,NA,NA,NA,NA
-6295,8245,0.725,NA,NA,NA,NA,NA,NA
-6384,8334,0.737,NA,NA,NA,NA,NA,NA
-6559,8509,0.693,NA,NA,NA,NA,NA,NA
-6641,8591,0.717,NA,NA,NA,NA,NA,NA
-6724,8674,0.728,NA,NA,NA,NA,NA,NA
-6887,8837,0.707,NA,NA,NA,NA,NA,NA
-6968,8918,0.72,NA,NA,NA,NA,NA,NA
-7129,9079,0.697,NA,NA,NA,NA,NA,NA
-7212,9162,0.693,NA,NA,NA,NA,NA,NA
-7405,9355,0.71,NA,NA,NA,NA,NA,NA
-7682,9632,0.696,NA,NA,NA,NA,NA,NA
-7961,9911,0.717,NA,NA,NA,NA,NA,NA
-8245,10195,0.661,NA,NA,NA,NA,NA,NA
-8389,10339,0.654,NA,NA,NA,NA,NA,NA
-8457,10407,0.714,NA,NA,NA,NA,NA,NA
-8527,10477,0.715,NA,NA,NA,NA,NA,NA
-8597,10547,0.679,NA,NA,NA,NA,NA,NA
-8667,10617,0.661,NA,NA,NA,NA,NA,NA
-8736,10686,0.675,NA,NA,NA,NA,NA,NA
-8806,10756,0.655,NA,NA,NA,NA,NA,NA
-8876,10826,0.621,NA,NA,NA,NA,NA,NA
-8946,10896,0.611,NA,NA,NA,NA,NA,NA
-9017,10967,0.639,NA,NA,NA,NA,NA,NA
-9088,11038,0.649,NA,NA,NA,NA,NA,NA
-9159,11109,0.587,NA,NA,NA,NA,NA,NA
-9230,11180,0.604,NA,NA,NA,NA,NA,NA
-9300,11250,0.608,NA,NA,NA,NA,NA,NA
-9369,11319,0.577,NA,NA,NA,NA,NA,NA
-9439,11389,0.57,NA,NA,NA,NA,NA,NA
-9508,11458,0.578,NA,NA,NA,NA,NA,NA
-9577,11527,0.539,NA,NA,NA,NA,NA,NA
-9646,11596,0.563,NA,NA,NA,NA,NA,NA
-9715,11665,0.564,NA,NA,NA,NA,NA,NA
-9784,11734,0.582,NA,NA,NA,NA,NA,NA
-9853,11803,0.513,NA,NA,NA,NA,NA,NA
-9922,11872,0.555,NA,NA,NA,NA,NA,NA
-10060,12010,0.553,NA,NA,NA,NA,NA,NA
