depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,-25,21.786,-5.014,8.785,907.857
80,324,21.986,-9.857,7.187,804.286
120,501,20.686,-8.043,7.002,866.429
140,590,21,-8.114,7.113,853.143
170,722,19.357,-8.8,5.882,916.857
180,766,20.329,-7.929,6.839,907
190,811,20.757,-8.243,6.945,861.286
200,855,20.143,-7.671,6.821,921
210,899,21.3,-8.386,7.263,845.714
220,943,20.871,-8.243,7.018,881.429
230,987,21.414,-9.686,6.895,812.143
240,1032,20.657,-9.214,6.549,858.286
260,1120,20.686,-7.671,7.107,867.714
305,1319,21.157,-9.586,6.674,826.429
340,1474,20.614,-8.343,6.848,885.857
380,1650,21.414,-9.457,7.024,827.714
460,2002,21.614,-9.914,6.9,801.286
500,2177,20.229,-9.957,6.176,760.429
540,2352,21.557,-11.486,6.443,759.714
580,2528,21.557,-11.486,6.443,759.714
620,2703,21.114,-9.071,6.889,848.571
660,2878,21.5,-11.3,6.396,769.429
700,3053,20.743,-8.214,6.946,895.286
740,3229,20.2,-9.157,6.135,810.429
780,3404,20,-9.171,6.023,850.429
820,3545,20,-9.4,5.954,844.857
860,3655,20.714,-7.414,7.262,920.286
900,3764,20.729,-7.386,7.286,895
940,3874,19.771,-9.243,5.904,882.714
980,3984,19.629,-9.471,5.714,861.143
1020,4093,20.143,-8.914,6.213,802.143
1060,4203,21.3,-6.571,7.958,890.714
